@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.44,0.2115,14
F,0.515,0.3925,14
M,0.41,0.32,14
F,0.475,0.345,14
M,0.455,0.285,14
F,0.47,0.32,14
F,0.55,0.33,14
M,0.33,0.112,14
F,0.475,0.275,14
M,0.55,0.59,14
F,0.51,0.36,14
M,0.45,0.4,14
F,0.65,0.7975,14
I,0.345,0.16,14
I,0.4,0.198,14
F,0.54,0.4735,14
M,0.475,0.325,14
M,0.455,0.365,14
F,0.405,0.2,14
F,0.355,0.185,14
F,0.51,0.315,14
F,0.485,0.33,14
F,0.51,0.48,14
M,0.515,0.385,14
F,0.465,0.285,14
F,0.47,0.32,14
F,0.45,0.395,14
M,0.385,0.235,14
F,0.61,0.612,14
F,0.47,0.445,14
F,0.485,0.3605,14
M,0.42,0.28,14
I,0.465,0.35,14
F,0.365,0.17,14
M,0.36,0.235,14
F,0.42,0.215,14
I,0.305,0.09,14
M,0.35,0.19,14
F,0.365,0.177,14
I,0.405,0.255,14
I,0.475,0.32,14
F,0.46,0.325,14
M,0.475,0.28,14
M,0.495,0.371,14
M,0.57,0.725,14
M,0.44,0.245,14
M,0.335,0.15,14
F,0.525,0.456,14
F,0.445,0.235,14
F,0.575,0.42,14
F,0.45,0.295,14
F,0.38,0.22,14
M,0.53,0.465,14
M,0.5,0.3845,14
I,0.42,0.19,14
F,0.435,0.28,14
M,0.45,0.235,14
M,0.53,0.43,14
M,0.45,0.355,14
M,0.395,0.215,14
F,0.425,0.255,14
I,0.46,0.38,14
M,0.39,0.27,14
F,0.485,0.3,14
I,0.345,0.1175,14
M,0.575,0.56,14
M,0.535,0.485,14
F,0.48,0.355,14
F,0.495,0.315,14
M,0.51,0.3925,14
M,0.42,0.285,14
F,0.475,0.49,14
F,0.505,0.365,14
F,0.455,0.39,14
M,0.385,0.215,14
F,0.565,0.503,14
M,0.535,0.48,14
M,0.42,0.22,14
M,0.38,0.31,14
F,0.535,0.39,14
M,0.395,0.225,14
M,0.45,0.315,14
F,0.495,0.39,14
I,0.385,0.19,14
M,0.42,0.25,14
M,0.56,0.76,14
M,0.44,0.325,14
M,0.385,0.26,14
M,0.38,0.16,14
F,0.395,0.235,14
M,0.48,0.295,14
M,0.41,0.195,14
M,0.375,0.22,14
M,0.455,0.3,14
M,0.45,0.36,14
I,0.435,0.285,14
M,0.385,0.204,14
F,0.38,0.21,14
I,0.34,0.146,14
M,0.485,0.385,14
F,0.54,0.505,14
F,0.385,0.173,14
F,0.55,0.5965,14
F,0.53,0.6095,14
F,0.41,0.25,14
M,0.48,0.28,14
M,0.51,0.47,14
F,0.425,0.27,14
F,0.51,0.37,14
M,0.585,0.563,14
I,0.45,0.345,14
F,0.375,0.22,11
F,0.385,0.185,11
M,0.52,0.36,11
F,0.51,0.41,11
F,0.41,0.235,11
M,0.28,0.075,11
F,0.425,0.285,11
M,0.535,0.46,11
M,0.465,0.315,11
F,0.47,0.25,11
F,0.34,0.2,11
M,0.42,0.205,11
M,0.515,0.345,11
M,0.575,0.4395,11
I,0.43,0.223,11
F,0.385,0.165,11
M,0.455,0.295,11
M,0.35,0.185,11
M,0.495,0.31,11
F,0.45,0.249,11
F,0.56,0.398,11
I,0.4,0.215,11
M,0.585,0.479,11
M,0.47,0.24,11
F,0.52,0.4265,11
M,0.4,0.17,11
F,0.38,0.187,11
F,0.495,0.315,11
F,0.43,0.28,11
F,0.465,0.28,11
F,0.32,0.125,11
M,0.46,0.329,11
M,0.355,0.175,11
I,0.395,0.195,11
M,0.51,0.341,11
F,0.5,0.409,11
M,0.47,0.2925,11
M,0.495,0.328,11
I,0.49,0.2915,11
I,0.525,0.4065,11
M,0.53,0.465,11
M,0.46,0.269,11
F,0.505,0.441,11
F,0.32,0.0985,11
I,0.405,0.235,11
F,0.5,0.431,11
F,0.515,0.355,11
M,0.47,0.3945,11
F,0.45,0.25,11
M,0.475,0.36,11
I,0.325,0.1135,11
M,0.39,0.18,11
F,0.505,0.32,11
M,0.465,0.275,11
F,0.485,0.38,11
M,0.45,0.335,11
F,0.495,0.345,11
F,0.57,0.545,11
F,0.545,0.547,11
F,0.505,0.431,11
M,0.515,0.38,11
M,0.605,0.355,11
F,0.375,0.13,11
I,0.355,0.1125,11
M,0.42,0.235,11
M,0.51,0.4195,11
M,0.49,0.39,11
M,0.52,0.406,11
M,0.505,0.363,11
I,0.435,0.251,11
M,0.49,0.285,11
M,0.54,0.42,11
I,0.31,0.12,11
F,0.52,0.412,11
F,0.42,0.32,11
I,0.28,0.07,11
M,0.475,0.35,11
M,0.245,0.055,11
M,0.49,0.344,11
M,0.48,0.38,11
I,0.47,0.2445,11
M,0.38,0.19,11
M,0.585,0.5,11
F,0.525,0.422,11
F,0.495,0.38,11
F,0.54,0.357,11
F,0.335,0.14,11
F,0.545,0.265,11
M,0.4,0.275,11
I,0.49,0.305,11
M,0.525,0.3965,11
I,0.435,0.26,11
F,0.475,0.316,11
I,0.465,0.325,11
I,0.345,0.18,11
I,0.35,0.1525,11
F,0.58,0.52,11
F,0.41,0.21,11
I,0.44,0.235,11
M,0.56,0.566,11
M,0.545,0.4705,11
F,0.49,0.365,11
F,0.5,0.36,11
M,0.48,0.2915,11
I,0.43,0.275,11
F,0.545,0.468,11
M,0.495,0.3525,11
M,0.515,0.37,11
I,0.445,0.255,11
F,0.505,0.335,11
M,0.42,0.252,11
F,0.45,0.291,11
M,0.515,0.325,11
M,0.485,0.37,11
M,0.47,0.305,11
M,0.54,0.3315,11
F,0.495,0.34,11
M,0.53,0.455,11
F,0.6,0.6,11
F,0.505,0.43,11
F,0.35,0.13,11
F,0.46,0.2515,11
M,0.575,0.502,11
F,0.54,0.385,11
F,0.49,0.381,11
F,0.49,0.411,11
M,0.555,0.434,11
I,0.39,0.2,11
F,0.415,0.18,11
F,0.525,0.405,11
I,0.49,0.31,11
F,0.505,0.349,11
I,0.385,0.175,11
M,0.42,0.245,11
M,0.39,0.1685,11
F,0.46,0.28,11
F,0.56,0.4525,11
M,0.455,0.2425,11
M,0.56,0.4425,11
F,0.465,0.35,11
F,0.545,0.475,11
F,0.495,0.37,11
M,0.515,0.395,11
I,0.41,0.196,11
I,0.42,0.249,11
F,0.47,0.294,11
M,0.505,0.3665,11
M,0.505,0.178,11
F,0.495,0.384,11
M,0.47,0.285,11
M,0.4,0.2175,11
M,0.485,0.475,11
M,0.49,0.395,11
F,0.475,0.3005,11
M,0.495,0.3285,11
M,0.48,0.325,11
M,0.47,0.315,11
F,0.54,0.475,11
I,0.42,0.209,11
F,0.525,0.345,11
M,0.41,0.214,11
M,0.505,0.325,11
M,0.44,0.26,11
F,0.525,0.405,11
F,0.51,0.3065,11
F,0.51,0.386,11
I,0.485,0.3315,11
I,0.41,0.1895,11
F,0.425,0.25,11
M,0.535,0.508,11
M,0.505,0.3815,11
F,0.55,0.4295,11
F,0.465,0.298,11
M,0.525,0.4325,11
F,0.55,0.45,11
F,0.445,0.26,11
F,0.475,0.39,11
F,0.515,0.385,11
F,0.485,0.356,11
F,0.485,0.3395,11
F,0.485,0.35,11
F,0.505,0.3825,11
M,0.36,0.155,11
I,0.38,0.155,11
M,0.465,0.265,11
F,0.515,0.497,11
F,0.53,0.405,11
F,0.52,0.317,11
M,0.525,0.378,11
M,0.5,0.275,11
F,0.51,0.4705,11
M,0.52,0.374,11
M,0.48,0.31,11
M,0.25,0.0795,11
F,0.355,0.155,11
I,0.45,0.295,11
M,0.31,0.1,11
F,0.515,0.4375,11
M,0.575,0.643,11
F,0.44,0.195,11
F,0.485,0.37,11
F,0.505,0.3685,11
M,0.525,0.4005,11
M,0.44,0.2385,11
F,0.575,0.48,11
F,0.49,0.255,11
M,0.59,0.415,11
I,0.45,0.239,11
M,0.495,0.3215,11
F,0.4,0.255,11
M,0.47,0.317,11
M,0.35,0.16,11
F,0.525,0.363,11
I,0.26,0.065,11
M,0.46,0.295,11
I,0.445,0.21,11
F,0.5,0.335,11
M,0.455,0.245,11
M,0.565,0.45,11
I,0.445,0.265,11
I,0.445,0.275,11
M,0.39,0.22,11
F,0.415,0.2185,11
F,0.35,0.155,11
I,0.43,0.29,11
F,0.505,0.345,11
M,0.475,0.24,11
M,0.525,0.4,11
F,0.49,0.348,11
F,0.56,0.435,11
F,0.375,0.19,11
F,0.51,0.388,11
M,0.475,0.37,11
F,0.59,0.435,11
M,0.475,0.36,11
M,0.525,0.4435,11
I,0.485,0.33,11
I,0.435,0.24,11
I,0.28,0.085,11
F,0.43,0.235,11
F,0.405,0.18,11
M,0.495,0.266,11
F,0.55,0.32,11
F,0.465,0.289,11
I,0.47,0.284,11
M,0.545,0.48,11
M,0.55,0.49,11
M,0.57,0.488,11
M,0.52,0.432,11
F,0.53,0.476,11
M,0.45,0.2725,11
F,0.405,0.215,11
M,0.43,0.27,11
F,0.575,0.461,11
F,0.345,0.117,11
F,0.345,0.132,11
F,0.525,0.49,11
F,0.305,0.11,11
I,0.425,0.274,11
M,0.515,0.4115,11
M,0.495,0.367,11
M,0.245,0.049,11
F,0.47,0.155,11
M,0.45,0.285,11
M,0.515,0.371,11
I,0.425,0.2575,11
F,0.41,0.21,11
M,0.505,0.391,11
F,0.56,0.44,11
F,0.475,0.35,11
F,0.45,0.285,11
M,0.455,0.26,11
F,0.565,0.575,11
M,0.475,0.31,11
F,0.5,0.4535,11
M,0.59,0.557,11
M,0.49,0.335,11
M,0.545,0.41,11
M,0.41,0.31,11
F,0.52,0.406,11
I,0.405,0.225,11
M,0.45,0.251,11
F,0.455,0.3415,11
F,0.42,0.21,11
M,0.525,0.399,11
F,0.625,0.6785,11
F,0.51,0.4245,11
F,0.355,0.131,11
F,0.51,0.358,11
M,0.495,0.3245,11
M,0.45,0.22,11
F,0.57,0.488,11
M,0.55,0.5,11
M,0.5,0.294,11
M,0.46,0.265,11
M,0.475,0.292,11
F,0.465,0.25,11
M,0.385,0.206,11
F,0.37,0.185,11
M,0.595,0.505,11
F,0.455,0.265,11
M,0.41,0.26,11
F,0.485,0.3015,11
F,0.4,0.18,11
M,0.39,0.19,11
F,0.485,0.305,11
I,0.475,0.3075,11
M,0.345,0.12,11
F,0.55,0.44,11
M,0.505,0.37,11
F,0.54,0.47,11
F,0.485,0.3255,11
M,0.42,0.265,11
I,0.505,0.315,11
M,0.48,0.3175,11
I,0.425,0.246,11
M,0.3,0.083,11
M,0.54,0.4755,11
F,0.49,0.3855,11
F,0.535,0.471,11
F,0.405,0.181,11
M,0.52,0.46,11
M,0.35,0.145,11
F,0.54,0.45,11
F,0.38,0.16,11
M,0.41,0.24,11
M,0.48,0.322,11
M,0.4,0.21,11
F,0.555,0.455,11
F,0.56,0.5655,11
M,0.505,0.346,11
F,0.35,0.145,11
I,0.43,0.215,11
M,0.435,0.345,11
I,0.44,0.21,11
M,0.51,0.4545,11
M,0.49,0.339,11
M,0.34,0.144,11
M,0.36,0.145,11
F,0.45,0.272,11
M,0.555,0.5285,11
F,0.475,0.28,11
F,0.52,0.5055,11
M,0.53,0.4025,11
I,0.38,0.185,11
F,0.44,0.265,11
F,0.5,0.355,11
M,0.5,0.332,11
M,0.53,0.35,11
F,0.515,0.37,11
M,0.285,0.075,11
M,0.495,0.345,11
M,0.52,0.355,11
M,0.5,0.349,11
F,0.47,0.264,11
M,0.565,0.5475,11
F,0.325,0.11,11
M,0.525,0.405,11
F,0.505,0.363,11
F,0.475,0.26,11
M,0.555,0.528,11
M,0.51,0.43,11
M,0.455,0.277,11
I,0.395,0.186,11
I,0.41,0.182,11
F,0.455,0.2965,11
M,0.525,0.405,11
F,0.5,0.343,11
F,0.47,0.265,11
M,0.565,0.503,11
F,0.565,0.4975,11
M,0.495,0.3475,11
I,0.35,0.145,11
M,0.31,0.115,11
M,0.5,0.351,11
F,0.495,0.2875,11
I,0.34,0.113,11
M,0.49,0.3325,11
M,0.57,0.4535,11
M,0.55,0.4305,11
M,0.445,0.287,11
M,0.51,0.3,11
I,0.33,0.105,11
M,0.47,0.3085,11
F,0.56,0.415,11
F,0.375,0.178,11
F,0.515,0.35,11
M,0.565,0.529,11
F,0.495,0.37,11
I,0.46,0.2765,11
M,0.4,0.195,11
M,0.51,0.37,11
M,0.455,0.275,11
M,0.455,0.277,11
M,0.45,0.29,11
M,0.55,0.462,11
M,0.485,0.28,11
M,0.6,0.6745,11
F,0.535,0.499,11
M,0.515,0.401,11
M,0.49,0.3555,11
F,0.445,0.23,11
M,0.545,0.3685,11
F,0.56,0.545,11
F,0.535,0.4,11
F,0.445,0.304,11
F,0.59,0.48,11
M,0.515,0.4115,11
F,0.415,0.235,11
M,0.485,0.29,11
M,0.515,0.345,11
M,0.515,0.316,11
M,0.52,0.32,11
F,0.475,0.3,11
F,0.56,0.455,11
F,0.43,0.41,11
M,0.375,0.172,11
M,0.495,0.399,11
F,0.495,0.37,11
M,0.425,0.2,11
M,0.31,0.1,11
F,0.385,0.21,11
I,0.35,0.155,11
F,0.52,0.375,11
M,0.45,0.2625,11
M,0.49,0.285,11
M,0.55,0.445,11
F,0.43,0.233,11
F,0.35,0.18,11
M,0.32,0.104,11
M,0.395,0.188,11
F,0.485,0.406,11
F,0.505,0.3045,11
M,0.465,0.355,11
M,0.495,0.3445,11
M,0.5,0.439,11
M,0.45,0.3,11
F,0.475,0.3165,11
M,0.52,0.395,12
F,0.4,0.23,12
I,0.37,0.155,12
F,0.525,0.407,12
F,0.485,0.3085,12
F,0.555,0.516,12
F,0.48,0.285,12
F,0.55,0.4,12
F,0.535,0.415,12
M,0.51,0.385,12
F,0.505,0.355,12
F,0.5,0.335,12
M,0.38,0.215,12
F,0.46,0.355,12
M,0.45,0.255,12
M,0.385,0.262,12
F,0.48,0.3185,12
M,0.315,0.125,12
F,0.375,0.17,12
M,0.595,0.63,12
M,0.46,0.205,12
M,0.5,0.3705,12
F,0.47,0.398,12
I,0.36,0.145,12
F,0.385,0.2,12
F,0.615,0.726,12
F,0.53,0.416,12
F,0.405,0.225,12
M,0.395,0.185,12
M,0.48,0.305,12
F,0.49,0.344,12
M,0.55,0.5075,12
I,0.335,0.135,12
F,0.565,0.4945,12
M,0.48,0.305,12
F,0.51,0.4105,12
F,0.44,0.27,12
F,0.36,0.13,12
M,0.51,0.45,12
F,0.565,0.553,12
M,0.525,0.335,12
F,0.47,0.32,12
F,0.405,0.21,12
M,0.58,0.488,12
M,0.385,0.17,12
I,0.415,0.28,12
I,0.445,0.1825,12
M,0.505,0.41,12
F,0.5,0.35,12
I,0.44,0.3,12
F,0.545,0.513,12
M,0.6,0.621,12
M,0.46,0.245,12
F,0.515,0.335,12
M,0.395,0.24,12
M,0.59,0.625,12
M,0.44,0.26,12
M,0.45,0.265,12
M,0.54,0.512,12
M,0.565,0.494,12
M,0.355,0.13,12
F,0.565,0.565,12
M,0.5,0.49,12
M,0.51,0.4,12
F,0.385,0.195,12
M,0.525,0.505,12
F,0.465,0.262,12
F,0.325,0.11,12
M,0.47,0.345,12
M,0.48,0.309,12
M,0.4,0.24,12
M,0.445,0.28,12
F,0.47,0.275,12
M,0.285,0.0875,12
M,0.51,0.425,12
M,0.455,0.305,12
M,0.45,0.25,12
M,0.6,0.6205,12
F,0.52,0.48,12
F,0.565,0.43,12
F,0.555,0.431,12
I,0.42,0.23,12
M,0.28,0.09,12
F,0.57,0.43,12
F,0.48,0.35,12
M,0.575,0.495,12
F,0.525,0.42,12
M,0.495,0.445,12
F,0.435,0.216,12
I,0.47,0.3145,12
M,0.325,0.125,12
F,0.39,0.1845,12
M,0.42,0.24,12
M,0.53,0.3865,12
F,0.45,0.23,12
M,0.445,0.295,12
F,0.325,0.14,12
M,0.38,0.175,12
F,0.45,0.275,12
M,0.5,0.43,12
F,0.465,0.305,12
F,0.38,0.165,12
I,0.41,0.1815,12
F,0.465,0.305,12
F,0.38,0.17,12
M,0.265,0.068,12
M,0.47,0.245,12
F,0.51,0.46,12
F,0.51,0.41,12
F,0.45,0.279,12
M,0.475,0.335,12
M,0.425,0.18,12
M,0.555,0.6195,12
F,0.505,0.315,12
I,0.325,0.106,12
M,0.495,0.355,12
M,0.42,0.215,12
F,0.475,0.275,12
F,0.48,0.29,12
F,0.5,0.37,12
F,0.475,0.3035,12
M,0.575,0.638,12
M,0.345,0.135,12
F,0.515,0.405,12
M,0.38,0.2,12
M,0.47,0.5,12
F,0.465,0.265,12
F,0.455,0.315,12
F,0.575,0.501,12
M,0.45,0.256,12
M,0.44,0.24,12
F,0.515,0.62,12
M,0.45,0.35,12
M,0.425,0.22,12
F,0.41,0.235,12
F,0.53,0.6855,12
M,0.46,0.33,12
I,0.43,0.395,12
F,0.41,0.235,12
F,0.4,0.23,12
I,0.35,0.125,12
F,0.55,0.46,12
F,0.455,0.28,12
F,0.5,0.4685,12
F,0.54,0.462,12
M,0.525,0.4,12
F,0.48,0.315,12
I,0.39,0.2235,12
F,0.45,0.235,12
F,0.39,0.2,12
F,0.575,0.602,12
M,0.505,0.308,12
M,0.47,0.3115,12
M,0.585,0.471,12
F,0.44,0.24,12
F,0.45,0.33,12
M,0.505,0.4505,12
F,0.5,0.292,12
M,0.535,0.498,12
M,0.435,0.22,12
F,0.535,0.4045,12
F,0.305,0.09,12
M,0.375,0.195,12
M,0.37,0.17,12
I,0.44,0.25,12
M,0.49,0.315,12
M,0.54,0.4715,12
M,0.45,0.255,12
F,0.415,0.195,12
F,0.45,0.26,12
F,0.44,0.245,12
M,0.385,0.205,12
M,0.4,0.205,12
F,0.48,0.313,12
F,0.57,0.48,12
M,0.4,0.285,12
M,0.575,0.5365,12
I,0.495,0.36,12
F,0.565,0.482,12
F,0.525,0.44,12
F,0.43,0.1775,12
F,0.395,0.193,12
F,0.465,0.34,12
F,0.405,0.185,12
F,0.44,0.32,12
F,0.465,0.44,12
M,0.405,0.245,12
M,0.415,0.245,12
M,0.465,0.3635,12
F,0.45,0.31,12
M,0.585,0.5335,12
F,0.345,0.14,12
F,0.53,0.49,12
M,0.465,0.32,12
F,0.44,0.27,12
I,0.485,0.315,12
F,0.575,0.4825,12
M,0.505,0.34,12
M,0.5,0.365,12
F,0.45,0.265,12
M,0.46,0.305,12
M,0.515,0.369,12
F,0.505,0.425,12
F,0.495,0.3225,12
F,0.355,0.152,12
F,0.5,0.32,12
F,0.465,0.31,12
M,0.41,0.275,12
F,0.495,0.33,12
M,0.385,0.215,12
M,0.415,0.22,12
M,0.62,0.642,12
M,0.5,0.386,12
I,0.33,0.096,12
F,0.395,0.22,12
M,0.295,0.1105,12
M,0.485,0.36,12
F,0.525,0.455,12
F,0.485,0.293,12
M,0.485,0.3365,12
F,0.39,0.215,12
F,0.5,0.365,12
F,0.545,0.195,12
F,0.505,0.355,12
M,0.375,0.17,12
M,0.5,0.418,12
M,0.485,0.345,12
M,0.52,0.445,12
M,0.44,0.26,12
F,0.3,0.098,12
F,0.575,0.471,12
I,0.28,0.0725,12
M,0.5,0.375,12
F,0.48,0.365,12
F,0.5,0.285,12
F,0.38,0.23,12
F,0.38,0.155,12
M,0.55,0.375,12
F,0.365,0.1475,12
F,0.475,0.32,18
F,0.49,0.345,18
M,0.435,0.355,18
M,0.5,0.69,18
M,0.51,0.315,18
F,0.455,0.32,18
F,0.5,0.445,18
M,0.525,0.35,18
F,0.35,0.155,18
I,0.41,0.205,18
F,0.53,0.565,18
F,0.525,0.41,18
M,0.41,0.31,18
M,0.505,0.39,18
M,0.315,0.13,18
I,0.49,0.41,18
M,0.48,0.47,18
F,0.54,0.475,18
I,0.525,0.53,18
M,0.49,0.35,18
M,0.53,0.42,18
F,0.45,0.295,18
F,0.525,0.395,18
M,0.505,0.61,18
F,0.45,0.385,18
F,0.5,0.485,18
F,0.485,0.33,18
M,0.475,0.34,18
M,0.425,0.29,18
M,0.54,0.78,18
F,0.455,0.26,18
M,0.475,0.305,18
F,0.48,0.275,18
F,0.585,0.5855,18
I,0.37,0.169,18
F,0.56,1.005,18
F,0.405,0.38,18
F,0.405,0.25,18
F,0.495,0.52,13
I,0.345,0.12,13
M,0.41,0.3,13
F,0.495,0.335,13
I,0.47,0.32,13
M,0.38,0.22,13
F,0.465,0.315,13
F,0.425,0.24,13
F,0.42,0.21,13
M,0.525,0.365,13
M,0.55,0.4405,13
F,0.36,0.17,13
M,0.52,0.4,13
F,0.435,0.275,13
M,0.415,0.25,13
I,0.4,0.235,13
F,0.525,0.505,13
M,0.42,0.305,13
M,0.54,0.4865,13
M,0.58,0.5295,13
F,0.355,0.13,13
M,0.44,0.27,13
F,0.545,0.498,13
F,0.41,0.25,13
I,0.385,0.165,13
M,0.425,0.275,13
F,0.55,0.474,13
M,0.535,0.46,13
M,0.49,0.335,13
M,0.41,0.235,13
F,0.455,0.275,13
M,0.45,0.32,13
I,0.345,0.154,13
F,0.35,0.145,13
F,0.375,0.175,13
M,0.515,0.341,13
I,0.34,0.2,13
I,0.485,0.39,13
M,0.42,0.23,13
M,0.605,0.5235,13
M,0.405,0.337,13
F,0.38,0.185,13
I,0.45,0.26,13
I,0.4,0.22,13
F,0.475,0.24,13
F,0.35,0.125,13
M,0.42,0.34,13
M,0.435,0.39,13
M,0.525,0.4355,13
F,0.39,0.225,13
F,0.43,0.263,13
M,0.375,0.195,13
M,0.405,0.28,13
F,0.435,0.29,13
M,0.55,0.445,13
M,0.465,0.34,13
I,0.33,0.17,13
F,0.415,0.27,13
F,0.445,0.295,13
F,0.445,0.32,13
F,0.365,0.1345,13
M,0.515,0.395,13
M,0.47,0.3245,13
M,0.48,0.3,13
M,0.49,0.355,13
F,0.425,0.255,13
M,0.515,0.405,13
I,0.475,0.275,13
F,0.485,0.28,13
F,0.39,0.195,13
M,0.47,0.36,13
M,0.53,0.41,13
I,0.48,0.335,13
F,0.525,0.53,13
M,0.55,0.511,13
M,0.56,0.4625,13
I,0.455,0.3,13
M,0.505,0.35,13
F,0.4,0.195,13
M,0.515,0.41,13
F,0.335,0.14,13
F,0.45,0.25,13
F,0.52,0.4275,13
F,0.575,0.5165,13
I,0.37,0.155,13
F,0.5,0.39,13
M,0.465,0.39,13
M,0.5,0.405,13
M,0.46,0.29,13
M,0.55,0.535,13
M,0.58,0.5305,13
F,0.55,0.412,13
F,0.455,0.285,13
M,0.48,0.415,13
M,0.575,0.5015,13
M,0.525,0.395,13
M,0.455,0.295,13
F,0.475,0.295,13
I,0.49,0.345,13
M,0.525,0.3545,13
F,0.53,0.44,13
F,0.545,0.575,13
F,0.575,0.51,13
M,0.425,0.335,13
M,0.395,0.2,13
M,0.545,0.4505,13
M,0.38,0.195,13
F,0.4,0.2515,13
M,0.415,0.285,13
I,0.245,0.05,13
M,0.49,0.343,13
I,0.5,0.3615,13
M,0.345,0.215,13
F,0.415,0.25,13
F,0.51,0.32,13
I,0.39,0.185,13
M,0.42,0.29,13
F,0.51,0.3645,13
I,0.325,0.12,13
F,0.495,0.485,13
M,0.53,0.3555,13
M,0.415,0.238,13
M,0.475,0.28,13
F,0.415,0.31,13
F,0.45,0.315,13
M,0.48,0.325,13
F,0.555,0.4535,13
M,0.55,0.5,13
I,0.355,0.115,13
M,0.44,0.275,13
F,0.485,0.355,13
F,0.475,0.3805,13
F,0.39,0.2,13
F,0.35,0.175,13
M,0.455,0.293,13
F,0.525,0.394,13
M,0.425,0.295,13
I,0.4,0.17,13
M,0.415,0.24,13
F,0.57,0.405,13
F,0.385,0.27,13
F,0.46,0.44,13
M,0.545,0.469,13
M,0.605,0.646,13
M,0.4,0.285,13
F,0.435,0.335,13
F,0.4,0.21,13
M,0.355,0.168,13
M,0.485,0.38,13
M,0.435,0.295,13
M,0.435,0.25,13
M,0.4,0.255,13
F,0.55,0.49,13
F,0.5,0.345,13
F,0.45,0.385,13
M,0.255,0.06,13
F,0.575,0.62,13
I,0.42,0.205,13
F,0.505,0.36,13
M,0.43,0.275,13
M,0.515,0.535,13
F,0.515,0.44,13
M,0.42,0.245,13
M,0.41,0.265,13
F,0.575,0.538,13
M,0.535,0.335,13
F,0.35,0.125,13
F,0.5,0.405,13
F,0.4,0.295,13
M,0.54,0.437,13
F,0.46,0.315,13
M,0.44,0.28,13
M,0.4,0.26,13
F,0.46,0.34,13
M,0.51,0.3935,13
F,0.52,0.37,13
I,0.38,0.212,13
F,0.525,0.4525,13
M,0.39,0.18,13
F,0.495,0.35,13
M,0.41,0.25,13
F,0.5,0.39,13
F,0.52,0.45,13
I,0.23,0.0445,5
I,0.24,0.0425,5
I,0.17,0.0155,5
I,0.19,0.025,5
I,0.225,0.04,5
I,0.145,0.01,5
I,0.15,0.015,5
I,0.25,0.045,5
I,0.125,0.008,5
I,0.26,0.055,5
I,0.22,0.03,5
I,0.19,0.025,5
I,0.275,0.068,5
I,0.205,0.035,5
M,0.21,0.03,5
I,0.29,0.0765,5
I,0.19,0.031,5
I,0.235,0.05,5
I,0.29,0.061,5
I,0.205,0.034,5
I,0.34,0.1015,5
I,0.17,0.013,5
M,0.2,0.03,5
I,0.12,0.005,5
I,0.205,0.0315,5
I,0.21,0.0335,5
M,0.205,0.0325,5
I,0.15,0.01,5
F,0.27,0.055,5
I,0.215,0.031,5
M,0.205,0.03,5
I,0.245,0.045,5
I,0.26,0.06,5
I,0.25,0.05,5
I,0.185,0.0225,5
I,0.175,0.02,5
I,0.22,0.03,5
I,0.205,0.0435,5
I,0.235,0.047,5
I,0.265,0.0585,5
I,0.21,0.035,5
I,0.22,0.0315,5
I,0.3,0.077,5
I,0.215,0.045,5
I,0.15,0.012,5
I,0.13,0.0465,5
I,0.175,0.02,5
F,0.225,0.04,5
I,0.185,0.0225,5
I,0.175,0.0705,5
I,0.2,0.035,5
I,0.18,0.02,5
I,0.21,0.035,5
I,0.16,0.015,5
I,0.205,0.034,5
I,0.32,0.1,5
I,0.165,0.0185,5
M,0.18,0.025,5
I,0.21,0.03,5
I,0.28,0.0655,5
I,0.255,0.05,5
I,0.135,0.009,5
I,0.215,0.032,5
M,0.115,0.0075,5
I,0.21,0.03,5
I,0.205,0.0495,5
I,0.23,0.0385,5
I,0.175,0.02,5
M,0.14,0.01,5
I,0.295,0.0765,5
I,0.165,0.02,5
I,0.255,0.053,5
M,0.215,0.035,5
I,0.175,0.02,5
I,0.18,0.0225,5
I,0.135,0.01,5
I,0.13,0.0125,5
I,0.2,0.027,5
M,0.2,0.03,5
I,0.27,0.082,5
I,0.225,0.044,5
I,0.17,0.016,5
I,0.3,0.0675,5
I,0.22,0.035,5
I,0.18,0.0225,5
I,0.155,0.015,5
I,0.21,0.033,5
I,0.185,0.023,5
I,0.175,0.0215,5
I,0.32,0.073,5
I,0.25,0.045,5
I,0.28,0.058,5
I,0.195,0.0285,5
I,0.21,0.031,5
M,0.135,0.01,5
I,0.21,0.034,5
I,0.23,0.045,5
I,0.22,0.035,5
I,0.22,0.0365,5
I,0.255,0.05,5
F,0.275,0.07,5
I,0.19,0.03,5
I,0.265,0.055,5
I,0.13,0.01,4
I,0.165,0.036,4
I,0.11,0.005,4
I,0.195,0.0255,4
M,0.125,0.005,4
I,0.27,0.064,4
I,0.115,0.005,4
I,0.105,0.005,4
I,0.175,0.02,4
M,0.125,0.008,4
I,0.135,0.0095,4
I,0.19,0.025,4
I,0.145,0.015,4
I,0.205,0.0305,4
I,0.15,0.015,4
I,0.2,0.026,4
M,0.23,0.045,4
I,0.15,0.013,4
I,0.13,0.008,4
M,0.16,0.015,4
I,0.205,0.0215,4
I,0.185,0.02,4
I,0.21,0.03,4
I,0.12,0.005,4
I,0.18,0.0215,4
I,0.18,0.0215,4
I,0.105,0.005,4
I,0.195,0.026,4
I,0.15,0.0065,4
I,0.15,0.013,4
