@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.65,1.622,0.6645,10
I,0.525,0.657,0.2985,10
F,0.595,0.7955,0.3425,10
F,0.615,1.115,0.484,10
M,0.65,1.2075,0.55,10
M,0.45,0.3675,0.1465,10
F,0.66,1.548,0.724,10
I,0.6,1.12,0.565,10
F,0.675,1.587,0.739,10
M,0.635,1.181,0.665,10
F,0.4,0.3465,0.1475,10
F,0.695,1.8495,0.767,10
F,0.63,1.2155,0.4625,10
I,0.495,0.4965,0.214,8
I,0.425,0.405,0.1695,8
F,0.6,1.332,0.6235,8
I,0.5,0.7865,0.332,8
F,0.56,0.8745,0.453,8
F,0.38,0.2815,0.1255,8
M,0.465,0.5315,0.2725,8
I,0.52,0.5545,0.288,8
I,0.48,0.4725,0.2065,8
M,0.62,1.0195,0.5315,8
M,0.625,1.2065,0.587,8
F,0.37,0.227,0.093,8
I,0.39,0.215,0.0845,8
M,0.56,0.8755,0.44,8
I,0.485,0.4475,0.1895,8
I,0.495,0.494,0.181,8
I,0.485,0.521,0.2,8
I,0.545,0.772,0.289,8
M,0.47,0.523,0.214,8
I,0.485,0.426,0.163,8
F,0.595,1.1005,0.5415,8
I,0.335,0.192,0.0785,8
M,0.37,0.224,0.0815,8
M,0.52,0.559,0.254,8
M,0.505,0.5585,0.2575,8
F,0.55,0.84,0.375,8
M,0.605,0.884,0.3835,8
F,0.505,1.1155,0.509,8
I,0.495,0.602,0.2505,8
I,0.39,0.259,0.0955,8
F,0.58,1.0515,0.4095,8
M,0.45,0.46,0.174,8
I,0.43,0.378,0.175,8
M,0.49,0.981,0.465,8
M,0.475,0.5135,0.241,8
I,0.46,0.4495,0.1755,8
M,0.47,0.5865,0.2385,8
I,0.52,0.622,0.278,8
F,0.53,0.627,0.2905,8
M,0.495,0.553,0.224,8
I,0.36,0.232,0.12,8
F,0.575,0.9965,0.417,8
M,0.42,0.369,0.171,8
I,0.325,0.0995,0.0395,8
I,0.485,0.651,0.3165,8
I,0.575,0.8725,0.349,8
I,0.375,0.2025,0.0825,8
M,0.45,0.479,0.2125,8
F,0.36,0.2065,0.078,8
F,0.635,1.29,0.593,8
M,0.295,0.125,0.042,8
I,0.425,0.317,0.135,8
M,0.58,0.852,0.41,8
I,0.555,0.7005,0.3395,8
I,0.495,0.589,0.3075,8
I,0.5,0.516,0.197,8
I,0.475,0.4545,0.171,8
F,0.615,1.2525,0.585,8
M,0.515,0.5785,0.253,8
I,0.6,0.9175,0.38,8
M,0.47,0.5805,0.266,8
M,0.44,0.4565,0.2435,8
I,0.475,0.5035,0.2535,8
F,0.575,0.897,0.4235,8
I,0.47,0.48,0.2055,8
M,0.535,0.7165,0.2855,8
I,0.455,0.514,0.2385,8
M,0.43,0.406,0.166,8
F,0.565,0.8495,0.4215,8
F,0.55,0.655,0.2635,8
I,0.345,0.2225,0.0865,8
F,0.585,0.6955,0.3085,8
I,0.535,0.775,0.368,8
F,0.43,0.445,0.165,8
M,0.335,0.1635,0.0615,8
I,0.515,0.5705,0.238,8
I,0.505,0.6015,0.3015,8
M,0.475,0.562,0.289,8
F,0.555,0.8815,0.43,8
F,0.58,0.926,0.4025,8
I,0.49,0.538,0.271,8
I,0.59,0.974,0.453,8
M,0.52,0.58,0.234,8
M,0.61,1.146,0.597,8
F,0.52,0.776,0.32,8
M,0.415,0.3245,0.1305,8
M,0.355,0.201,0.069,8
M,0.59,0.9955,0.481,8
F,0.61,1.0745,0.4925,8
M,0.555,0.838,0.4155,8
F,0.595,0.9,0.4175,8
M,0.615,1.403,0.6715,8
I,0.545,0.8935,0.4235,8
I,0.445,0.3615,0.1415,8
I,0.5,0.616,0.261,8
M,0.49,0.649,0.32,8
M,0.55,0.9155,0.3645,8
F,0.5,0.6615,0.2565,8
M,0.39,0.271,0.11,8
I,0.27,0.102,0.045,8
I,0.51,0.6795,0.3465,8
M,0.59,0.861,0.413,8
I,0.495,0.585,0.2755,8
M,0.45,0.4955,0.2575,8
M,0.45,0.4655,0.2075,8
F,0.61,0.909,0.438,8
M,0.48,0.643,0.349,8
I,0.51,0.5935,0.239,8
I,0.505,0.5605,0.2255,8
I,0.465,0.393,0.1825,8
I,0.45,0.3245,0.1385,8
I,0.42,0.314,0.1295,8
I,0.505,0.601,0.25,8
F,0.61,1.153,0.536,8
I,0.5,0.519,0.2485,8
M,0.58,0.8275,0.321,8
I,0.455,0.82,0.4005,8
F,0.52,0.5375,0.221,8
M,0.58,1.114,0.4765,8
I,0.335,0.185,0.0795,8
M,0.52,0.5825,0.2505,8
F,0.545,0.9475,0.366,8
F,0.595,1.2095,0.5225,8
I,0.375,0.2715,0.092,8
I,0.385,0.2365,0.1,8
M,0.57,1.0635,0.5265,8
M,0.575,0.9655,0.498,8
M,0.6,1.193,0.5145,8
M,0.69,1.7005,0.8255,8
M,0.48,0.5135,0.243,8
M,0.525,0.5115,0.246,8
M,0.585,0.7995,0.336,8
M,0.525,0.812,0.4035,8
F,0.4,0.3185,0.134,8
I,0.425,0.3505,0.1645,8
I,0.485,0.562,0.2505,8
I,0.475,0.452,0.191,8
M,0.6,1.1915,0.696,8
I,0.595,0.8335,0.377,8
I,0.35,0.1785,0.0855,8
I,0.51,0.5395,0.2465,8
F,0.585,0.9045,0.405,8
I,0.455,0.486,0.261,8
I,0.41,0.304,0.129,8
I,0.52,0.5185,0.2165,8
M,0.55,0.985,0.4645,8
F,0.48,0.6395,0.2945,8
I,0.45,0.547,0.245,8
I,0.385,0.2755,0.1305,8
F,0.64,1.486,0.7595,8
F,0.49,0.8795,0.3485,8
M,0.415,0.4015,0.199,8
I,0.595,0.9845,0.4525,8
M,0.65,1.175,0.475,8
F,0.555,1.1465,0.551,8
M,0.55,0.7275,0.343,8
I,0.555,0.648,0.2835,8
I,0.385,0.244,0.1215,8
I,0.525,0.6275,0.3015,8
M,0.57,0.827,0.3395,8
F,0.575,0.8765,0.455,8
I,0.51,0.599,0.3065,8
M,0.515,0.9365,0.497,8
F,0.55,0.8435,0.434,8
M,0.515,0.678,0.341,8
M,0.58,1.0025,0.547,8
I,0.38,0.2105,0.0865,8
I,0.405,0.312,0.138,8
I,0.45,0.365,0.14,8
F,0.55,0.84,0.395,8
I,0.475,0.492,0.211,8
I,0.495,0.614,0.2855,8
I,0.32,0.1745,0.072,8
I,0.545,0.717,0.358,8
I,0.55,0.753,0.3445,8
M,0.51,0.769,0.3935,8
M,0.355,0.168,0.05,8
M,0.63,1.286,0.604,8
I,0.455,0.533,0.233,8
I,0.495,0.507,0.241,8
I,0.51,0.625,0.3095,8
M,0.585,0.906,0.4095,8
I,0.505,0.685,0.362,8
I,0.49,0.557,0.2275,8
F,0.59,1.0115,0.445,8
F,0.505,0.5725,0.2555,8
M,0.59,0.8725,0.387,8
F,0.58,0.888,0.41,8
I,0.425,0.3515,0.141,8
I,0.545,0.658,0.327,8
M,0.51,0.7035,0.347,8
I,0.55,0.664,0.2695,8
M,0.535,0.78,0.3165,8
F,0.55,0.923,0.4035,8
I,0.395,0.279,0.134,8
F,0.64,1.0725,0.4895,8
F,0.535,0.7875,0.3395,8
M,0.53,0.7545,0.3495,8
I,0.375,0.237,0.106,8
I,0.5,0.5955,0.2455,8
F,0.57,0.8875,0.4315,8
I,0.53,0.617,0.279,8
M,0.48,0.464,0.221,8
M,0.535,0.874,0.3735,8
I,0.485,0.5205,0.195,8
I,0.405,0.3425,0.1785,8
I,0.47,0.587,0.264,8
I,0.48,0.461,0.2205,8
F,0.61,0.957,0.4255,8
I,0.475,0.6325,0.2825,8
F,0.465,0.6265,0.259,8
M,0.445,0.3615,0.1565,8
F,0.535,0.8725,0.417,8
M,0.525,0.7635,0.3375,8
M,0.59,0.874,0.369,8
I,0.615,0.8425,0.353,8
M,0.575,0.867,0.3765,8
M,0.49,0.554,0.2935,8
F,0.6,0.9325,0.3985,8
M,0.63,1.278,0.637,8
F,0.46,0.4755,0.2105,8
I,0.395,0.306,0.111,8
F,0.525,0.7905,0.4065,8
I,0.36,0.2255,0.0885,8
F,0.415,0.32,0.1305,8
I,0.41,0.361,0.1605,8
F,0.6,0.9735,0.427,8
F,0.585,0.8755,0.411,8
I,0.47,0.5225,0.2265,8
I,0.455,0.4005,0.164,8
I,0.395,0.2725,0.115,8
M,0.475,0.578,0.2825,8
I,0.5,0.5285,0.226,8
F,0.57,0.8775,0.412,8
I,0.56,0.7235,0.349,8
I,0.515,0.6635,0.32,8
M,0.485,0.6435,0.2945,8
M,0.405,0.2605,0.1145,8
I,0.525,0.6445,0.345,8
F,0.63,1.1965,0.514,8
M,0.485,1.029,0.4235,8
M,0.255,0.08,0.0315,8
I,0.35,0.196,0.082,8
M,0.615,1.2,0.5085,8
I,0.485,0.5065,0.2425,8
M,0.555,0.9205,0.404,8
F,0.47,0.4705,0.1635,8
I,0.515,0.556,0.2695,8
M,0.455,0.458,0.2,8
I,0.55,0.7815,0.373,8
F,0.58,1.137,0.5585,8
F,0.535,0.699,0.3125,8
I,0.43,0.384,0.1885,8
M,0.59,0.9895,0.4235,8
I,0.435,0.4155,0.17,8
I,0.56,0.837,0.414,8
I,0.42,0.34,0.1745,8
M,0.52,0.79,0.372,8
M,0.6,0.939,0.4475,8
M,0.565,0.796,0.3635,8
M,0.385,0.2685,0.0975,8
I,0.3,0.1275,0.0435,8
F,0.55,0.964,0.5475,8
I,0.48,0.5785,0.25,8
M,0.635,1.308,0.544,8
I,0.52,0.5345,0.2375,8
I,0.395,0.3075,0.149,8
I,0.575,0.7425,0.2895,8
I,0.525,0.6965,0.3045,8
M,0.475,0.4895,0.2185,8
I,0.525,0.6455,0.325,8
I,0.5,0.439,0.1875,8
M,0.48,0.439,0.194,8
F,0.645,1.4325,0.684,8
I,0.475,0.5185,0.268,8
M,0.58,0.8685,0.418,8
M,0.6,1.05,0.457,8
F,0.6,1.1025,0.5455,8
M,0.59,1.1685,0.539,8
I,0.42,0.354,0.1625,8
F,0.62,1.012,0.477,8
I,0.52,0.5395,0.2295,8
I,0.49,0.5445,0.279,8
F,0.555,0.931,0.4445,8
I,0.47,0.499,0.21,8
I,0.445,0.378,0.152,8
M,0.665,1.363,0.629,8
M,0.57,0.8745,0.416,8
I,0.42,0.4025,0.1855,8
I,0.385,0.308,0.1525,8
I,0.475,0.7095,0.35,8
M,0.61,1.031,0.4375,8
M,0.475,0.48,0.234,8
F,0.59,0.9905,0.453,8
M,0.525,0.7205,0.3685,8
M,0.565,0.99,0.5795,8
M,0.515,0.6125,0.302,8
F,0.465,0.4085,0.165,8
M,0.495,0.6335,0.3035,8
I,0.395,0.2995,0.1265,8
F,0.58,1.2495,0.4945,8
I,0.315,0.1435,0.053,8
M,0.625,1.131,0.5425,8
I,0.455,0.434,0.207,8
I,0.43,0.4295,0.212,8
M,0.555,0.599,0.2345,8
I,0.355,0.1925,0.077,8
I,0.415,0.3645,0.1765,8
F,0.645,1.144,0.5015,8
M,0.48,0.5305,0.2405,8
F,0.505,0.693,0.391,8
I,0.42,0.2865,0.115,8
I,0.52,0.595,0.2385,8
F,0.625,1.1075,0.4485,8
I,0.49,0.624,0.3035,8
I,0.53,0.616,0.292,8
I,0.515,0.6115,0.3175,8
M,0.515,1.007,0.472,8
M,0.625,1.082,0.5785,8
I,0.435,0.5965,0.259,8
I,0.5,0.583,0.294,8
I,0.46,0.386,0.1805,8
M,0.385,0.3175,0.137,8
M,0.47,0.612,0.327,8
I,0.435,0.335,0.136,8
I,0.45,0.514,0.253,8
M,0.525,1.065,0.486,8
M,0.6,0.928,0.4225,8
M,0.535,0.738,0.355,8
F,0.57,0.7805,0.3345,8
M,0.6,0.945,0.4365,8
F,0.58,0.858,0.4,8
F,0.59,1.063,0.5155,8
I,0.475,0.494,0.211,8
I,0.57,0.755,0.3425,8
M,0.42,0.4215,0.175,8
F,0.46,0.4785,0.206,8
M,0.47,0.4775,0.1885,8
F,0.45,0.5885,0.318,8
F,0.47,0.487,0.1955,8
M,0.66,1.2275,0.61,8
I,0.555,0.765,0.3945,8
M,0.46,0.547,0.2165,8
M,0.46,0.4935,0.2435,8
I,0.48,0.5465,0.2735,8
M,0.505,0.521,0.25,8
I,0.52,0.597,0.2935,8
F,0.455,0.594,0.332,8
I,0.475,0.4905,0.205,8
F,0.44,0.3975,0.1505,8
F,0.47,0.6015,0.2765,8
I,0.42,0.409,0.2055,8
I,0.46,0.3965,0.1485,8
F,0.535,0.771,0.3765,8
M,0.61,1.1495,0.564,8
M,0.51,0.796,0.3865,8
I,0.44,0.4965,0.258,8
I,0.5,0.56,0.2835,8
M,0.475,0.649,0.347,8
I,0.495,0.5095,0.2065,8
I,0.495,0.5755,0.31,8
I,0.545,0.7715,0.372,8
I,0.375,0.239,0.105,8
I,0.43,0.428,0.2065,8
M,0.575,0.87,0.3945,8
M,0.47,0.5895,0.2765,8
M,0.595,1.0835,0.5305,8
I,0.35,0.221,0.0985,8
I,0.295,0.116,0.037,8
M,0.505,0.8275,0.3415,8
M,0.51,0.751,0.3295,8
I,0.505,0.7045,0.334,8
M,0.69,1.71,0.7725,8
F,0.5,0.6355,0.277,8
I,0.5,0.5445,0.249,8
F,0.57,0.782,0.3695,8
F,0.57,1.107,0.54,8
F,0.515,0.834,0.367,8
M,0.545,0.7805,0.3795,8
I,0.36,0.2,0.073,8
I,0.53,0.475,0.2025,8
M,0.45,0.4305,0.2235,8
F,0.51,0.632,0.282,8
I,0.5,0.529,0.2235,8
I,0.505,0.551,0.248,8
I,0.5,0.596,0.3015,8
I,0.57,0.794,0.3815,8
I,0.485,0.5705,0.25,8
M,0.38,0.2505,0.106,8
F,0.47,0.582,0.29,8
I,0.55,0.636,0.294,8
I,0.385,0.2175,0.097,8
F,0.55,0.8145,0.427,8
F,0.53,0.7585,0.325,8
I,0.585,0.8915,0.3975,8
M,0.63,1.1325,0.589,8
I,0.29,0.101,0.036,8
I,0.495,0.4715,0.2075,8
M,0.57,0.9875,0.504,8
I,0.445,0.411,0.1985,8
F,0.655,1.2835,0.583,8
M,0.465,0.5,0.21,8
I,0.51,0.597,0.293,8
M,0.52,0.753,0.258,8
I,0.43,0.3675,0.1675,8
F,0.45,0.5225,0.237,8
M,0.53,0.7575,0.398,8
I,0.54,0.6255,0.2525,8
M,0.535,0.6835,0.3125,8
I,0.44,0.344,0.123,8
I,0.47,0.411,0.175,8
I,0.48,0.536,0.251,8
I,0.495,0.5,0.205,8
M,0.49,0.609,0.3065,8
I,0.475,0.4775,0.2145,8
I,0.325,0.152,0.0565,8
I,0.47,0.393,0.167,8
M,0.5,0.7715,0.37,8
M,0.575,0.9155,0.4005,8
I,0.475,0.441,0.1785,8
I,0.535,1.0835,0.4955,8
F,0.43,0.382,0.154,8
I,0.46,0.415,0.187,8
I,0.515,0.7165,0.3495,8
F,0.64,1.0705,0.371,8
I,0.525,0.615,0.261,8
I,0.575,0.983,0.486,8
I,0.455,0.372,0.358,8
I,0.465,0.5805,0.255,8
F,0.37,0.2225,0.093,8
F,0.58,0.834,0.428,8
F,0.6,1.235,0.6025,8
M,0.52,0.9505,0.456,8
I,0.47,0.3685,0.1525,8
I,0.375,0.3,0.14,8
I,0.455,0.4265,0.195,8
I,0.485,0.464,0.2015,8
M,0.41,0.4405,0.19,8
I,0.51,0.5525,0.234,8
F,0.53,0.889,0.4055,8
I,0.485,0.5535,0.266,8
I,0.33,0.1655,0.063,8
I,0.435,0.335,0.156,8
F,0.62,1.1125,0.5635,8
F,0.575,1.0305,0.4605,8
I,0.525,0.5655,0.2435,8
I,0.55,0.804,0.34,8
I,0.44,0.3275,0.1495,8
I,0.415,0.311,0.1125,8
I,0.41,0.28,0.141,8
M,0.72,1.187,0.691,8
F,0.57,0.8585,0.3905,8
F,0.46,0.44,0.19,8
F,0.44,0.364,0.148,8
I,0.545,0.543,0.2375,8
I,0.45,0.4045,0.171,8
F,0.655,1.275,0.583,8
M,0.56,0.7615,0.3695,8
M,0.56,0.8675,0.4,8
I,0.47,0.487,0.196,8
I,0.52,0.6385,0.2945,8
I,0.39,0.2665,0.1185,8
M,0.63,1.027,0.537,8
I,0.545,0.7595,0.358,8
I,0.51,0.5155,0.215,8
I,0.455,0.4055,0.175,8
M,0.56,0.852,0.43,8
I,0.56,0.728,0.3355,8
F,0.46,0.746,0.3005,8
I,0.445,0.358,0.1525,8
I,0.45,0.4585,0.194,8
I,0.355,0.22,0.092,8
F,0.53,0.8495,0.328,8
I,0.41,0.3,0.124,8
F,0.605,0.991,0.4735,8
I,0.46,0.384,0.1795,8
M,0.35,0.2925,0.1225,8
I,0.49,0.4615,0.204,8
I,0.43,0.3405,0.1395,8
I,0.315,0.144,0.053,8
M,0.555,0.85,0.4165,8
I,0.4,0.3245,0.151,8
I,0.435,0.3795,0.1495,8
I,0.525,0.607,0.2355,8
I,0.395,0.284,0.1135,8
I,0.525,0.567,0.2875,8
I,0.46,0.436,0.1975,8
I,0.385,0.2505,0.112,8
I,0.475,0.468,0.201,8
M,0.555,0.7495,0.341,8
F,0.535,0.8215,0.3935,8
I,0.425,0.371,0.15,8
M,0.565,0.9795,0.444,8
I,0.485,0.5215,0.2215,8
M,0.61,1.2435,0.5575,8
I,0.55,0.7665,0.339,8
F,0.565,0.6975,0.3075,8
F,0.44,0.4005,0.143,8
I,0.405,0.91,0.416,8
M,0.485,0.617,0.25,8
M,0.47,0.4265,0.1685,8
F,0.62,1.011,0.479,8
M,0.645,1.561,0.709,8
M,0.665,1.3855,0.621,8
I,0.44,0.456,0.21,8
M,0.525,0.845,0.3525,8
I,0.525,0.608,0.297,8
M,0.465,0.4795,0.227,8
I,0.535,0.5765,0.3595,8
I,0.45,0.468,0.2005,8
M,0.485,0.599,0.251,8
F,0.61,1.3445,0.535,20
M,0.6,1.036,0.4375,20
F,0.725,2.124,0.765,20
F,0.5,0.7105,0.27,20
M,0.615,1.1375,0.367,20
F,0.585,1.099,0.3975,20
M,0.55,0.97,0.2885,20
M,0.7,2.13,0.7415,20
F,0.65,1.4225,0.61,20
F,0.63,1.3135,0.5595,20
I,0.53,0.752,0.299,20
F,0.53,0.7775,0.237,20
M,0.635,1.484,0.55,20
M,0.55,0.991,0.348,20
M,0.655,1.259,0.487,20
M,0.565,1.032,0.354,20
M,0.53,0.8425,0.275,20
F,0.68,1.842,0.625,20
F,0.595,1.247,0.48,20
I,0.58,1.178,0.3935,20
M,0.63,1.352,0.488,20
F,0.675,1.7345,0.6845,20
F,0.59,1.066,0.382,20
F,0.66,1.7605,0.692,16
I,0.44,0.522,0.17,16
F,0.685,1.71,0.5415,16
M,0.655,1.373,0.443,16
I,0.6,1.057,0.383,16
F,0.57,0.8085,0.3235,16
M,0.725,1.891,0.6975,16
F,0.675,1.41,0.592,16
F,0.615,1.1055,0.4445,16
M,0.64,1.3765,0.44,16
M,0.675,1.402,0.483,16
M,0.545,0.8615,0.2925,16
F,0.65,1.752,0.5605,16
M,0.59,1.283,0.473,16
F,0.57,0.9995,0.405,16
M,0.66,1.32,0.5305,16
F,0.6,1.029,0.4085,16
M,0.635,1.064,0.413,16
M,0.64,1.3035,0.4445,16
F,0.465,0.6,0.2225,16
F,0.56,0.981,0.305,16
M,0.65,1.3445,0.519,16
F,0.66,1.523,0.54,16
I,0.45,0.474,0.21,16
M,0.63,1.4985,0.4125,16
F,0.65,1.566,0.6645,16
M,0.58,1.2275,0.473,16
M,0.515,0.7365,0.2955,16
M,0.525,0.8645,0.376,16
F,0.74,1.974,0.598,16
M,0.575,0.955,0.44,16
M,0.645,1.514,0.546,16
M,0.605,1.145,0.4325,16
F,0.54,1.217,0.5305,16
M,0.59,1.187,0.412,16
F,0.645,1.5535,0.616,16
M,0.635,1.275,0.509,16
I,0.635,1.319,0.5485,16
F,0.615,1.14,0.4305,16
F,0.72,1.969,0.8045,16
F,0.625,1.5765,0.5115,16
M,0.565,0.9265,0.354,16
I,0.635,1.3655,0.6255,16
F,0.525,0.6005,0.2265,16
I,0.44,0.435,0.159,16
M,0.51,0.8185,0.3025,16
F,0.65,1.498,0.564,16
M,0.595,0.991,0.4035,16
F,0.52,0.9885,0.396,16
M,0.575,0.853,0.292,16
M,0.44,0.451,0.171,16
M,0.72,2.2695,0.8835,16
F,0.535,0.7765,0.302,16
M,0.535,0.9195,0.3355,16
M,0.475,0.6175,0.202,16
F,0.685,1.768,0.7495,16
F,0.55,0.946,0.313,16
F,0.63,1.005,0.367,16
I,0.56,0.8735,0.3005,16
F,0.535,0.927,0.26,16
I,0.52,0.7325,0.2415,19
M,0.54,0.9715,0.3225,19
F,0.705,1.4685,0.4715,19
F,0.645,1.4635,0.6615,19
M,0.7,1.7255,0.63,19
M,0.695,1.885,0.8665,19
M,0.57,0.9245,0.3445,19
F,0.58,1.073,0.4005,19
M,0.525,0.782,0.285,19
F,0.55,0.8945,0.3145,19
F,0.605,1.0105,0.435,19
M,0.63,1.016,0.4215,19
F,0.6,1.1805,0.4345,19
F,0.565,1.013,0.342,19
F,0.505,0.85,0.275,19
F,0.68,1.787,0.585,19
M,0.5,0.66,0.2655,19
F,0.66,1.514,0.526,19
F,0.69,1.8165,0.7785,19
F,0.53,0.8115,0.24,19
M,0.545,0.9955,0.3245,19
F,0.59,0.9,0.358,19
M,0.595,1.3305,0.4595,19
M,0.69,1.8465,0.732,19
M,0.54,0.989,0.2815,19
M,0.6,1.015,0.3995,19
M,0.645,1.4605,0.5835,19
F,0.68,1.798,0.815,19
M,0.59,0.9455,0.3815,19
I,0.5,0.762,0.3795,14
I,0.58,0.728,0.2725,14
M,0.705,1.981,0.8175,14
F,0.485,0.66,0.2475,14
F,0.64,1.2355,0.4435,14
F,0.595,1.283,0.462,14
F,0.52,0.8705,0.3735,14
F,0.73,1.908,0.5415,14
M,0.645,1.6115,0.6745,14
M,0.59,0.7485,0.3345,14
M,0.58,1.013,0.38,14
M,0.55,1.0985,0.3765,14
M,0.68,1.496,0.5825,14
M,0.595,1.041,0.416,14
M,0.52,0.895,0.3615,14
F,0.46,0.4485,0.165,14
F,0.47,0.5465,0.2005,14
I,0.565,0.782,0.2715,14
M,0.48,0.528,0.2,14
M,0.5,0.6335,0.2305,14
F,0.635,1.2125,0.5735,14
F,0.55,1.082,0.3575,14
M,0.61,1.2,0.56,14
M,0.57,0.91,0.326,14
F,0.67,1.5015,0.518,14
F,0.54,0.8975,0.275,14
F,0.585,1.0835,0.3745,14
M,0.49,0.5545,0.213,14
F,0.605,1.2385,0.528,14
F,0.58,1.071,0.3,14
M,0.45,0.4625,0.164,14
F,0.58,0.925,0.391,14
F,0.675,1.604,0.6175,14
M,0.53,0.835,0.32,14
M,0.5,0.721,0.3055,14
F,0.57,1.1,0.4125,14
M,0.55,0.7605,0.2505,14
M,0.59,1.073,0.475,14
F,0.655,1.092,0.396,14
F,0.63,1.22,0.4905,14
F,0.615,1.2985,0.5135,14
F,0.665,1.5785,0.678,14
F,0.555,0.958,0.296,14
M,0.56,0.8085,0.3025,14
M,0.695,1.477,0.6375,14
M,0.585,0.945,0.41,14
F,0.55,0.884,0.2875,14
F,0.75,2.5085,1.232,14
F,0.595,1.2515,0.5035,14
M,0.665,1.383,0.596,14
M,0.46,0.6105,0.1955,14
F,0.625,1.3485,0.5255,14
F,0.57,0.733,0.282,14
M,0.605,1.3,0.517,14
F,0.465,0.579,0.208,14
M,0.515,0.9565,0.325,14
M,0.62,1.219,0.3875,14
I,0.44,0.487,0.1965,14
F,0.625,1.3025,0.61,14
I,0.61,1.0385,0.4435,14
M,0.58,0.927,0.276,14
M,0.49,0.609,0.239,14
I,0.47,0.51,0.1615,14
M,0.495,0.6335,0.2,14
F,0.525,0.6065,0.194,14
F,0.63,1.423,0.4155,14
F,0.605,1.0735,0.437,14
M,0.43,0.34,0.1315,14
M,0.645,1.5595,0.741,14
F,0.57,0.903,0.3305,14
F,0.7,1.31,0.5095,14
M,0.6,1.0875,0.403,14
M,0.445,0.5905,0.2025,14
M,0.535,0.8055,0.301,14
I,0.45,0.443,0.1975,14
I,0.59,0.893,0.2745,14
I,0.625,0.972,0.404,14
M,0.535,0.862,0.2855,14
M,0.725,2.55,1.0705,14
M,0.5,0.7615,0.246,14
F,0.535,0.7365,0.2785,14
M,0.76,1.829,0.7035,14
F,0.62,1.3475,0.4775,14
F,0.615,1.1025,0.4695,14
M,0.555,0.8695,0.3075,14
F,0.57,1.0915,0.452,14
M,0.63,1.26,0.4525,14
F,0.575,1.0405,0.419,14
M,0.66,1.6375,0.7685,14
F,0.815,2.255,0.8905,14
I,0.525,0.795,0.3075,14
M,0.665,1.606,0.5755,14
M,0.585,1.047,0.4315,14
F,0.57,0.872,0.3245,14
I,0.385,0.252,0.0915,14
M,0.575,1.165,0.581,14
M,0.65,1.793,0.8005,14
I,0.55,0.806,0.376,14
M,0.57,0.9395,0.399,14
F,0.62,1.0935,0.403,14
M,0.56,0.971,0.443,14
F,0.525,0.72,0.3105,14
F,0.55,0.8515,0.362,14
F,0.62,1.1255,0.4985,14
M,0.615,1.304,0.5795,14
F,0.61,1.153,0.403,14
F,0.725,2.1425,1.03,14
F,0.695,2.0475,0.75,14
F,0.645,1.2915,0.57,14
M,0.73,2.2305,1.2395,14
F,0.515,0.766,0.304,14
M,0.565,0.9025,0.31,14
M,0.485,0.6295,0.2285,14
M,0.65,1.4995,0.6265,14
F,0.675,1.1965,0.475,11
F,0.725,1.6195,0.744,11
M,0.63,1.1955,0.492,11
M,0.74,2.3235,1.1495,11
F,0.625,1.354,0.4845,11
F,0.64,1.4195,0.6735,11
M,0.685,1.3735,0.7185,11
M,0.69,1.6915,0.6655,11
F,0.615,1.1345,0.4695,11
F,0.655,1.2895,0.5345,11
M,0.68,1.4775,0.724,11
F,0.695,1.7635,0.7465,11
M,0.62,1.003,0.4655,11
M,0.71,2.015,0.9215,11
F,0.6,1.13,0.4405,11
F,0.6,1.133,0.466,11
I,0.55,0.783,0.3045,11
M,0.695,1.6645,0.727,11
I,0.63,1.272,0.6025,11
M,0.57,0.96,0.387,11
M,0.595,0.942,0.43,11
F,0.46,0.639,0.3,11
M,0.6,1.157,0.522,11
M,0.75,2.201,1.0615,11
M,0.665,1.6385,0.831,11
M,0.675,1.3645,0.557,11
F,0.49,0.5395,0.2175,11
F,0.68,1.7775,0.861,11
M,0.64,1.4585,0.625,11
M,0.69,1.777,0.769,11
M,0.585,1.218,0.639,11
M,0.665,1.443,0.6635,11
M,0.585,0.987,0.4355,11
F,0.75,1.938,0.7735,11
F,0.615,1.194,0.559,11
M,0.56,0.797,0.34,11
F,0.7,1.7365,0.7755,11
F,0.61,1.089,0.469,11
M,0.455,0.515,0.2,11
I,0.605,0.9025,0.432,11
M,0.49,0.5415,0.2175,11
F,0.41,0.363,0.1735,11
F,0.515,0.712,0.2665,11
M,0.65,1.6785,0.6665,11
M,0.355,0.2455,0.0955,11
F,0.565,0.8305,0.3135,11
F,0.52,0.728,0.302,11
F,0.49,0.6125,0.2555,11
F,0.545,0.7335,0.2795,11
F,0.64,1.5175,0.693,11
M,0.565,0.9185,0.404,11
M,0.55,0.81,0.317,11
F,0.56,0.9285,0.3825,11
F,0.47,0.5175,0.187,11
I,0.63,1.217,0.5515,11
F,0.49,0.541,0.171,11
M,0.625,1.0485,0.487,11
M,0.695,1.691,0.768,11
M,0.615,1.337,0.5995,11
I,0.62,1.066,0.446,11
M,0.6,1.014,0.451,11
I,0.335,0.1835,0.078,11
M,0.545,0.8395,0.356,11
M,0.72,1.914,0.9155,11
M,0.58,0.927,0.3215,11
M,0.56,0.9355,0.425,11
F,0.625,1.3825,0.5895,11
