@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.35,0.4775,0.175,8
I,0.42,0.658,0.198,8
I,0.375,0.487,0.135,8
I,0.45,0.794,0.245,8
I,0.305,0.284,0.0945,8
M,0.415,0.751,0.203,8
I,0.285,0.239,0.07,8
M,0.435,0.7495,0.214,8
I,0.43,0.677,0.23,8
I,0.39,0.5955,0.173,8
I,0.425,0.686,0.213,8
F,0.35,0.6265,0.175,8
F,0.445,0.888,0.2425,8
I,0.455,0.8725,0.285,8
F,0.365,0.6395,0.175,8
M,0.31,0.3245,0.115,8
M,0.48,1.031,0.27,8
I,0.48,0.9175,0.29,8
I,0.355,0.468,0.12,8
I,0.38,0.5545,0.167,8
I,0.34,0.3245,0.105,8
M,0.44,0.85,0.23,8
M,0.36,0.578,0.17,8
I,0.35,0.514,0.14,8
M,0.475,0.884,0.27,8
F,0.39,0.5725,0.146,8
M,0.415,0.753,0.255,8
F,0.4,0.6615,0.22,8
F,0.425,0.746,0.24,8
I,0.43,0.772,0.2615,8
I,0.37,0.3965,0.1455,8
M,0.35,0.4655,0.135,8
M,0.295,0.241,0.095,8
M,0.44,0.8725,0.245,8
I,0.4,0.624,0.169,8
I,0.31,0.3425,0.0855,8
M,0.385,0.5115,0.1455,8
I,0.44,0.755,0.224,8
I,0.39,0.583,0.1605,8
F,0.38,0.608,0.185,8
I,0.375,0.589,0.1405,8
M,0.44,0.827,0.235,8
I,0.435,0.4265,0.1205,8
I,0.27,0.2105,0.07,8
I,0.36,0.5155,0.147,8
M,0.39,0.617,0.1635,8
I,0.3,0.5965,0.1645,8
M,0.39,0.678,0.119,8
M,0.42,0.738,0.1795,8
M,0.5,1.238,0.32,8
I,0.365,0.5185,0.1365,8
F,0.495,1.153,0.245,8
I,0.4,0.5935,0.204,8
I,0.365,0.461,0.135,8
F,0.43,0.834,0.23,8
F,0.35,0.4085,0.131,8
I,0.395,0.7865,0.2455,8
I,0.32,0.378,0.12,8
M,0.54,1.71,0.4325,8
F,0.35,0.44,0.13,8
I,0.31,0.3505,0.1,8
F,0.4,0.615,0.1765,8
I,0.315,0.378,0.1045,8
I,0.355,0.5785,0.184,8
M,0.45,0.8685,0.2605,8
F,0.455,1.107,0.27,8
I,0.335,0.4055,0.1185,8
M,0.28,0.252,0.074,8
M,0.47,1.1325,0.287,8
I,0.29,0.2505,0.08,8
F,0.355,0.5225,0.145,8
I,0.375,0.614,0.161,8
M,0.5,1.082,0.25,8
I,0.4,0.6275,0.18,8
I,0.395,0.5525,0.165,8
F,0.425,0.7585,0.205,8
I,0.335,0.411,0.109,8
F,0.375,0.6015,0.135,8
I,0.37,0.5445,0.152,8
I,0.38,0.615,0.175,8
M,0.4,0.7575,0.175,8
I,0.375,0.5225,0.162,8
M,0.45,0.8275,0.2445,8
I,0.43,0.7595,0.2055,8
F,0.425,0.8765,0.228,8
F,0.355,0.441,0.135,8
I,0.38,0.5345,0.1535,8
M,0.43,0.8675,0.229,8
I,0.355,0.4965,0.1495,8
I,0.315,0.3245,0.088,8
I,0.385,0.516,0.165,8
I,0.33,0.335,0.105,8
M,0.45,1.0025,0.2295,8
M,0.485,1.175,0.215,8
F,0.5,1.1965,0.3995,8
I,0.355,0.4585,0.14,8
I,0.39,0.685,0.156,8
I,0.305,0.2715,0.09,8
I,0.375,0.533,0.185,8
F,0.435,0.8585,0.2295,8
I,0.345,0.4295,0.109,8
F,0.445,1.1465,0.2785,8
F,0.43,0.84,0.1945,8
I,0.425,0.664,0.21,8
M,0.47,0.9955,0.24,8
I,0.39,0.6255,0.19,8
F,0.44,0.6405,0.245,8
I,0.435,0.765,0.206,8
I,0.375,0.521,0.17,8
M,0.465,1.193,0.3055,8
I,0.33,0.358,0.1185,8
M,0.41,0.599,0.194,8
M,0.385,0.5785,0.14,8
I,0.385,0.596,0.151,8
I,0.36,0.439,0.1305,8
M,0.45,0.9655,0.23,8
I,0.29,0.2365,0.076,8
M,0.365,1.029,0.313,8
F,0.48,1.2495,0.371,8
I,0.405,0.658,0.174,8
F,0.305,0.32,0.105,8
F,0.32,0.353,0.1,8
F,0.46,0.9905,0.275,8
I,0.47,0.974,0.289,8
M,0.47,0.928,0.275,8
M,0.455,0.906,0.2335,8
I,0.42,0.74,0.1985,8
M,0.425,0.9365,0.2185,8
M,0.48,1.05,0.28,8
M,0.45,0.7995,0.237,8
F,0.465,0.9965,0.47,8
M,0.39,0.599,0.169,8
F,0.43,0.84,0.223,8
M,0.47,1.2,0.292,8
M,0.435,0.99,0.206,8
I,0.415,0.7815,0.2215,8
I,0.4,0.6455,0.17,8
M,0.385,0.649,0.1695,8
M,0.275,0.2685,0.085,8
I,0.395,0.608,0.1405,8
F,0.435,0.6955,0.2245,8
I,0.255,0.1785,0.0525,8
I,0.275,0.22,0.15,8
F,0.475,1.072,0.315,8
I,0.365,0.651,0.18,8
I,0.28,0.196,0.064,8
I,0.325,0.3995,0.1125,8
I,0.38,0.5095,0.165,8
M,0.47,0.861,0.249,8
F,0.435,1.012,0.275,8
M,0.505,1.131,0.323,8
I,0.34,0.384,0.11,8
I,0.27,0.232,0.056,8
F,0.435,0.834,0.23,8
I,0.25,0.185,0.055,8
F,0.455,1.275,0.333,8
M,0.485,1.278,0.31,8
I,0.355,0.4975,0.14,8
I,0.38,0.5155,0.166,8
F,0.475,1.1155,0.3065,8
I,0.365,0.5205,0.182,8
M,0.515,1.3855,0.3445,8
M,0.345,0.4935,0.132,8
I,0.395,0.6635,0.17,8
M,0.355,0.48,0.135,8
I,0.405,0.6965,0.21,8
I,0.38,0.5395,0.157,8
I,0.34,0.3795,0.12,8
I,0.225,0.101,0.035,8
M,0.435,0.9205,0.255,8
I,0.325,0.354,0.105,8
M,0.455,1.114,0.265,8
I,0.405,0.5945,0.185,8
I,0.365,0.411,0.135,8
M,0.28,0.224,0.075,8
I,0.37,0.536,0.15,8
I,0.4,0.5655,0.175,8
M,0.47,1.206,0.309,8
I,0.195,0.102,0.034,8
M,0.43,0.7165,0.2155,8
I,0.325,0.316,0.0925,8
M,0.365,0.612,0.14,8
I,0.44,0.983,0.239,8
M,0.325,0.413,0.13,8
F,0.46,1.065,0.2815,8
I,0.355,0.4445,0.1335,8
M,0.45,0.858,0.2405,8
F,0.45,1.137,0.29,8
F,0.46,0.9325,0.248,8
M,0.385,0.5895,0.17,8
F,0.45,0.9045,0.2335,8
M,0.525,1.363,0.34,8
I,0.375,0.4615,0.143,8
I,0.365,0.4545,0.158,8
I,0.31,0.2865,0.085,8
M,0.49,1.146,0.265,8
F,0.455,1.063,0.25,8
M,0.485,1.2275,0.3,8
F,0.265,0.2065,0.06,8
I,0.38,0.6245,0.1665,8
I,0.3,0.308,0.0835,8
I,0.4,0.578,0.1645,8
I,0.24,0.137,0.04,8
M,0.48,1.1495,0.264,8
F,0.51,1.486,0.321,8
F,0.35,0.487,0.155,8
I,0.42,0.8935,0.228,8
I,0.21,0.1,0.031,8
M,0.455,1.1915,0.24,8
I,0.35,0.468,0.1325,8
I,0.44,0.7235,0.2,8
I,0.385,0.56,0.135,8
F,0.46,0.9735,0.3,8
I,0.31,0.2665,0.081,8
M,0.37,0.649,0.142,8
I,0.405,0.6015,0.18,8
I,0.375,0.557,0.1765,8
F,0.455,0.8755,0.225,8
I,0.26,0.1925,0.065,8
I,0.37,0.5065,0.1465,8
I,0.42,0.717,0.22,8
I,0.29,0.3,0.0825,8
F,0.325,0.445,0.155,8
I,0.46,0.8335,0.235,8
I,0.33,0.365,0.1245,8
M,0.265,0.201,0.0695,8
I,0.32,0.3075,0.09,8
M,0.335,0.406,0.135,8
F,0.46,1.0515,0.276,8
I,0.34,0.371,0.115,8
M,0.4,0.58,0.185,8
I,0.2,0.0995,0.032,8
M,0.405,0.7185,0.175,8
I,0.31,0.91,0.0995,8
I,0.28,0.2255,0.09,8
I,0.23,0.144,0.04,8
I,0.385,0.7665,0.1805,8
I,0.42,0.7095,0.1845,8
I,0.34,0.4385,0.12,8
F,0.475,1.0725,0.31,8
I,0.45,0.8915,0.253,8
F,0.385,0.632,0.17,8
M,0.395,0.6335,0.1495,8
F,0.355,0.594,0.1335,8
I,0.43,0.728,0.2175,8
I,0.34,0.3405,0.12,8
I,0.385,1.0835,0.304,8
I,0.31,0.311,0.115,8
I,0.4,0.617,0.19,8
M,0.52,1.561,0.4,8
I,0.24,0.152,0.054,8
M,0.48,1.286,0.35,8
I,0.4,0.597,0.16,8
I,0.355,0.4725,0.132,8
I,0.4,0.775,0.2055,8
M,0.41,0.7545,0.2105,8
I,0.28,0.215,0.079,8
M,0.48,1.2065,0.286,8
I,0.425,0.648,0.2105,8
M,0.33,0.4955,0.129,8
I,0.28,0.2025,0.065,8
F,0.46,1.0115,0.2565,8
F,0.53,1.2835,0.4,8
I,0.385,0.585,0.165,8
I,0.38,0.5,0.1505,8
I,0.415,0.6385,0.171,8
I,0.315,0.384,0.11,8
I,0.3,0.304,0.0955,8
M,0.415,0.852,0.205,8
I,0.215,0.116,0.04,8
M,0.41,0.796,0.1955,8
F,0.4,0.6975,0.18,8
M,0.435,1.065,0.285,8
F,0.39,0.66,0.175,8
I,0.315,0.3645,0.095,8
I,0.325,0.82,0.211,8
F,0.425,0.782,0.1965,8
I,0.38,0.616,0.185,8
I,0.31,0.2805,0.0925,8
I,0.4,0.602,0.19,8
F,0.43,0.655,0.221,8
F,0.43,0.923,0.283,8
I,0.35,0.471,0.123,8
F,0.48,0.897,0.248,8
I,0.37,0.4715,0.15,8
F,0.44,0.8435,0.185,8
I,0.375,0.494,0.191,8
I,0.375,0.494,0.1545,8
I,0.3,0.28,0.075,8
I,0.415,0.5705,0.185,8
M,0.41,0.6835,0.159,8
F,0.46,0.957,0.265,8
M,0.445,0.796,0.219,8
M,0.315,0.4015,0.097,8
I,0.34,0.4045,0.1345,8
M,0.365,0.5305,0.139,8
I,0.355,0.3615,0.12,8
I,0.365,0.426,0.151,8
I,0.365,0.4495,0.15,8
M,0.32,0.4565,0.1025,8
I,0.355,0.5035,0.14,8
F,0.325,0.3185,0.095,8
F,0.48,1.1125,0.281,8
M,0.355,0.464,0.239,8
I,0.36,0.4905,0.125,8
I,0.38,0.5285,0.209,8
M,0.37,0.4895,0.146,8
I,0.365,0.462,0.1315,8
I,0.405,0.6795,0.182,8
M,0.35,0.4425,0.135,8
F,0.275,0.227,0.07,8
I,0.28,0.2175,0.067,8
M,0.45,0.7805,0.216,8
M,0.425,0.79,0.19,8
F,0.465,1.011,0.255,8
I,0.395,0.556,0.17,8
M,0.405,0.7035,0.1885,8
I,0.325,0.361,0.103,8
I,0.345,0.393,0.12,8
I,0.325,0.405,0.1065,8
M,0.415,0.78,0.2365,8
I,0.355,0.48,0.1505,8
M,0.365,0.521,0.15,8
F,0.45,0.7805,0.21,8
I,0.245,0.1435,0.05,8
I,0.3,0.3515,0.12,8
I,0.435,0.7715,0.227,8
I,0.32,0.262,0.0725,8
I,0.355,0.5805,0.184,8
I,0.28,0.2755,0.0725,8
I,0.34,0.428,0.115,8
M,0.445,1.0635,0.24,8
I,0.335,0.444,0.11,8
F,0.5,1.0705,0.36,8
M,0.48,1.2435,0.372,8
M,0.285,0.271,0.08,8
I,0.31,0.312,0.087,8
M,0.4,0.559,0.149,8
I,0.3,0.2995,0.0895,8
I,0.36,0.452,0.13,8
I,0.23,0.1275,0.04,8
F,0.36,0.4705,0.1385,8
M,0.46,0.9155,0.2385,8
M,0.44,0.9155,0.25,8
F,0.33,0.4005,0.12,8
M,0.255,0.3175,0.092,8
M,0.455,0.945,0.25,8
M,0.45,0.9275,0.2515,8
F,0.445,0.858,0.253,8
M,0.255,0.1635,0.057,8
F,0.425,0.771,0.1795,8
I,0.375,0.5535,0.157,8
M,0.39,0.6125,0.1415,8
M,0.35,0.46,0.135,8
F,0.365,0.5885,0.1325,8
I,0.4,0.6445,0.2,8
I,0.325,0.4965,0.1075,8
M,0.39,0.769,0.19,8
M,0.425,0.812,0.195,8
M,0.385,0.7275,0.19,8
I,0.41,0.7025,0.2,8
I,0.42,0.837,0.2,8
I,0.29,0.2745,0.078,8
M,0.565,1.187,0.2685,8
I,0.355,0.4495,0.14,8
I,0.41,0.5185,0.184,8
I,0.355,0.4775,0.1435,8
I,0.34,0.486,0.1315,8
I,0.34,0.396,0.125,8
I,0.355,0.436,0.125,8
M,0.23,0.125,0.043,8
I,0.41,0.595,0.19,8
F,0.34,0.382,0.109,8
F,0.275,0.2225,0.08,8
F,0.44,0.9475,0.275,8
M,0.395,0.553,0.167,8
F,0.49,1.1075,0.3595,8
M,0.435,0.874,0.2195,8
I,0.27,0.2,0.061,8
I,0.4,0.616,0.1935,8
M,0.505,1.403,0.365,8
I,0.355,0.499,0.155,8
I,0.475,0.8425,0.251,8
M,0.48,1.1785,0.3235,8
I,0.3,0.279,0.075,8
I,0.405,0.599,0.1485,8
M,0.4,0.7715,0.211,8
M,0.44,0.8275,0.239,8
M,0.47,1.0195,0.2475,8
M,0.34,0.4215,0.135,8
I,0.43,0.9845,0.2725,8
F,0.425,0.964,0.215,8
F,0.465,1.1005,0.265,8
I,0.4,0.622,0.169,8
I,0.38,0.441,0.1505,8
M,0.325,0.4305,0.1155,8
M,0.375,0.523,0.145,8
I,0.285,0.244,0.068,8
I,0.36,0.6325,0.19,8
I,0.375,0.507,0.15,8
I,0.35,0.5465,0.158,8
M,0.335,0.4405,0.135,8
M,0.445,0.8965,0.2215,8
F,0.415,0.8145,0.175,8
M,0.355,0.4795,0.125,8
F,0.34,0.364,0.1175,8
F,0.305,0.2815,0.09,8
F,0.435,0.9,0.265,8
F,0.365,0.582,0.146,8
F,0.45,0.8495,0.225,8
M,0.375,0.5,0.1505,8
I,0.375,0.529,0.16,8
M,0.3,0.2505,0.0775,8
I,0.43,0.7425,0.22,8
F,0.445,0.95,0.2325,8
I,0.315,0.4025,0.1015,8
F,0.465,1.1025,0.25,8
F,0.38,0.693,0.1515,8
M,0.44,0.87,0.225,8
I,0.345,0.4005,0.126,8
I,0.395,0.5395,0.167,8
F,0.435,1.0305,0.36,8
F,0.33,0.406,0.1355,8
I,0.26,0.221,0.07,8
F,0.445,0.8725,0.24,8
F,0.415,0.724,0.175,8
F,0.48,1.2525,0.33,8
I,0.315,0.3,0.1,8
F,0.42,0.931,0.225,8
F,0.505,1.4325,0.336,8
F,0.4,0.8215,0.205,8
I,0.355,0.393,0.115,8
F,0.36,0.4755,0.16,8
I,0.39,0.567,0.16,8
M,0.465,0.9065,0.29,8
F,0.3,0.3025,0.0935,8
M,0.395,1.007,0.252,8
I,0.32,0.3675,0.105,8
F,0.425,0.8495,0.202,8
I,0.37,0.538,0.139,8
I,0.34,0.386,0.0965,8
F,0.365,0.4305,0.1245,8
F,0.42,0.699,0.2035,8
I,0.33,0.372,0.11,8
M,0.395,0.7635,0.225,8
F,0.44,0.8815,0.2155,8
M,0.525,1.7005,0.405,8
M,0.36,0.5135,0.155,8
F,0.405,0.776,0.22,8
I,0.36,0.4355,0.125,8
M,0.455,0.852,0.225,8
F,0.445,0.8775,0.22,8
F,0.41,0.7905,0.177,8
I,0.325,0.317,0.09,8
M,0.455,0.867,0.268,8
M,0.39,0.6435,0.198,8
M,0.35,0.3615,0.117,8
I,0.385,0.587,0.174,8
I,0.355,0.601,0.185,8
F,0.375,0.5375,0.17,8
M,0.485,1.0145,0.2415,8
I,0.38,0.5215,0.16,8
M,0.35,0.458,0.1305,8
I,0.39,0.597,0.1555,8
M,0.45,0.874,0.24,8
M,0.38,0.5825,0.175,8
I,0.45,0.753,0.24,8
I,0.4,0.7165,0.1785,8
M,0.375,0.4265,0.15,8
F,0.38,0.6355,0.1785,8
I,0.26,0.192,0.07,8
M,0.38,0.5865,0.185,8
M,0.385,0.562,0.153,8
M,0.375,0.5805,0.169,8
F,0.34,0.3975,0.135,8
F,0.42,0.627,0.183,8
M,0.39,0.5585,0.1535,8
I,0.285,0.2225,0.075,8
I,0.4,0.5605,0.17,8
I,0.3,0.259,0.085,8
M,0.4,0.7205,0.1735,8
M,0.37,0.5135,0.135,8
M,0.38,0.554,0.15,8
I,0.35,0.456,0.131,8
I,0.34,0.344,0.125,8
I,0.37,0.5555,0.163,8
I,0.4,0.7045,0.207,8
M,0.485,1.0835,0.276,8
I,0.285,0.237,0.08,8
I,0.325,0.326,0.101,8
M,0.42,0.8745,0.25,8
I,0.39,0.531,0.1615,8
I,0.38,0.519,0.134,8
I,0.375,0.5755,0.1395,8
I,0.32,0.3275,0.1,8
I,0.385,0.607,0.195,8
I,0.385,0.625,0.1725,8
F,0.525,1.4225,0.445,20
M,0.58,2.13,0.58,20
M,0.47,1.036,0.325,20
F,0.4,0.7105,0.225,20
F,0.47,1.099,0.358,20
F,0.57,1.842,0.65,20
F,0.455,1.066,0.415,20
M,0.525,1.1375,0.37,20
I,0.445,1.178,0.315,20
M,0.525,1.259,0.445,20
F,0.485,1.3445,0.515,20
M,0.44,1.122,0.375,20
F,0.5,1.3135,0.4,20
M,0.425,0.97,0.48,20
F,0.575,2.124,0.85,20
F,0.475,1.247,0.425,20
M,0.515,1.4805,0.525,20
F,0.45,1.098,0.405,20
M,0.515,1.352,0.45,20
I,0.42,0.752,0.205,20
F,0.415,0.7775,0.33,20
F,0.545,1.7345,0.605,20
M,0.525,1.484,0.43,20
M,0.43,0.8645,0.2515,16
I,0.355,0.435,0.14,16
M,0.405,0.8345,0.29,16
M,0.45,1.283,0.425,16
F,0.515,1.498,0.425,16
F,0.315,0.3515,0.1195,16
M,0.485,0.911,0.29,16
M,0.465,1.1285,0.33,16
F,0.39,0.6005,0.21,16
F,0.425,0.7765,0.25,16
F,0.515,1.14,0.42,16
F,0.35,0.4485,0.1335,16
I,0.35,0.474,0.1275,16
M,0.46,1.2275,0.435,16
F,0.44,0.946,0.335,16
M,0.485,1.514,0.635,16
M,0.575,2.2695,0.665,16
M,0.455,0.9265,0.375,16
F,0.535,1.41,0.42,16
F,0.6,1.974,0.71,16
F,0.4,0.796,0.28,16
F,0.52,1.5535,0.474,16
M,0.525,1.402,0.465,16
F,0.565,1.7605,0.5,16
F,0.5,1.1055,0.39,16
I,0.5,1.319,0.49,16
M,0.52,1.3445,0.4465,16
M,0.415,0.8185,0.235,16
M,0.515,1.373,0.49,16
I,0.33,0.522,0.195,16
F,0.48,1.029,0.295,16
M,0.45,0.955,0.27,16
M,0.515,1.275,0.34,16
F,0.375,0.6,0.23,16
F,0.5,1.005,0.36,16
M,0.525,1.3765,0.47,16
I,0.445,1.057,0.355,16
M,0.5,1.187,0.37,16
F,0.545,1.752,0.815,16
I,0.445,0.8735,0.275,16
M,0.45,0.8615,0.365,16
F,0.545,1.566,0.415,16
F,0.425,0.768,0.26,16
F,0.405,0.927,0.345,16
M,0.51,1.4985,0.545,16
F,0.475,1.217,0.34,16
I,0.48,1.3655,0.425,16
M,0.565,1.891,0.58,16
F,0.425,0.9885,0.32,16
F,0.525,1.5765,0.665,16
M,0.5,1.3035,0.465,16
F,0.445,0.981,0.335,16
F,0.515,1.523,0.555,16
M,0.35,0.451,0.184,16
F,0.545,1.768,0.485,16
M,0.47,0.853,0.35,16
M,0.545,1.32,0.455,16
F,0.465,0.9995,0.295,16
M,0.47,0.991,0.34,16
M,0.42,0.9195,0.26,16
M,0.41,0.989,0.355,19
F,0.55,1.798,0.455,19
M,0.455,1.3305,0.345,19
M,0.435,0.9955,0.325,19
M,0.395,0.782,0.285,19
M,0.405,0.9245,0.295,19
F,0.525,1.4635,0.435,19
M,0.5,1.015,0.33,19
M,0.405,0.9715,0.29,19
M,0.57,1.885,0.5,19
M,0.515,1.016,0.355,19
I,0.355,0.412,0.16,19
F,0.475,1.1805,0.425,19
F,0.41,0.8115,0.24,19
F,0.46,0.9955,0.26,19
F,0.58,1.787,0.6,19
M,0.38,0.66,0.215,19
M,0.45,1.07,0.41,19
M,0.515,1.4605,0.41,19
M,0.55,1.8465,0.57,19
F,0.455,1.013,0.35,19
F,0.555,1.4685,0.52,19
I,0.39,0.7325,0.26,19
F,0.44,1.073,0.335,19
F,0.44,0.8945,0.32,19
F,0.45,0.9,0.315,19
F,0.555,1.8165,0.515,19
F,0.425,0.85,0.285,19
M,0.535,1.7255,0.54,19
M,0.475,0.945,0.28,14
F,0.495,1.0915,0.315,14
M,0.42,0.8695,0.25,14
F,0.41,0.8705,0.25,14
F,0.465,1.082,0.19,14
F,0.55,1.908,0.5965,14
M,0.45,0.7485,0.22,14
F,0.435,0.884,0.28,14
M,0.45,0.91,0.355,14
M,0.45,1.013,0.36,14
M,0.385,0.7615,0.204,14
M,0.57,2.55,0.725,14
F,0.485,1.3025,0.3605,14
M,0.505,1.26,0.406,14
F,0.475,0.925,0.275,14
I,0.46,1.2395,0.38,14
F,0.46,1.0835,0.325,14
F,0.51,1.2125,0.36,14
M,0.495,1.304,0.371,14
M,0.45,0.927,0.36,14
M,0.41,0.862,0.32,14
M,0.49,1.3,0.31,14
M,0.535,1.606,0.48,14
F,0.55,1.2915,0.33,14
M,0.515,1.6115,0.385,14
F,0.51,1.1255,0.315,14
M,0.455,1.041,0.365,14
M,0.475,1.0875,0.325,14
I,0.385,0.762,0.19,14
M,0.41,0.7605,0.195,14
F,0.44,0.742,0.2115,14
M,0.455,1.165,0.3,14
F,0.565,2.1425,0.503,14
M,0.44,0.9025,0.325,14
M,0.51,1.613,0.47,14
F,0.65,2.255,0.7975,14
F,0.425,0.766,0.255,14
M,0.45,0.895,0.235,14
M,0.535,1.383,0.485,14
M,0.42,0.609,0.22,14
M,0.44,0.971,0.265,14
F,0.46,1.1,0.38,14
M,0.44,0.835,0.245,14
M,0.48,1.2,0.28,14
I,0.465,0.972,0.35,14
F,0.355,0.5465,0.185,14
M,0.485,1.219,0.385,14
F,0.53,2.0475,0.6095,14
F,0.61,2.5085,0.612,14
I,0.34,0.384,0.146,14
M,0.56,1.981,0.76,14
M,0.55,1.9565,0.59,14
F,0.525,1.5785,0.456,14
M,0.495,1.793,0.53,14
F,0.38,0.579,0.22,14
F,0.505,1.2355,0.365,14
M,0.575,1.829,0.56,14
F,0.395,0.66,0.235,14
M,0.39,0.853,0.27,14
M,0.53,1.496,0.465,14
I,0.4,0.51,0.198,14
I,0.405,0.795,0.255,14
F,0.485,1.2515,0.33,14
F,0.38,0.6065,0.21,14
F,0.575,1.31,0.42,14
M,0.53,1.477,0.43,14
M,0.38,0.528,0.16,14
F,0.385,0.536,0.173,14
F,0.535,1.242,0.39,14
M,0.585,2.2305,0.563,14
I,0.305,0.252,0.09,14
F,0.455,0.958,0.39,14
M,0.395,0.6295,0.225,14
M,0.5,1.5595,0.3845,14
F,0.47,1.2985,0.32,14
M,0.455,1.073,0.285,14
F,0.455,1.0595,0.285,14
I,0.425,0.806,0.245,14
I,0.475,1.0385,0.32,14
F,0.54,1.7025,0.4735,14
M,0.42,0.8085,0.285,14
F,0.485,1.0735,0.33,14
F,0.51,1.092,0.37,14
M,0.375,0.721,0.22,14
F,0.415,0.8975,0.275,14
F,0.445,0.733,0.235,14
I,0.345,0.487,0.16,14
F,0.485,1.0405,0.3,14
M,0.45,1.047,0.315,14
F,0.54,1.5015,0.505,14
M,0.45,1.0985,0.4,14
F,0.535,1.604,0.453,14
I,0.42,0.728,0.19,14
M,0.36,0.6105,0.235,14
M,0.385,0.6175,0.215,14
F,0.45,1.071,0.395,14
M,0.385,0.6335,0.235,14
I,0.435,0.782,0.285,14
F,0.405,0.72,0.2,14
F,0.51,1.3475,0.48,14
M,0.525,1.4995,0.395,14
M,0.335,0.4625,0.15,14
F,0.365,0.6195,0.177,14
I,0.345,0.443,0.1175,14
M,0.35,0.5905,0.19,14
F,0.48,1.0935,0.355,14
F,0.47,1.153,0.32,14
F,0.365,0.4485,0.17,14
F,0.475,1.1025,0.345,14
M,0.48,0.9395,0.295,14
F,0.465,0.872,0.285,14
F,0.5,1.22,0.345,14
M,0.51,1.6375,0.3925,14
M,0.495,1.3835,0.345,11
F,0.515,1.1635,0.355,11
M,0.45,0.9355,0.2725,11
F,0.46,1.0035,0.2515,11
M,0.48,1.2555,0.3175,11
M,0.35,0.4835,0.16,11
F,0.525,1.385,0.405,11
F,0.485,1.073,0.35,11
F,0.54,1.5585,0.385,11
M,0.475,1.157,0.36,11
M,0.525,1.707,0.4435,11
M,0.5,1.3385,0.349,11
F,0.505,1.434,0.431,11
M,0.42,0.745,0.2885,11
M,0.51,1.7835,0.4195,11
F,0.455,0.9805,0.2965,11
F,0.495,1.4255,0.38,11
M,0.455,1.013,0.295,11
M,0.31,0.3595,0.115,11
M,0.52,1.3655,0.36,11
I,0.445,0.672,0.21,11
M,0.495,1.29,0.3445,11
F,0.5,1.5175,0.409,11
M,0.485,1.003,0.28,11
F,0.485,1.4195,0.3255,11
M,0.515,1.2345,0.325,11
M,0.41,0.662,0.22,11
M,0.515,1.2075,0.345,11
F,0.495,1.596,0.37,11
M,0.41,0.7155,0.214,11
M,0.41,0.8105,0.24,11
F,0.56,1.664,0.545,11
F,0.535,1.5855,0.471,11
M,0.455,0.832,0.277,11
I,0.43,0.7895,0.223,11
F,0.495,1.297,0.37,11
M,0.505,1.105,0.325,11
M,0.53,1.529,0.4025,11
F,0.52,1.6885,0.4265,11
F,0.55,1.807,0.515,11
M,0.455,0.9355,0.26,11
I,0.485,1.238,0.33,11
M,0.395,0.549,0.15,11
I,0.43,0.7365,0.215,11
M,0.48,1.21,0.322,11
I,0.385,0.5425,0.175,11
F,0.525,1.3695,0.363,11
F,0.46,0.9935,0.28,11
M,0.6,2.548,0.6745,11
F,0.475,0.9715,0.28,11
F,0.49,1.3825,0.381,11
F,0.575,2.073,0.48,11
M,0.54,1.691,0.4755,11
F,0.485,0.9515,0.2765,11
F,0.415,0.5915,0.18,11
I,0.45,0.781,0.295,11
F,0.545,1.907,0.475,11
F,0.41,0.644,0.21,11
M,0.245,0.1555,0.049,11
F,0.505,1.3725,0.3685,11
M,0.45,0.92,0.29,11
M,0.455,0.987,0.31,11
M,0.59,1.5455,0.415,11
F,0.38,0.639,0.16,11
F,0.47,1.121,0.155,11
F,0.53,1.346,0.476,11
M,0.515,1.1955,0.37,11
M,0.52,1.3645,0.385,11
F,0.63,2.657,0.586,11
F,0.525,1.56,0.405,11
M,0.46,0.6655,0.269,11
M,0.515,1.463,0.4115,11
M,0.425,0.8635,0.2,11
M,0.285,0.2665,0.075,11
M,0.525,1.5365,0.405,11
F,0.495,1.227,0.37,11
F,0.52,1.197,0.317,11
M,0.35,0.5205,0.185,11
F,0.55,1.614,0.45,11
M,0.335,0.478,0.16,11
I,0.47,0.966,0.284,11
F,0.51,1.235,0.3065,11
M,0.455,0.96,0.275,11
F,0.575,1.7365,0.461,11
F,0.385,0.616,0.21,11
M,0.49,1.1775,0.285,11
I,0.31,0.3625,0.12,11
F,0.56,1.9425,0.5655,11
M,0.485,1.437,0.475,11
M,0.555,2.201,0.5285,11
M,0.53,1.56,0.465,11
F,0.44,0.9285,0.3,11
F,0.49,1.2085,0.411,11
M,0.475,1.0735,0.31,11
F,0.5,1.4995,0.431,11
F,0.32,0.387,0.0985,11
I,0.425,0.8155,0.246,11
I,0.445,0.8865,0.255,11
M,0.55,1.4385,0.462,11
M,0.52,1.39,0.3,11
I,0.4,0.757,0.215,11
F,0.5,1.4045,0.3235,11
M,0.46,1.145,0.325,11
M,0.47,1.0285,0.285,11
M,0.42,0.764,0.265,11
M,0.525,1.4715,0.399,11
F,0.5,1.13,0.335,11
M,0.46,1.1805,0.329,11
M,0.435,0.889,0.25,11
