@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,1.226,0.5885,0.3745,10
F,1.4545,0.6,0.383,10
F,1.0725,0.4835,0.28,10
M,1.0145,0.516,0.3,10
I,0.825,0.402,0.245,10
M,1.1295,0.57,0.265,10
M,1.558,0.755,0.4,10
M,1.0335,0.469,0.295,10
I,0.7655,0.331,0.24,10
M,0.7455,0.2995,0.245,10
M,1.1835,0.582,0.317,10
M,1.0175,0.473,0.28,10
M,1.2255,0.5405,0.3265,10
F,1.866,0.929,0.4395,10
M,0.495,0.1655,0.185,10
I,1.1,0.488,0.2925,10
M,1.533,0.667,0.41,10
F,0.913,0.4305,0.253,10
M,0.9605,0.438,0.276,10
M,0.7605,0.245,0.185,10
F,0.588,0.237,0.155,10
M,1.3135,0.4865,0.4075,10
F,0.8935,0.3145,0.263,10
F,0.451,0.188,0.13,10
M,1.233,0.6565,0.3035,10
M,1.3555,0.671,0.3385,10
M,1.4415,0.7055,0.335,10
F,1.2905,0.6205,0.326,10
F,1.2255,0.5075,0.36,10
I,0.705,0.3065,0.22,10
M,1.0815,0.4715,0.3135,10
F,2.381,0.9915,0.624,10
F,1.358,0.567,0.403,10
I,0.8295,0.3915,0.238,10
F,1.0425,0.4635,0.27,10
M,1.223,0.565,0.3375,10
I,0.28,0.141,0.075,8
I,0.494,0.181,0.191,8
I,0.607,0.2355,0.195,8
M,0.479,0.2125,0.15,8
M,1.05,0.457,0.28,8
F,0.9905,0.453,0.275,8
I,0.622,0.278,0.169,8
M,0.8965,0.42,0.2215,8
M,0.271,0.11,0.08,8
I,0.5655,0.2435,0.175,8
I,0.2025,0.0825,0.065,8
I,0.4025,0.1855,0.1015,8
I,0.7815,0.373,0.2215,8
I,0.595,0.2385,0.19,8
F,0.2065,0.078,0.06,8
M,1.1325,0.589,0.287,8
F,0.897,0.4235,0.248,8
I,0.6445,0.345,0.2,8
M,0.7275,0.343,0.19,8
F,0.8795,0.3485,0.2825,8
I,0.5445,0.249,0.152,8
I,0.48,0.2055,0.1505,8
I,0.5755,0.31,0.1395,8
M,0.547,0.2165,0.19,8
I,0.531,0.2415,0.1615,8
I,0.3675,0.1675,0.105,8
I,0.2,0.073,0.061,8
I,0.326,0.1325,0.101,8
F,1.1125,0.5635,0.281,8
F,0.9735,0.427,0.3,8
M,1.2065,0.587,0.286,8
F,0.8215,0.3935,0.205,8
M,1.131,0.5425,0.323,8
M,1.146,0.597,0.265,8
I,0.648,0.2835,0.2105,8
F,0.594,0.332,0.1335,8
I,0.3995,0.1815,0.1125,8
I,0.56,0.2835,0.135,8
M,0.9795,0.444,0.275,8
F,1.0515,0.4095,0.276,8
I,0.5935,0.239,0.204,8
I,0.2365,0.1,0.076,8
F,0.2225,0.093,0.08,8
M,0.9505,0.456,0.255,8
I,0.567,0.2875,0.16,8
F,0.8495,0.328,0.202,8
I,0.3,0.14,0.0825,8
M,0.9205,0.404,0.255,8
I,0.5955,0.2455,0.173,8
F,1.065,0.4985,0.2815,8
F,0.964,0.5475,0.215,8
I,0.5605,0.2255,0.17,8
I,0.232,0.12,0.056,8
I,0.583,0.294,0.1605,8
F,0.227,0.093,0.07,8
I,0.2725,0.115,0.085,8
F,1.332,0.6235,0.35,8
I,0.717,0.358,0.22,8
F,1.486,0.7595,0.321,8
I,0.6245,0.3395,0.1665,8
F,0.6955,0.3085,0.2245,8
I,0.507,0.241,0.15,8
F,0.9325,0.3985,0.248,8
I,0.5185,0.268,0.1365,8
M,0.5305,0.2405,0.139,8
M,0.4955,0.2575,0.129,8
F,1.2095,0.5225,0.32,8
F,1.1005,0.5415,0.265,8
I,0.3615,0.1415,0.12,8
I,0.6795,0.3465,0.182,8
M,1.206,0.479,0.309,8
I,0.753,0.3445,0.24,8
M,0.578,0.2825,0.17,8
I,0.8425,0.353,0.251,8
I,0.775,0.368,0.2055,8
I,0.3275,0.1495,0.1,8
I,0.2175,0.097,0.067,8
F,1.012,0.477,0.275,8
M,1.1685,0.539,0.28,8
I,0.6385,0.2945,0.171,8
M,0.6125,0.302,0.1415,8
F,0.834,0.367,0.23,8
I,0.384,0.1885,0.11,8
M,1.1785,0.5185,0.3235,8
I,0.625,0.3095,0.1725,8
M,0.7205,0.3685,0.1735,8
M,0.8745,0.416,0.25,8
F,0.776,0.32,0.22,8
F,1.29,0.593,0.352,8
I,0.409,0.2055,0.105,8
I,0.6275,0.3015,0.18,8
I,0.5395,0.2295,0.157,8
I,0.192,0.0785,0.07,8
I,0.602,0.2505,0.19,8
I,0.3245,0.1385,0.105,8
I,0.4965,0.214,0.1495,8
M,1.2435,0.5575,0.372,8
I,0.8335,0.377,0.235,8
I,0.658,0.296,0.198,8
I,0.4055,0.175,0.1185,8
M,0.7495,0.341,0.214,8
F,1.235,0.6025,0.29,8
I,0.658,0.327,0.174,8
F,1.2525,0.585,0.33,8
I,0.664,0.2695,0.21,8
M,0.599,0.251,0.169,8
I,0.82,0.4005,0.211,8
M,1.007,0.472,0.252,8
I,0.556,0.2695,0.17,8
I,0.1,0.038,0.031,8
F,0.5725,0.2555,0.146,8
M,0.7035,0.347,0.1885,8
I,0.3645,0.1765,0.095,8
I,0.585,0.2755,0.165,8
I,0.34,0.1745,0.0945,8
I,0.405,0.1695,0.1065,8
F,0.909,0.438,0.22,8
M,0.838,0.4155,0.23,8
I,0.5225,0.2265,0.162,8
I,0.456,0.21,0.131,8
I,0.196,0.082,0.064,8
M,0.8275,0.3415,0.239,8
M,0.7615,0.3695,0.1955,8
F,0.889,0.4055,0.215,8
I,0.5785,0.25,0.184,8
M,1.193,0.5145,0.3055,8
I,0.685,0.362,0.156,8
F,0.5225,0.237,0.145,8
I,0.137,0.0545,0.04,8
M,1.1495,0.564,0.264,8
I,0.3685,0.1525,0.125,8
F,0.4085,0.165,0.131,8
I,0.492,0.211,0.15,8
M,0.812,0.4035,0.195,8
M,0.4895,0.2185,0.146,8
I,0.384,0.1795,0.11,8
M,0.8685,0.418,0.2605,8
F,0.6265,0.259,0.175,8
M,1.2,0.5085,0.292,8
M,0.78,0.3165,0.2365,8
I,0.471,0.252,0.123,8
I,0.6325,0.2825,0.19,8
M,0.5,0.21,0.1505,8
M,1.403,0.6715,0.365,8
I,0.464,0.2015,0.149,8
M,1.561,0.709,0.4,8
F,0.627,0.2905,0.183,8
M,0.5895,0.2765,0.17,8
F,1.137,0.5585,0.29,8
I,0.974,0.453,0.289,8
I,0.396,0.1775,0.125,8
F,0.9965,0.417,0.47,8
I,0.262,0.1235,0.0725,8
M,0.874,0.3735,0.2195,8
I,0.5535,0.266,0.157,8
I,0.4965,0.258,0.1075,8
I,0.461,0.2205,0.135,8
F,0.926,0.4025,0.275,8
F,0.7585,0.325,0.205,8
I,0.226,0.1135,0.0675,8
I,0.344,0.123,0.125,8
I,0.306,0.111,0.095,8
F,0.4305,0.184,0.1245,8
F,0.771,0.3765,0.1795,8
I,0.468,0.201,0.12,8
I,0.804,0.34,0.244,8
I,0.551,0.248,0.171,8
I,0.5035,0.2535,0.14,8
I,0.335,0.136,0.115,8
I,0.4775,0.2145,0.1435,8
I,0.4355,0.196,0.125,8
I,0.5965,0.259,0.1645,8
I,0.5705,0.238,0.185,8
M,1.286,0.604,0.35,8
M,0.439,0.194,0.115,8
M,1.278,0.637,0.31,8
I,0.6255,0.2525,0.19,8
M,0.2605,0.1145,0.085,8
I,0.608,0.297,0.1405,8
I,0.371,0.15,0.115,8
I,0.9175,0.38,0.29,8
M,0.867,0.3765,0.268,8
I,0.308,0.1525,0.0835,8
I,0.426,0.163,0.151,8
M,0.617,0.25,0.1635,8
I,0.304,0.129,0.0955,8
F,0.4005,0.143,0.12,8
I,0.244,0.1215,0.068,8
I,0.378,0.175,0.1045,8
M,0.8755,0.44,0.2315,8
I,0.4585,0.194,0.14,8
M,0.4215,0.175,0.135,8
I,0.7235,0.349,0.2,8
I,0.7865,0.332,0.2455,8
F,1.0725,0.4895,0.31,8
F,0.8145,0.427,0.175,8
I,0.5465,0.2735,0.158,8
I,0.529,0.2235,0.16,8
M,0.5805,0.266,0.169,8
M,0.6835,0.3125,0.159,8
M,1.175,0.475,0.215,8
I,0.2665,0.1185,0.081,8
I,0.5155,0.2465,0.147,8
F,0.8435,0.434,0.185,8
M,1.027,0.537,0.176,8
F,0.353,0.1405,0.1,8
I,0.5205,0.195,0.182,8
M,0.874,0.369,0.24,8
I,0.543,0.2375,0.1725,8
M,1.0025,0.547,0.2295,8
M,1.238,0.6165,0.32,8
M,0.7165,0.2855,0.2155,8
I,0.5285,0.226,0.209,8
F,0.834,0.428,0.23,8
M,1.7005,0.8255,0.405,8
F,0.5885,0.318,0.1325,8
M,0.4655,0.2075,0.135,8
I,0.215,0.0845,0.079,8
M,0.9895,0.4235,0.28,8
I,0.597,0.293,0.1555,8
M,0.79,0.372,0.19,8
I,0.428,0.2065,0.115,8
F,1.1465,0.551,0.2785,8
I,0.686,0.3475,0.213,8
I,0.3505,0.1645,0.1,8
F,0.957,0.4255,0.265,8
M,0.125,0.042,0.043,8
I,0.7595,0.358,0.2055,8
I,0.393,0.167,0.115,8
I,0.7665,0.339,0.21,8
F,0.364,0.148,0.1175,8
M,0.413,0.144,0.13,8
I,0.91,0.416,0.0995,8
M,0.5135,0.243,0.135,8
I,0.441,0.1785,0.1505,8
F,0.406,0.1635,0.1355,8
I,0.7045,0.334,0.207,8
I,0.475,0.2025,0.148,8
F,0.6395,0.2945,0.175,8
I,0.9845,0.4525,0.2725,8
I,0.361,0.1605,0.103,8
F,0.6355,0.277,0.1785,8
I,0.8725,0.349,0.285,8
I,0.415,0.187,0.11,8
M,0.827,0.3395,0.235,8
I,0.2865,0.115,0.085,8
I,0.365,0.14,0.1245,8
M,0.9275,0.477,0.2515,8
F,0.9,0.4175,0.265,8
F,1.0705,0.371,0.36,8
F,0.8725,0.417,0.24,8
F,0.931,0.4445,0.225,8
F,0.608,0.2705,0.185,8
F,0.693,0.391,0.1515,8
I,0.378,0.152,0.12,8
F,0.5375,0.221,0.17,8
M,0.4795,0.227,0.125,8
I,0.6635,0.32,0.17,8
I,0.152,0.0565,0.054,8
F,0.7905,0.4065,0.177,8
I,0.4155,0.17,0.145,8
I,0.765,0.3945,0.206,8
I,0.444,0.225,0.11,8
M,0.861,0.413,0.249,8
M,0.554,0.2935,0.15,8
F,1.107,0.54,0.27,8
I,0.1435,0.053,0.05,8
I,0.434,0.207,0.1215,8
M,1.2275,0.61,0.3,8
M,0.369,0.171,0.12,8
I,0.372,0.358,0.11,8
I,0.617,0.279,0.19,8
F,0.8765,0.455,0.228,8
M,0.521,0.25,0.15,8
I,0.5555,0.25,0.163,8
I,0.221,0.0985,0.07,8
M,0.4425,0.192,0.135,8
M,0.649,0.347,0.142,8
I,0.5945,0.27,0.185,8
I,0.259,0.0955,0.085,8
M,0.5585,0.2575,0.1535,8
M,0.852,0.43,0.205,8
F,0.66,0.3045,0.175,8
I,0.616,0.292,0.185,8
M,0.981,0.465,0.2505,8
F,0.32,0.1305,0.105,8
M,0.678,0.341,0.119,8
I,0.487,0.196,0.135,8
M,0.738,0.355,0.1795,8
M,0.753,0.258,0.255,8
F,0.724,0.3475,0.175,8
I,0.636,0.294,0.1755,8
I,0.239,0.105,0.07,8
I,0.3075,0.149,0.09,8
I,0.547,0.245,0.1405,8
I,0.4385,0.21,0.12,8
I,0.4715,0.2075,0.15,8
M,1.065,0.486,0.285,8
F,1.153,0.536,0.245,8
I,0.2225,0.0865,0.075,8
I,0.411,0.1985,0.109,8
I,0.452,0.191,0.13,8
I,0.5805,0.255,0.184,8
I,0.519,0.2485,0.134,8
F,0.8875,0.4315,0.223,8
F,0.858,0.4,0.253,8
M,0.4015,0.199,0.097,8
F,0.9475,0.366,0.275,8
I,0.516,0.197,0.165,8
M,0.609,0.3065,0.1775,8
M,0.87,0.3945,0.225,8
F,0.699,0.3125,0.2035,8
M,1.0635,0.5265,0.24,8
I,0.4545,0.171,0.158,8
I,0.2255,0.0885,0.09,8
M,0.7715,0.37,0.211,8
F,0.991,0.4735,0.24,8
F,0.746,0.3005,0.24,8
F,0.6405,0.336,0.245,8
M,0.2685,0.0975,0.085,8
M,0.9655,0.498,0.23,8
I,0.5705,0.25,0.185,8
I,0.316,0.1385,0.0925,8
I,0.983,0.486,0.239,8
I,0.557,0.2275,0.1765,8
F,0.2815,0.1255,0.09,8
M,0.252,0.1065,0.074,8
F,0.9045,0.405,0.2335,8
M,0.5315,0.2725,0.1395,8
F,0.441,0.1525,0.135,8
I,0.7005,0.3395,0.2095,8
M,0.643,0.349,0.135,8
I,0.2755,0.1305,0.0725,8
M,0.858,0.4285,0.2405,8
M,0.9155,0.4005,0.2385,8
I,0.538,0.271,0.139,8
M,0.5785,0.253,0.14,8
M,0.46,0.174,0.135,8
M,0.769,0.3935,0.19,8
M,0.9955,0.481,0.24,8
I,0.4495,0.201,0.14,8
F,1.0305,0.4605,0.36,8
I,0.411,0.175,0.135,8
I,0.599,0.3065,0.1485,8
I,0.5445,0.279,0.13,8
I,0.393,0.1825,0.12,8
M,0.559,0.254,0.149,8
M,0.599,0.2345,0.194,8
F,0.3025,0.1335,0.0935,8
M,0.945,0.4365,0.25,8
M,0.9155,0.3645,0.25,8
M,0.99,0.5795,0.206,8
I,0.7665,0.3985,0.1805,8
F,0.95,0.484,0.2325,8
F,0.6975,0.3075,0.18,8
I,0.468,0.2005,0.1325,8
M,1.363,0.629,0.34,8
I,0.4495,0.1755,0.15,8
F,0.8585,0.3905,0.2295,8
M,0.3175,0.137,0.092,8
F,0.4755,0.2105,0.16,8
M,0.553,0.224,0.167,8
I,0.1745,0.072,0.057,8
I,0.7095,0.35,0.1845,8
I,0.4975,0.2375,0.14,8
I,0.6015,0.3015,0.18,8
F,0.7875,0.3395,0.2,8
F,1.063,0.5155,0.25,8
I,0.3965,0.1485,0.1455,8
M,0.523,0.214,0.145,8
F,1.144,0.5015,0.319,8
I,0.462,0.2135,0.1315,8
F,0.8775,0.412,0.22,8
I,0.837,0.414,0.2,8
F,1.1025,0.5455,0.25,8
M,0.845,0.3525,0.2875,8
I,0.4295,0.212,0.109,8
M,0.612,0.327,0.14,8
M,0.58,0.234,0.185,8
M,0.4775,0.1885,0.175,8
I,0.2715,0.092,0.09,8
I,0.335,0.156,0.105,8
M,0.7185,0.3265,0.175,8
I,0.1925,0.077,0.065,8
F,1.2495,0.4945,0.371,8
I,0.4445,0.197,0.1335,8
F,0.445,0.165,0.155,8
I,0.755,0.3425,0.224,8
I,0.5345,0.2375,0.1535,8
I,0.6965,0.3045,0.21,8
M,0.8675,0.4,0.229,8
I,0.1275,0.0435,0.04,8
I,0.5395,0.2465,0.167,8
I,0.314,0.1295,0.1,8
I,0.3405,0.1395,0.12,8
I,0.3425,0.1785,0.0855,8
M,0.562,0.289,0.153,8
I,0.284,0.1135,0.0945,8
F,0.6615,0.2565,0.22,8
M,0.224,0.0815,0.075,8
M,0.5135,0.241,0.155,8
I,1.0835,0.4955,0.304,8
I,0.0995,0.0395,0.032,8
I,0.358,0.1525,0.1185,8
F,0.632,0.282,0.17,8
I,0.499,0.21,0.155,8
I,0.1655,0.063,0.06,8
M,0.4935,0.2435,0.132,8
F,0.8745,0.453,0.22,8
I,0.2995,0.1265,0.0895,8
I,0.5185,0.2165,0.184,8
I,0.5215,0.2215,0.16,8
M,0.1635,0.0615,0.057,8
I,0.6455,0.325,0.17,8
M,1.0145,0.5315,0.2415,8
F,0.44,0.19,0.13,8
F,0.7805,0.3345,0.21,8
M,1.3855,0.621,0.3445,8
M,0.241,0.0865,0.095,8
I,0.6115,0.3175,0.15,8
M,1.0835,0.5305,0.276,8
M,0.6335,0.3035,0.1495,8
I,0.4475,0.1895,0.2305,8
M,0.939,0.4475,0.268,8
M,0.5865,0.2385,0.185,8
I,0.22,0.092,0.15,8
M,0.884,0.3835,0.27,8
I,0.562,0.2505,0.1525,8
I,0.677,0.298,0.23,8
M,0.9365,0.497,0.2185,8
F,0.923,0.4035,0.283,8
F,1.2835,0.583,0.4,8
I,0.8935,0.4235,0.228,8
I,0.728,0.3355,0.2175,8
I,0.7425,0.2895,0.22,8
I,0.5765,0.3595,0.225,8
I,0.74,0.3595,0.1985,8
M,0.4565,0.2435,0.1025,8
I,0.386,0.1805,0.0965,8
I,0.2805,0.1125,0.0925,8
M,0.985,0.4645,0.27,8
F,0.655,0.2635,0.221,8
M,0.5825,0.2505,0.175,8
I,0.5,0.205,0.1505,8
I,0.514,0.2385,0.126,8
I,0.144,0.053,0.04,8
F,1.275,0.583,0.333,8
I,0.439,0.1875,0.1305,8
M,0.4405,0.19,0.135,8
I,0.601,0.25,0.185,8
F,1.1155,0.509,0.3065,8
F,0.84,0.375,0.1945,8
M,0.9875,0.504,0.249,8
I,0.2105,0.0865,0.07,8
M,0.7635,0.3375,0.225,8
I,0.312,0.138,0.087,8
M,0.458,0.2,0.1305,8
I,0.536,0.251,0.15,8
M,0.406,0.166,0.135,8
M,0.2505,0.106,0.0775,8
I,0.4005,0.164,0.126,8
I,0.596,0.3015,0.151,8
I,0.5065,0.2425,0.1465,8
I,0.486,0.261,0.1315,8
I,0.7025,0.31,0.2,8
F,1.1965,0.514,0.3995,8
M,0.4265,0.1685,0.15,8
M,1.029,0.4235,0.313,8
M,0.6435,0.2945,0.198,8
M,0.48,0.234,0.135,8
I,0.578,0.2545,0.1645,8
F,1.072,0.433,0.315,8
F,0.8495,0.4215,0.225,8
I,0.794,0.3815,0.245,8
I,0.514,0.253,0.14,8
F,1.0115,0.445,0.2565,8
M,0.08,0.0315,0.027,8
M,1.082,0.5785,0.25,8
M,0.751,0.3295,0.203,8
M,0.3615,0.1565,0.117,8
F,0.382,0.154,0.109,8
M,1.0195,0.5315,0.2475,8
I,0.2745,0.135,0.078,8
M,0.928,0.4225,0.275,8
M,0.796,0.3865,0.1955,8
I,0.7715,0.372,0.227,8
I,0.317,0.135,0.09,8
F,0.4705,0.1635,0.1385,8
M,0.3245,0.1305,0.115,8
M,0.796,0.3635,0.219,8
M,0.7995,0.336,0.237,8
I,0.7165,0.3495,0.1785,8
F,0.888,0.41,0.2425,8
I,0.4045,0.171,0.1345,8
M,0.168,0.05,0.063,8
F,0.4785,0.206,0.141,8
M,0.7575,0.398,0.175,8
I,0.185,0.0795,0.055,8
F,0.615,0.2865,0.1765,8
I,0.5525,0.234,0.165,8
I,0.5155,0.215,0.166,8
I,0.436,0.1975,0.125,8
M,0.9065,0.371,0.29,8
M,0.85,0.4165,0.23,8
M,0.2925,0.1225,0.0905,8
F,0.487,0.1955,0.155,8
M,1.187,0.691,0.2685,8
I,0.4905,0.205,0.125,8
M,0.8725,0.387,0.245,8
M,0.201,0.069,0.0695,8
F,1.098,0.414,0.405,20
F,1.099,0.3975,0.358,20
M,1.352,0.488,0.45,20
F,0.7105,0.27,0.225,20
F,1.066,0.382,0.415,20
M,1.036,0.4375,0.325,20
M,0.97,0.2885,0.48,20
F,1.842,0.625,0.65,20
F,1.4225,0.61,0.445,20
F,1.7345,0.6845,0.605,20
M,1.122,0.393,0.375,20
M,2.13,0.7415,0.58,20
M,1.1375,0.367,0.37,20
I,0.752,0.299,0.205,20
M,1.259,0.487,0.445,20
F,2.124,0.765,0.85,20
F,1.3445,0.535,0.515,20
M,0.991,0.348,0.375,20
M,1.4805,0.5295,0.525,20
M,0.8425,0.275,0.265,20
F,1.3135,0.5595,0.4,20
M,1.032,0.354,0.31,20
F,1.247,0.48,0.425,20
F,1.217,0.5305,0.34,16
M,0.8185,0.3025,0.235,16
F,0.946,0.313,0.335,16
M,1.1285,0.377,0.33,16
I,0.522,0.17,0.195,16
F,1.752,0.5605,0.815,16
F,0.796,0.258,0.28,16
F,1.523,0.54,0.555,16
M,1.32,0.5305,0.455,16
F,1.7605,0.692,0.5,16
M,1.4985,0.4125,0.545,16
M,0.853,0.292,0.35,16
F,0.6005,0.2265,0.21,16
F,0.927,0.26,0.345,16
F,1.71,0.5415,0.58,16
M,0.7365,0.2955,0.185,16
M,1.3765,0.44,0.47,16
M,2.2695,0.8835,0.665,16
F,1.029,0.4085,0.295,16
M,1.891,0.6975,0.58,16
F,0.768,0.294,0.26,16
F,0.7765,0.302,0.25,16
M,1.373,0.443,0.49,16
F,0.4485,0.1585,0.1335,16
M,1.402,0.483,0.465,16
M,0.911,0.39,0.29,16
F,0.981,0.305,0.335,16
I,0.435,0.159,0.14,16
I,0.8735,0.3005,0.275,16
I,1.319,0.5485,0.49,16
M,1.283,0.473,0.425,16
F,1.14,0.4305,0.42,16
M,0.9195,0.3355,0.26,16
F,1.005,0.367,0.36,16
M,1.275,0.509,0.34,16
M,1.514,0.546,0.635,16
I,0.474,0.21,0.1275,16
M,1.2275,0.473,0.435,16
M,0.8345,0.3175,0.29,16
F,0.3515,0.1185,0.1195,16
M,0.9265,0.354,0.375,16
F,1.974,0.598,0.71,16
F,0.9995,0.405,0.295,16
F,0.9885,0.396,0.32,16
M,0.451,0.171,0.184,16
I,1.057,0.383,0.355,16
F,1.498,0.564,0.425,16
F,1.41,0.592,0.42,16
F,1.768,0.7495,0.485,16
F,0.6,0.2225,0.23,16
M,1.145,0.4325,0.405,16
F,0.8085,0.3235,0.22,16
I,1.3655,0.6255,0.425,16
F,1.5765,0.5115,0.665,16
M,0.6175,0.202,0.19,16
M,1.064,0.413,0.36,16
M,1.3445,0.519,0.4465,16
M,0.8645,0.376,0.2515,16
M,0.955,0.44,0.27,16
F,1.1055,0.4445,0.39,16
F,1.969,0.8045,0.66,16
F,0.9955,0.429,0.26,19
F,0.9,0.358,0.315,19
M,0.66,0.2655,0.215,19
F,1.0105,0.435,0.3,19
F,1.787,0.585,0.6,19
F,0.8115,0.24,0.24,19
I,0.7325,0.2415,0.26,19
M,0.9955,0.3245,0.325,19
M,0.9245,0.3445,0.295,19
M,1.3305,0.4595,0.345,19
M,0.9715,0.3225,0.29,19
F,1.8165,0.7785,0.515,19
M,0.782,0.285,0.285,19
I,0.412,0.1145,0.16,19
F,1.4685,0.4715,0.52,19
F,1.073,0.4005,0.335,19
M,1.8465,0.732,0.57,19
F,0.8945,0.3145,0.32,19
M,1.015,0.3995,0.33,19
F,0.85,0.275,0.285,19
M,1.07,0.3805,0.41,19
F,1.4635,0.6615,0.435,19
F,1.514,0.526,0.42,19
F,1.013,0.342,0.35,19
M,0.989,0.2815,0.355,19
M,0.9455,0.3815,0.27,19
M,1.016,0.4215,0.355,19
F,1.798,0.815,0.455,19
I,0.795,0.3075,0.255,14
M,0.927,0.276,0.36,14
M,0.6335,0.2,0.26,14
F,1.1255,0.4985,0.315,14
F,1.1025,0.4695,0.345,14
F,0.8705,0.3735,0.25,14
F,0.903,0.3305,0.295,14
M,1.496,0.5825,0.465,14
I,0.893,0.2745,0.345,14
M,1.4995,0.6265,0.395,14
F,0.7365,0.2785,0.215,14
M,0.91,0.326,0.355,14
M,1.606,0.5755,0.48,14
M,0.6105,0.1955,0.235,14
M,1.165,0.581,0.3,14
F,1.2385,0.528,0.39,14
M,1.6115,0.6745,0.385,14
F,2.1425,1.03,0.503,14
F,0.72,0.3105,0.2,14
F,0.872,0.3245,0.285,14
F,1.908,0.5415,0.5965,14
F,1.082,0.3575,0.19,14
F,0.8975,0.275,0.275,14
F,1.283,0.462,0.445,14
F,1.2515,0.5035,0.33,14
M,0.9025,0.31,0.325,14
M,0.6295,0.2285,0.225,14
M,0.6335,0.2305,0.235,14
F,1.2355,0.4435,0.365,14
M,0.7605,0.2505,0.195,14
I,1.2395,0.55,0.38,14
M,1.6375,0.7685,0.3925,14
I,0.51,0.1615,0.198,14
M,0.895,0.3615,0.235,14
M,0.34,0.1315,0.112,14
F,0.925,0.391,0.275,14
M,0.9565,0.325,0.31,14
M,1.0985,0.3765,0.4,14
I,0.806,0.376,0.245,14
M,1.041,0.416,0.365,14
F,1.071,0.3,0.395,14
M,1.2,0.56,0.28,14
F,1.153,0.403,0.32,14
M,2.2305,1.2395,0.563,14
I,0.443,0.1975,0.1175,14
M,0.5545,0.213,0.215,14
F,1.242,0.576,0.39,14
F,1.2915,0.57,0.33,14
F,1.3475,0.4775,0.48,14
F,1.423,0.4155,0.49,14
F,2.0475,0.75,0.6095,14
F,1.0835,0.3745,0.325,14
M,1.477,0.6375,0.43,14
M,1.3,0.517,0.31,14
M,1.013,0.38,0.36,14
I,0.487,0.1965,0.16,14
I,0.782,0.2715,0.285,14
M,0.835,0.32,0.245,14
F,0.6065,0.194,0.21,14
F,0.5465,0.2005,0.185,14
F,1.604,0.6175,0.453,14
M,0.4625,0.164,0.15,14
F,1.0735,0.437,0.33,14
M,1.613,0.6215,0.47,14
F,1.3485,0.5255,0.3925,14
M,1.26,0.4525,0.406,14
I,0.384,0.1375,0.146,14
M,0.7615,0.246,0.204,14
F,1.7025,0.664,0.4735,14
M,1.0875,0.403,0.325,14
M,1.5595,0.741,0.3845,14
F,0.4485,0.165,0.17,14
F,1.3025,0.61,0.3605,14
M,0.862,0.2855,0.32,14
M,1.829,0.7035,0.56,14
F,1.1,0.4125,0.38,14
M,0.609,0.239,0.22,14
F,0.733,0.282,0.235,14
F,1.2125,0.5735,0.36,14
F,0.8515,0.362,0.27,14
I,0.728,0.2725,0.19,14
F,1.0405,0.419,0.3,14
F,1.22,0.4905,0.345,14
F,0.766,0.304,0.255,14
M,1.9565,0.7125,0.59,14
F,1.0935,0.403,0.355,14
F,0.884,0.2875,0.28,14
M,0.6175,0.235,0.215,14
F,0.6195,0.2595,0.177,14
M,0.853,0.3285,0.27,14
I,1.0385,0.4435,0.32,14
F,1.5785,0.678,0.456,14
I,0.762,0.3795,0.19,14
M,0.971,0.443,0.265,14
F,1.0595,0.44,0.285,14
F,1.092,0.396,0.37,14
F,1.0915,0.452,0.315,14
F,1.2985,0.5135,0.32,14
F,0.579,0.208,0.22,14
M,0.8055,0.301,0.28,14
F,0.66,0.2475,0.235,14
M,0.7485,0.3345,0.22,14
F,2.5085,1.232,0.612,14
M,0.945,0.41,0.28,14
M,1.219,0.3875,0.385,14
I,0.252,0.0915,0.09,14
F,2.255,0.8905,0.7975,14
M,1.981,0.8175,0.76,14
M,1.793,0.8005,0.53,14
M,0.528,0.2,0.16,14
F,0.742,0.2025,0.2115,14
F,0.536,0.1895,0.173,14
I,0.972,0.404,0.35,14
F,1.5015,0.518,0.505,14
F,1.0255,0.412,0.289,11
I,0.567,0.2315,0.1525,11
F,0.5395,0.2175,0.165,11
F,1.199,0.5265,0.315,11
M,1.6085,0.682,0.4005,11
M,1.543,0.7525,0.374,11
M,0.9555,0.366,0.295,11
F,1.309,0.524,0.385,11
M,0.797,0.34,0.2425,11
M,1.529,0.7635,0.4025,11
F,1.412,0.6195,0.497,11
M,1.6125,0.777,0.3965,11
M,1.145,0.48,0.325,11
F,1.7775,0.861,0.415,11
M,0.2845,0.1065,0.1,11
I,0.6625,0.2775,0.196,11
M,1.1955,0.5565,0.346,11
F,1.227,0.528,0.37,11
F,1.1005,0.5125,0.305,11
I,1.217,0.5515,0.31,11
M,1.008,0.422,0.285,11
F,0.5945,0.185,0.19,11
F,0.8725,0.389,0.272,11
I,0.6655,0.284,0.2,11
F,1.7375,0.6785,0.52,11
M,2.124,0.952,0.5,11
F,1.235,0.5115,0.3065,11
M,0.8105,0.345,0.24,11
F,0.805,0.369,0.21,11
M,1.3005,0.6195,0.3285,11
F,1.336,0.553,0.35,11
I,1.15,0.5255,0.3315,11
I,0.5425,0.198,0.175,11
F,1.5575,0.7035,0.4,11
M,0.8295,0.2405,0.275,11
