@relation abalone

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.509,0.34,16
F,0.3235,0.22,16
M,0.354,0.375,16
M,0.4445,0.465,16
I,0.383,0.355,16
F,0.4445,0.39,16
M,0.546,0.635,16
F,0.1585,0.1335,16
M,0.3355,0.26,16
F,0.5115,0.665,16
F,0.4305,0.42,16
M,0.473,0.425,16
F,0.405,0.295,16
M,0.443,0.49,16
M,0.39,0.29,16
M,0.376,0.2515,16
M,0.44,0.27,16
M,0.292,0.35,16
I,0.21,0.1275,16
M,0.473,0.435,16
M,0.3025,0.235,16
F,0.598,0.71,16
F,0.592,0.42,16
F,0.8045,0.66,16
F,0.6645,0.415,16
F,0.692,0.5,16
M,0.171,0.184,16
M,0.202,0.19,16
F,0.367,0.36,16
F,0.54,0.555,16
M,0.412,0.37,16
F,0.616,0.474,16
M,0.519,0.4465,16
M,0.413,0.36,16
F,0.5415,0.58,16
F,0.4085,0.295,16
I,0.5485,0.49,16
F,0.1185,0.1195,16
F,0.313,0.335,16
F,0.294,0.26,16
F,0.258,0.28,16
M,0.4035,0.34,16
M,0.377,0.33,16
M,0.483,0.465,16
F,0.302,0.25,16
M,0.3175,0.29,16
M,0.5305,0.455,16
M,0.2925,0.365,16
F,0.2265,0.21,16
I,0.3005,0.275,16
I,0.17,0.195,16
F,0.5305,0.34,16
F,0.7495,0.485,16
M,0.2955,0.185,16
F,0.2225,0.23,16
M,0.6975,0.58,16
F,0.396,0.32,16
M,0.4325,0.405,16
M,0.4125,0.545,16
M,0.5835,0.41,19
F,0.24,0.24,19
F,0.585,0.6,19
F,0.4005,0.335,19
M,0.285,0.285,19
M,0.732,0.57,19
M,0.3995,0.33,19
F,0.4345,0.425,19
M,0.4595,0.345,19
F,0.815,0.455,19
F,0.7785,0.515,19
M,0.3805,0.41,19
M,0.2815,0.355,19
F,0.342,0.35,19
F,0.435,0.3,19
F,0.4715,0.52,19
M,0.4215,0.355,19
F,0.429,0.26,19
F,0.3145,0.32,19
F,0.358,0.315,19
F,0.275,0.285,19
F,0.6615,0.435,19
M,0.8665,0.5,19
I,0.2415,0.26,19
M,0.63,0.54,19
M,0.3245,0.325,19
F,0.526,0.42,19
I,0.1145,0.16,19
M,0.3815,0.27,19
F,0.1895,0.173,14
F,0.208,0.22,14
F,0.3305,0.295,14
F,0.2785,0.215,14
M,0.3875,0.385,14
F,0.462,0.445,14
M,0.3765,0.4,14
F,0.396,0.37,14
F,0.419,0.3,14
F,0.576,0.39,14
M,0.6215,0.47,14
F,0.2005,0.185,14
F,0.664,0.4735,14
F,0.304,0.255,14
F,0.61,0.3605,14
M,0.5825,0.465,14
F,0.4775,0.48,14
F,0.282,0.235,14
F,1.232,0.612,14
M,0.326,0.355,14
F,0.518,0.505,14
M,0.4525,0.406,14
M,0.3025,0.285,14
F,0.5735,0.36,14
F,0.6175,0.453,14
I,0.1615,0.198,14
F,0.528,0.39,14
M,0.8175,0.76,14
M,0.7035,0.56,14
M,0.235,0.215,14
F,0.4125,0.38,14
F,0.403,0.355,14
I,0.2725,0.19,14
M,0.596,0.485,14
M,0.38,0.36,14
M,0.325,0.31,14
M,0.443,0.265,14
M,0.6375,0.43,14
F,0.391,0.275,14
M,0.7685,0.3925,14
M,0.5795,0.371,14
M,0.399,0.295,14
M,0.3285,0.27,14
M,1.0705,0.725,14
M,0.2025,0.19,14
F,0.8905,0.7975,14
M,0.2,0.26,14
M,0.6745,0.385,14
M,1.2395,0.563,14
M,0.4315,0.315,14
F,0.403,0.32,14
M,0.301,0.28,14
F,0.2875,0.28,14
M,0.7125,0.59,14
M,0.246,0.204,14
M,0.2,0.16,14
M,0.403,0.325,14
F,0.2025,0.2115,14
M,0.5755,0.48,14
I,0.0915,0.09,14
F,0.296,0.39,14
I,0.376,0.245,14
I,0.3075,0.255,14
M,0.8005,0.53,14
M,0.3075,0.25,14
F,0.3735,0.25,14
F,0.2595,0.177,14
I,0.55,0.38,14
I,0.1975,0.1175,14
F,0.75,0.6095,14
M,0.239,0.22,14
M,0.2285,0.225,14
I,0.1965,0.16,14
M,0.276,0.36,14
F,0.4695,0.345,14
M,0.6265,0.395,14
M,0.3345,0.22,14
F,0.275,0.275,14
M,0.1315,0.112,14
M,0.41,0.28,14
M,0.56,0.28,14
F,0.362,0.27,14
M,0.517,0.31,14
M,0.2305,0.235,14
F,0.5255,0.3925,14
I,0.2715,0.285,14
F,1.03,0.503,14
F,0.2475,0.235,14
I,0.1375,0.146,14
F,0.3575,0.19,14
F,0.5415,0.5965,14
M,0.2855,0.32,14
I,0.2745,0.345,14
F,0.4155,0.49,14
M,0.31,0.325,14
F,0.4905,0.345,14
F,0.44,0.285,14
M,0.3055,0.22,14
I,0.404,0.35,14
F,0.437,0.33,14
M,0.416,0.365,14
F,0.165,0.17,14
F,0.3245,0.285,14
F,0.678,0.456,14
F,0.4985,0.315,14
M,0.2505,0.195,14
F,0.5035,0.33,14
M,0.164,0.15,14
F,0.5095,0.42,14
M,0.475,0.285,14
M,0.32,0.245,14
F,0.3105,0.2,14
M,0.741,0.3845,14
M,0.213,0.215,14
F,0.528,0.37,11
F,0.5265,0.315,11
M,0.4925,0.335,11
F,0.694,0.3235,11
I,0.6025,0.315,11
M,0.165,0.144,11
M,0.7185,0.32,11
F,0.617,0.37,11
M,0.565,0.3085,11
M,0.639,0.3,11
F,0.587,0.3415,11
I,0.3745,0.249,11
F,0.69,0.441,11
M,0.4455,0.295,11
I,0.3055,0.295,11
M,0.404,0.29,11
M,0.5675,0.317,11
M,0.768,0.4755,11
M,0.618,0.325,11
M,0.535,0.335,11
F,0.7755,0.461,11
M,0.366,0.295,11
F,0.743,0.45,11
M,0.191,0.155,11
F,0.5525,0.3015,11
M,0.138,0.1,11
M,0.655,0.462,11
F,0.799,0.5655,11
I,0.1675,0.1135,11
I,0.321,0.275,11
M,0.5995,0.37,11
I,0.3695,0.255,11
M,0.637,0.46,11
F,0.165,0.0985,11
M,0.565,0.294,11
M,0.763,0.4435,11
F,0.4405,0.335,11
F,0.5865,0.25,11
M,0.279,0.195,11
M,0.425,0.2725,11
F,0.404,0.35,11
M,0.255,0.205,11
F,0.63,0.3725,11
M,0.623,0.395,11
M,0.9285,0.643,11
M,0.492,0.3555,11
M,0.678,0.266,11
M,0.833,0.41,11
F,1.1965,0.6785,11
M,0.5705,0.355,11
F,0.7285,0.385,11
M,0.451,0.305,11
F,0.4145,0.356,11
I,0.3675,0.246,11
F,0.4145,0.33,11
M,0.5195,0.292,11
M,0.9155,0.479,11
F,0.785,0.49,11
M,0.4685,0.295,11
F,0.8875,0.405,11
F,0.593,0.431,11
F,0.6285,0.3685,11
M,0.6145,0.3665,11
I,0.2975,0.195,11
F,1.488,0.586,11
M,0.777,0.3965,11
F,0.5895,0.381,11
M,0.532,0.3315,11
F,0.152,0.125,11
F,0.7035,0.4,11
I,0.2775,0.196,11
M,0.8415,0.395,11
M,0.334,0.17,11
M,0.263,0.26,11
M,0.59,0.391,11
M,0.7275,0.557,11
F,0.4255,0.38,11
M,0.451,0.325,11
I,0.2165,0.155,11
F,0.6865,0.547,11
M,0.1065,0.1,11
F,0.4995,0.357,11
I,0.134,0.12,11
M,0.6655,0.5,11
F,0.2645,0.181,11
M,0.4605,0.3945,11
I,0.1845,0.145,11
M,0.8985,0.4535,11
M,0.809,0.341,11
M,0.686,0.405,11
M,0.769,0.4305,11
F,0.634,0.363,11
M,0.727,0.445,11
F,0.465,0.411,11
F,0.8225,0.515,11
M,0.3485,0.235,11
M,0.5255,0.339,11
M,0.952,0.5,11
M,0.675,0.399,11
M,0.104,0.083,11
M,0.517,0.39,11
M,0.831,0.371,11
F,0.5725,0.355,11
F,0.659,0.38,11
M,0.1215,0.104,11
F,0.232,0.13,11
M,0.9095,0.488,11
F,0.8455,0.455,11
F,0.372,0.34,11
I,0.12,0.105,11
I,0.447,0.284,11
F,0.6735,0.3255,11
I,0.3155,0.186,11
F,0.536,0.316,11
M,0.487,0.3215,11
F,0.5345,0.41,11
I,0.4265,0.325,11
M,0.4355,0.31,11
M,0.319,0.245,11
M,0.74,0.3815,11
M,0.5755,0.4545,11
F,0.7465,0.3855,11
M,0.312,0.265,11
M,1.0465,0.528,11
M,0.938,0.44,11
M,0.321,0.252,11
F,0.405,0.255,11
M,0.356,0.2385,11
M,0.711,0.3,11
F,0.653,0.41,11
F,0.47,0.25,11
M,0.6025,0.2925,11
F,0.5565,0.365,11
F,0.5195,0.3005,11
I,0.193,0.155,11
F,0.546,0.476,11
F,0.289,0.233,11
I,0.371,0.3075,11
M,0.5985,0.439,11
F,0.5725,0.43,11
M,0.942,0.445,11
M,0.526,0.316,11
M,0.516,0.2915,11
F,0.6195,0.497,11
M,0.5565,0.4285,11
M,0.352,0.1685,11
F,0.3825,0.3,11
F,0.49,0.2875,11
M,0.6,0.367,11
M,0.3625,0.27,11
I,0.5255,0.3315,11
M,0.8005,0.355,11
M,0.1625,0.145,11
F,0.6295,0.4245,11
M,0.6865,0.405,11
M,0.5385,0.345,11
M,0.387,0.2625,11
F,0.4875,0.355,11
I,0.383,0.255,11
I,0.414,0.21,11
M,0.2215,0.15,11
M,0.6635,0.353,11
M,1.1495,0.505,11
F,0.4695,0.348,11
F,0.758,0.5055,11
M,0.3035,0.2175,11
F,0.437,0.32,11
I,0.078,0.065,11
M,0.3685,0.345,11
M,0.435,0.3245,11
M,0.576,0.351,11
M,0.556,0.345,11
F,0.467,0.35,11
F,0.503,0.2515,11
F,0.3155,0.2965,11
M,0.474,0.24,11
M,0.34,0.2425,11
F,0.1475,0.11,11
M,0.422,0.29,11
F,0.276,0.215,11
F,0.594,0.388,11
M,0.6195,0.3285,11
F,0.7465,0.4975,11
F,0.4255,0.2845,11
M,0.421,0.26,11
F,0.2795,0.2185,11
F,0.167,0.187,11
F,0.181,0.155,11
M,0.2245,0.206,11
M,0.605,0.328,11
F,0.6435,0.265,11
M,0.5275,0.344,11
F,0.7535,0.32,11
I,0.184,0.1125,11
F,0.55,0.335,11
F,0.4845,0.375,11
I,0.229,0.235,11
M,0.4935,0.285,11
F,0.688,0.363,11
F,0.74,0.465,11
M,0.53,0.322,11
F,0.233,0.18,11
F,0.4755,0.28,11
F,0.381,0.26,11
F,0.5475,0.3045,11
M,0.6775,0.178,11
M,0.189,0.31,11
M,0.48,0.325,11
F,0.559,0.3165,11
F,0.4535,0.2765,11
F,0.8505,0.47,11
M,0.4895,0.3325,11
M,1.0815,0.503,11
I,0.2245,0.225,11
F,0.735,0.4525,11
M,0.665,0.378,11
F,0.37,0.249,11
F,1.109,0.545,11
M,0.115,0.075,11
F,0.693,0.409,11
M,0.7465,0.508,11
M,1.012,0.5475,11
I,0.198,0.175,11
M,0.2815,0.22,11
I,0.329,0.251,11
I,0.288,0.21,11
M,0.0925,0.12,11
F,0.389,0.272,11
I,0.3225,0.215,11
M,0.0655,0.055,11
F,0.475,0.265,11
M,0.4055,0.251,11
M,0.59,0.363,11
M,0.682,0.4005,11
M,0.556,0.4115,11
I,0.3045,0.265,11
M,0.549,0.36,11
M,0.5055,0.367,11
F,0.647,0.455,11
I,0.419,0.26,11
M,0.726,0.332,11
M,0.2175,0.19,11
M,0.779,0.432,11
F,0.4625,0.28,11
M,0.658,0.4115,11
F,0.7295,0.4265,11
F,0.3005,0.185,11
F,0.7755,0.48,11
F,0.5635,0.3395,11
M,0.6215,0.399,11
M,0.6955,0.42,11
F,0.4785,0.349,11
M,0.606,0.3445,11
F,0.355,0.25,11
I,0.1425,0.113,11
F,0.185,0.19,11
F,0.3645,0.235,11
M,0.5245,0.275,11
F,0.5595,0.4375,11
M,0.402,0.275,11
M,0.647,0.465,11
M,0.492,0.325,11
F,0.5605,0.358,11
M,0.73,0.595,11
F,0.526,0.317,11
F,0.125,0.117,11
M,0.749,0.401,11
F,0.441,0.39,11
F,0.686,0.45,11
M,0.4375,0.31,11
I,0.6725,0.4065,11
F,0.185,0.145,11
M,0.896,0.5,11
F,0.171,0.185,11
F,0.8465,0.3875,11
M,0.9215,0.566,11
F,0.239,0.18,11
I,0.2925,0.209,11
M,0.724,0.406,11
M,0.6665,0.46,11
I,0.242,0.182,11
M,0.695,0.395,11
M,0.2595,0.19,11
M,0.6155,0.36,11
F,0.833,0.475,11
F,0.556,0.37,11
M,0.4825,0.31,11
F,0.873,0.435,11
M,0.8885,0.4195,11
F,0.8485,0.331,11
I,0.5865,0.2915,11
M,0.522,0.36,11
M,0.6205,0.657,11
I,0.379,0.2575,11
F,0.363,0.195,11
I,0.262,0.24,11
M,0.2535,0.172,11
F,0.1785,0.14,11
M,0.5975,0.4,11
I,0.332,0.29,11
M,0.7075,0.48,11
M,0.75,0.3685,11
F,0.607,0.44,11
F,0.524,0.385,11
F,0.466,0.298,11
M,0.1815,0.16,11
M,0.4435,0.285,11
M,0.317,0.22,11
M,0.6605,0.31,11
I,0.3745,0.223,11
M,0.1865,0.16,11
F,1.0135,0.48,11
M,0.6355,0.38,11
I,0.116,0.115,11
M,0.4765,0.35,11
M,0.385,0.35,11
M,0.6525,0.3385,11
F,0.412,0.289,11
M,0.3585,0.277,11
F,0.5125,0.305,11
F,0.83,0.405,11
M,0.275,0.18,11
M,0.2015,0.185,11
F,0.6215,0.4535,11
F,0.7925,0.468,11
M,0.7185,0.355,11
M,0.5055,0.37,11
F,0.634,0.406,11
F,0.243,0.21,11
F,0.7775,0.438,11
M,0.474,0.38,11
M,0.6405,0.43,11
F,0.302,0.235,11
M,0.492,0.37,11
F,0.8725,0.475,11
F,0.2665,0.25,11
M,0.44,0.285,11
F,0.531,0.37,11
M,0.4655,0.28,11
F,0.77,0.435,11
F,0.369,0.21,11
F,0.554,0.32,11
F,0.165,0.132,11
M,1.2455,0.434,11
F,0.5275,0.35,11
I,0.3375,0.239,11
F,0.8605,0.398,11
M,0.454,0.265,11
F,1.1335,0.6,11
F,0.4655,0.264,11
F,0.689,0.432,11
M,0.7635,0.4025,11
F,0.4895,0.343,11
M,0.393,0.2,11
F,0.599,0.315,11
M,0.0585,0.049,11
F,0.83,0.44,11
F,0.6605,0.37,11
F,0.3425,0.291,11
I,0.1895,0.155,11
F,0.2615,0.178,11
M,0.5175,0.37,11
F,0.371,0.28,11
F,0.3945,0.285,11
I,0.3685,0.235,11
M,0.691,0.4425,11
M,0.255,0.2885,11
M,0.531,0.3525,11
M,0.36,0.25,11
M,0.5565,0.346,11
F,0.2555,0.22,11
F,0.3,0.16,11
F,0.714,0.4705,11
F,0.282,0.285,11
I,0.6315,0.33,11
F,0.293,0.235,11
F,0.695,0.444,11
I,0.0905,0.07,11
F,0.6525,0.422,11
M,0.0415,0.04,11
M,0.244,0.188,11
M,0.3215,0.315,11
M,0.7105,0.345,11
M,0.345,0.24,11
F,0.7045,0.3045,11
F,0.7285,0.431,11
F,0.394,0.26,11
F,0.399,0.265,11
M,1.0615,0.5285,11
M,0.706,0.45,11
M,0.9895,0.502,11
I,0.315,0.215,11
M,0.3365,0.3,11
F,0.4515,0.155,11
I,0.2005,0.166,11
F,0.744,0.488,11
F,0.427,0.345,11
M,0.7625,0.455,11
I,0.444,0.2445,11
M,0.169,0.145,11
M,0.4015,0.245,11
M,0.216,0.21,11
M,0.6325,0.37,11
F,0.1585,0.131,11
M,0.654,0.415,11
I,0.2315,0.1525,11
F,0.639,0.36,11
M,0.43,0.277,11
F,0.697,0.595,11
F,0.861,0.415,11
F,0.3135,0.23,11
M,0.557,0.385,11
F,0.469,0.384,11
M,0.422,0.285,11
F,0.4495,0.345,11
M,0.465,0.315,11
M,0.1415,0.115,11
F,0.236,0.255,11
I,0.446,0.305,11
M,0.456,0.329,11
M,0.718,0.529,11
M,0.2,0.175,11
M,0.2405,0.275,11
I,0.2435,0.1895,11
M,0.4405,0.265,11
I,0.2,0.179,11
F,0.577,0.3825,11
F,0.58,0.545,11
I,0.507,0.274,11
M,0.3485,0.24,11
F,0.285,0.21,11
F,0.594,0.345,11
M,0.8215,0.4705,11
F,0.566,0.294,11
M,0.7455,0.4325,11
F,0.7735,0.575,11
F,0.667,0.471,11
M,0.5855,0.475,11
M,0.954,0.495,12
I,0.1405,0.106,12
M,0.5765,0.355,12
I,0.1555,0.135,12
M,0.4375,0.4,12
M,0.8155,0.488,12
F,0.643,0.416,12
F,0.2325,0.17,12
M,0.539,0.3115,12
F,0.6685,0.335,12
M,1.2395,0.6195,12
F,0.1905,0.14,12
F,0.61,0.41,12
F,0.469,0.398,12
F,0.15,0.1515,12
M,0.75,0.369,12
F,0.6425,0.42,12
F,0.262,0.193,12
F,0.58,0.37,12
M,0.356,0.28,12
M,1.0465,0.5075,12
F,0.9655,0.482,12
I,0.3995,0.23,12
F,0.4985,0.35,12
M,0.5435,0.335,12
F,0.4905,0.3035,12
F,0.309,0.262,12
M,0.1205,0.1105,12
M,0.315,0.3635,12
F,0.3465,0.275,12
F,0.753,0.43,12
F,0.1595,0.12,12
M,0.6345,0.305,12
M,1.1155,0.642,12
M,0.2135,0.2,12
M,0.645,0.3705,12
F,0.1915,0.155,12
M,0.909,0.625,12
M,0.5045,0.335,12
M,1.007,0.6205,12
F,0.3965,0.26,12
M,0.2635,0.245,12
M,0.2715,0.285,12
M,0.382,0.5,12
F,0.2945,0.195,12
F,0.6065,0.407,12
I,0.245,0.168,12
M,0.4765,0.375,12
M,0.555,0.34,12
M,0.0575,0.068,12
F,0.2185,0.155,12
F,0.3685,0.24,12
M,0.7165,0.4715,12
F,0.931,0.4825,12
M,1.017,0.494,12
F,0.392,0.34,12
F,0.1045,0.09,12
M,0.696,0.505,12
M,0.9165,0.461,12
M,0.359,0.245,12
F,0.251,0.2,12
F,0.4275,0.27,12
M,1.083,0.63,12
F,0.7645,0.553,12
M,0.6285,0.309,12
F,0.5215,0.365,12
M,0.9515,0.5365,12
F,0.253,0.185,12
F,0.5935,0.293,12
M,0.211,0.262,12
F,0.684,0.39,12
F,0.3315,0.1775,12
M,0.2665,0.285,12
F,0.354,0.32,12
F,0.6925,0.35,12
M,0.3,0.175,12
I,0.335,0.25,12
M,0.4605,0.43,12
F,0.6725,0.195,12
F,0.6485,0.335,12
I,0.572,0.395,12
M,0.4955,0.385,12
F,0.7105,0.516,12
M,0.606,0.395,12
F,0.582,0.313,12
F,0.426,0.32,12
F,0.3865,0.265,12
M,0.288,0.185,12
M,0.226,0.195,12
F,0.5135,0.3,12
M,0.455,0.33,12
F,0.7815,0.4675,12
F,0.7665,0.4685,12
I,0.4935,0.315,12
M,0.407,0.354,12
F,0.5935,0.425,12
M,0.0995,0.09,12
M,0.3325,0.305,12
F,0.5175,0.305,12
F,0.215,0.1845,12
F,0.96,0.43,12
F,0.687,0.46,12
M,0.3515,0.215,12
M,0.2295,0.18,12
M,0.3335,0.22,12
M,0.5065,0.3365,12
F,0.281,0.22,12
I,0.369,0.36,12
M,1.095,0.638,12
M,0.579,0.32,12
M,0.425,0.335,12
F,0.693,0.4045,12
F,0.345,0.315,12
M,0.5645,0.386,12
F,0.6025,0.3085,12
F,0.1435,0.098,12
M,0.282,0.275,12
F,0.3675,0.27,12
F,0.339,0.44,12
F,0.2855,0.23,12
M,0.3475,0.24,12
M,0.174,0.225,12
F,0.5405,0.285,12
F,0.526,0.4105,12
M,0.6485,0.45,12
M,0.6345,0.364,12
F,0.657,0.355,12
F,0.732,0.501,12
F,0.4595,0.315,12
M,0.215,0.13,12
F,0.4585,0.37,12
F,0.4835,0.4,12
F,0.3665,0.245,12
F,0.723,0.4945,12
F,0.5815,0.3225,12
M,0.497,0.315,12
F,0.4605,0.344,12
F,0.342,0.355,12
M,0.544,0.345,12
M,0.611,0.418,12
I,0.643,0.3145,12
M,0.2745,0.21,12
F,0.1465,0.14,12
F,0.5865,0.3185,12
F,0.375,0.29,12
M,0.4295,0.295,12
M,0.169,0.135,12
M,0.458,0.315,12
M,0.6715,0.4,12
F,0.711,0.415,12
M,0.068,0.125,12
F,0.4955,0.32,12
F,0.4245,0.48,12
F,0.485,0.365,12
M,0.5515,0.305,12
M,0.6535,0.365,12
F,0.267,0.215,12
F,0.274,0.25,12
F,0.38,0.28,12
F,0.6555,0.513,12
M,0.222,0.17,12
F,0.1905,0.1475,12
F,0.49,0.279,12
F,0.291,0.235,12
F,0.501,0.355,12
F,0.784,0.455,12
F,0.3605,0.23,12
F,0.4645,0.305,12
M,0.6115,0.445,12
F,0.493,0.49,12
F,0.2415,0.21,12
M,0.186,0.17,12
F,0.2855,0.235,12
M,0.216,0.24,12
F,0.5585,0.292,12
F,0.8915,0.471,12
F,0.1955,0.1945,12
F,0.322,0.37,12
F,0.621,0.46,12
M,0.3725,0.255,12
F,0.2765,0.216,12
F,0.1525,0.152,12
M,1.026,0.4505,12
F,0.219,0.2,12
F,0.387,0.31,12
M,0.343,0.25,12
I,0.306,0.1825,12
F,0.8565,0.602,12
M,0.7225,0.471,12
M,0.7245,0.498,12
I,0.2745,0.18,12
F,0.3135,0.33,12
F,0.302,0.265,12
M,0.263,0.215,12
F,0.431,0.235,12
I,0.1685,0.096,12
M,0.5115,0.436,12
M,0.3695,0.255,12
M,0.6255,0.308,12
M,0.3785,0.265,12
F,0.5375,0.431,12
F,0.7255,0.405,12
M,1.128,0.5335,12
F,0.447,0.275,12
F,0.5405,0.275,12
I,0.3545,0.3,12
I,0.1845,0.155,12
M,0.984,0.621,12
I,0.1815,0.125,12
I,0.5285,0.306,12
M,0.6445,0.425,12
F,0.3705,0.33,12
M,0.7355,0.3865,12
M,0.307,0.26,12
I,0.1165,0.0725,12
F,0.2935,0.17,12
M,0.6735,0.3775,12
M,0.3275,0.256,12
F,0.3,0.195,12
M,0.158,0.125,12
M,0.27,0.205,12
M,1.3485,0.578,12
M,0.4975,0.345,12
F,0.73,0.462,12
F,0.6755,0.6855,12
M,0.3275,0.22,12
M,0.5105,0.675,12
M,0.2385,0.205,12
F,0.145,0.11,12
F,0.234,0.23,12
I,0.191,0.145,12
F,0.949,0.565,12
M,0.26,0.22,12
I,0.2745,0.1815,12
M,0.258,0.24,12
M,0.708,0.445,12
M,0.305,0.205,12
M,0.1215,0.0875,12
F,0.598,0.315,12
M,0.2145,0.2495,18
M,0.5915,0.38,18
F,0.265,0.25,18
M,0.4635,0.305,18
I,0.185,0.169,18
M,0.6145,0.39,18
M,0.532,0.69,18
M,0.2825,0.29,18
M,0.1135,0.13,18
I,0.597,0.53,18
M,0.5515,0.35,18
M,0.3035,0.31,18
F,0.65,1.005,18
M,0.5305,0.47,18
F,0.3885,0.275,18
M,0.4865,0.61,18
I,0.3585,0.205,18
F,0.315,0.32,18
F,0.3775,0.385,18
M,0.5495,0.34,18
F,0.627,0.475,18
M,0.342,0.32,18
F,0.493,0.565,18
F,0.38,0.295,18
I,0.5305,0.41,18
M,0.428,0.315,18
F,0.479,0.345,18
M,0.2985,0.355,18
F,0.511,0.32,18
I,0.2175,0.195,18
F,0.2585,0.38,18
M,0.548,0.42,18
F,0.5005,0.41,18
F,0.1945,0.155,18
M,0.7665,0.78,18
F,0.529,0.485,18
F,0.7035,0.395,18
F,0.365,0.26,18
M,0.2305,0.195,13
I,0.4675,0.39,13
M,0.3805,0.28,13
M,0.2505,0.29,13
M,0.317,0.355,13
M,0.2735,0.255,13
M,0.926,0.3935,13
F,0.186,0.21,13
F,0.642,0.405,13
M,0.572,0.3545,13
M,0.264,0.285,13
F,0.2985,0.44,13
M,0.272,0.24,13
M,0.264,0.275,13
I,0.3385,0.32,13
M,0.2405,0.265,13
F,0.5345,0.345,13
I,0.3265,0.165,13
F,0.219,0.195,13
I,0.358,0.26,13
M,0.4215,0.34,13
I,0.0635,0.05,13
I,0.2705,0.17,13
F,0.713,0.4535,13
F,0.3825,0.32,13
F,0.442,0.2875,13
F,0.4405,0.39,13
M,0.2145,0.195,13
F,0.506,0.295,13
M,0.2775,0.335,13
M,0.4105,0.41,13
M,0.2735,0.275,13
I,0.276,0.185,13
M,0.6645,0.4505,13
M,0.2025,0.145,13
F,0.53,0.28,13
F,0.369,0.275,13
F,0.3195,0.24,13
M,0.4775,0.27,13
F,0.6995,0.575,13
M,0.5185,0.335,13
F,0.3345,0.29,13
M,0.4015,0.39,13
M,0.624,0.365,13
M,0.5455,0.355,13
F,0.192,0.13,13
I,0.163,0.17,13
M,0.6045,0.33,13
M,0.5665,0.405,13
M,0.7885,0.4865,13
F,0.194,0.125,13
M,0.249,0.25,13
F,0.4805,0.355,13
F,0.4525,0.42,13
M,0.353,0.305,13
I,0.337,0.205,13
M,0.69,0.4355,13
F,0.192,0.175,13
F,0.33,0.21,13
M,0.1685,0.215,13
M,0.254,0.285,13
M,0.356,0.28,13
M,0.4915,0.343,13
F,0.138,0.095,13
M,0.882,0.5,13
F,0.2355,0.27,13
M,0.4275,0.238,13
F,0.3465,0.295,13
F,0.694,0.474,13
F,0.6335,0.35,13
M,0.9815,0.341,13
F,0.414,0.305,13
I,0.2075,0.155,13
M,0.377,0.34,13
M,0.675,0.3245,13
F,0.519,0.37,13
M,0.801,0.646,13
F,0.519,0.44,13
F,0.357,0.385,13
M,0.3415,0.25,13
F,0.2755,0.31,13
F,0.21,0.2515,13
M,0.4205,0.36,13
F,0.3345,0.21,13
F,0.3095,0.25,13
F,0.481,0.315,13
M,0.471,0.535,13
M,0.4515,0.4,13
F,0.2035,0.17,13
M,0.734,0.335,13
F,0.6965,0.405,13
F,0.601,0.505,13
M,0.566,0.4625,13
F,0.276,0.25,13
M,0.2465,0.2,13
F,0.313,0.263,13
F,0.2115,0.255,13
M,0.329,0.39,13
I,0.2865,0.235,13
M,0.483,0.275,13
M,0.535,0.395,13
F,0.5235,0.4275,13
M,0.237,0.295,13
I,0.1735,0.2,13
I,0.16,0.154,13
F,0.2385,0.19,13
I,0.4145,0.345,13
M,0.8345,0.437,13
F,0.392,0.34,13
M,0.2635,0.25,13
F,0.4385,0.36,13
M,0.2795,0.18,13
M,0.4125,0.415,13
F,0.477,0.39,13
F,0.347,0.315,13
F,0.4775,0.295,13
F,0.819,0.4525,13
F,0.605,0.538,13
F,0.7855,0.498,13
M,0.667,0.3555,13
F,0.2625,0.27,13
M,0.336,0.245,13
F,0.2465,0.2,13
I,0.4335,0.33,13
F,0.166,0.1345,13
M,0.412,0.3,13
I,0.267,0.22,13
F,0.224,0.185,13
F,0.1765,0.175,13
M,0.425,0.32,13
M,0.223,0.235,13
M,0.5065,0.405,13
F,0.1815,0.225,13
F,0.8955,0.62,13
M,0.128,0.148,13
F,0.231,0.145,13
F,0.4975,0.394,13
M,0.341,0.26,13
F,0.207,0.24,13
F,0.7295,0.5165,13
M,0.7305,0.46,13
M,0.5525,0.295,13
F,0.187,0.195,13
F,0.4365,0.3805,13
M,0.227,0.22,13
F,0.5195,0.44,13
F,0.7105,0.412,13
M,0.6935,0.395,13
I,0.3015,0.3,13
I,0.216,0.115,13
M,0.4635,0.4,13
M,0.567,0.41,13
F,0.483,0.3645,13
M,0.693,0.4405,13
M,0.336,0.275,13
F,0.913,0.51,13
M,1.1455,0.5235,13
M,0.3925,0.293,13
I,0.3775,0.275,13
M,0.566,0.445,13
F,0.416,0.485,13
F,0.322,0.335,13
M,0.4825,0.4,13
M,1.351,0.5015,13
M,0.4995,0.38,13
F,0.143,0.125,13
M,0.548,0.337,13
M,0.374,0.23,13
F,0.6075,0.4645,13
F,0.4365,0.335,13
M,0.357,0.29,13
M,0.1865,0.168,13
F,0.694,0.44,13
F,0.374,0.285,13
F,0.581,0.32,13
F,0.322,0.25,13
M,0.675,0.535,13
M,0.342,0.295,13
F,0.1075,0.0865,13
F,0.87,0.5675,13
