@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.35,0.28,0.082,8
I,0.47,0.355,0.21,8
M,0.535,0.435,0.3735,8
M,0.335,0.255,0.0615,8
M,0.665,0.525,0.629,8
M,0.61,0.48,0.5575,8
I,0.495,0.37,0.2075,8
I,0.44,0.32,0.1495,8
F,0.47,0.35,0.1955,8
I,0.45,0.34,0.1385,8
F,0.535,0.46,0.3395,8
M,0.495,0.395,0.3035,8
I,0.505,0.39,0.362,8
F,0.59,0.455,0.5155,8
M,0.52,0.465,0.456,8
M,0.505,0.39,0.2575,8
M,0.47,0.385,0.2765,8
F,0.595,0.435,0.4175,8
I,0.495,0.375,0.31,8
M,0.49,0.385,0.3065,8
I,0.39,0.3,0.0955,8
I,0.42,0.32,0.1745,8
M,0.55,0.385,0.343,8
I,0.52,0.4,0.278,8
M,0.535,0.41,0.3125,8
I,0.5,0.385,0.197,8
I,0.425,0.3,0.141,8
M,0.63,0.485,0.637,8
F,0.47,0.375,0.2765,8
I,0.395,0.32,0.149,8
M,0.52,0.38,0.2505,8
M,0.385,0.275,0.0975,8
F,0.585,0.45,0.405,8
M,0.535,0.415,0.3165,8
M,0.66,0.485,0.61,8
M,0.515,0.39,0.302,8
I,0.435,0.375,0.17,8
F,0.57,0.42,0.4315,8
M,0.49,0.385,0.32,8
I,0.38,0.27,0.0865,8
F,0.46,0.365,0.206,8
I,0.45,0.33,0.14,8
F,0.655,0.53,0.583,8
M,0.5,0.4,0.37,8
M,0.565,0.445,0.3635,8
I,0.525,0.4,0.2435,8
F,0.58,0.46,0.4025,8
M,0.465,0.355,0.227,8
F,0.57,0.455,0.54,8
F,0.525,0.41,0.4065,8
I,0.425,0.325,0.135,8
F,0.55,0.43,0.395,8
M,0.255,0.195,0.0315,8
I,0.505,0.355,0.25,8
I,0.455,0.34,0.261,8
I,0.525,0.395,0.297,8
I,0.405,0.31,0.416,8
I,0.495,0.385,0.2755,8
F,0.61,0.43,0.438,8
I,0.5,0.39,0.2455,8
M,0.555,0.435,0.404,8
F,0.505,0.38,0.391,8
M,0.535,0.43,0.2855,8
I,0.5,0.36,0.1875,8
M,0.505,0.365,0.25,8
I,0.55,0.415,0.373,8
F,0.58,0.445,0.41,8
I,0.5,0.385,0.3015,8
I,0.335,0.25,0.0795,8
M,0.69,0.54,0.7725,8
M,0.475,0.37,0.2185,8
I,0.315,0.23,0.053,8
M,0.6,0.455,0.696,8
M,0.415,0.31,0.1305,8
F,0.64,0.5,0.371,8
M,0.61,0.48,0.564,8
I,0.395,0.295,0.115,8
M,0.56,0.415,0.43,8
I,0.325,0.24,0.0565,8
M,0.59,0.47,0.413,8
F,0.52,0.375,0.221,8
I,0.615,0.475,0.353,8
M,0.485,0.39,0.25,8
I,0.39,0.28,0.0845,8
I,0.455,0.435,0.195,8
I,0.475,0.42,0.35,8
I,0.46,0.34,0.1805,8
I,0.51,0.405,0.3465,8
F,0.595,0.48,0.5225,8
F,0.44,0.34,0.1505,8
M,0.56,0.43,0.4,8
M,0.63,0.465,0.537,8
I,0.45,0.35,0.245,8
I,0.385,0.28,0.097,8
M,0.52,0.415,0.258,8
M,0.625,0.48,0.587,8
F,0.46,0.36,0.2105,8
I,0.42,0.31,0.115,8
I,0.455,0.345,0.207,8
F,0.64,0.51,0.7595,8
F,0.535,0.4,0.3935,8
M,0.47,0.375,0.266,8
I,0.385,0.285,0.1215,8
M,0.41,0.335,0.19,8
I,0.51,0.385,0.3095,8
F,0.5,0.38,0.277,8
M,0.47,0.35,0.1885,8
M,0.61,0.48,0.4375,8
I,0.43,0.345,0.212,8
M,0.575,0.455,0.3765,8
I,0.5,0.385,0.2835,8
F,0.575,0.465,0.417,8
F,0.63,0.5,0.514,8
I,0.505,0.4,0.2255,8
F,0.37,0.275,0.093,8
I,0.545,0.43,0.358,8
M,0.48,0.37,0.243,8
M,0.295,0.23,0.042,8
I,0.475,0.355,0.2535,8
I,0.475,0.36,0.191,8
M,0.475,0.36,0.241,8
I,0.47,0.365,0.175,8
F,0.505,0.475,0.509,8
I,0.395,0.3,0.1265,8
F,0.61,0.46,0.4255,8
M,0.45,0.325,0.2235,8
F,0.44,0.34,0.148,8
F,0.415,0.305,0.1305,8
F,0.575,0.435,0.4605,8
M,0.57,0.42,0.416,8
M,0.575,0.46,0.4005,8
M,0.615,0.505,0.6715,8
I,0.435,0.34,0.1495,8
F,0.58,0.445,0.4,8
I,0.5,0.4,0.261,8
M,0.475,0.36,0.2825,8
M,0.485,0.365,0.4235,8
M,0.49,0.38,0.2935,8
I,0.52,0.4,0.2935,8
I,0.595,0.46,0.377,8
F,0.5,0.4,0.2565,8
I,0.525,0.39,0.2875,8
M,0.465,0.375,0.21,8
I,0.375,0.29,0.14,8
I,0.475,0.365,0.171,8
I,0.445,0.335,0.1985,8
M,0.6,0.47,0.4225,8
I,0.495,0.375,0.181,8
F,0.645,0.49,0.5015,8
M,0.385,0.255,0.137,8
I,0.375,0.285,0.105,8
I,0.525,0.4,0.345,8
M,0.49,0.355,0.465,8
I,0.375,0.305,0.092,8
I,0.41,0.325,0.1605,8
I,0.555,0.425,0.2835,8
I,0.415,0.315,0.1765,8
M,0.45,0.33,0.2575,8
F,0.575,0.48,0.4235,8
M,0.515,0.395,0.472,8
I,0.485,0.375,0.2,8
M,0.53,0.41,0.3495,8
F,0.55,0.44,0.434,8
M,0.51,0.39,0.3935,8
M,0.57,0.445,0.504,8
M,0.55,0.44,0.3645,8
I,0.41,0.3,0.141,8
M,0.555,0.435,0.341,8
I,0.525,0.4,0.3015,8
I,0.415,0.31,0.1125,8
I,0.355,0.26,0.077,8
F,0.62,0.48,0.5635,8
F,0.53,0.405,0.4055,8
I,0.525,0.405,0.3045,8
I,0.54,0.39,0.2525,8
M,0.56,0.42,0.44,8
I,0.525,0.38,0.261,8
I,0.485,0.375,0.266,8
M,0.525,0.395,0.3375,8
M,0.495,0.395,0.224,8
F,0.6,0.46,0.3985,8
I,0.43,0.34,0.1395,8
I,0.535,0.4,0.368,8
M,0.45,0.355,0.2125,8
I,0.53,0.4,0.279,8
I,0.45,0.35,0.253,8
F,0.6,0.465,0.5455,8
I,0.375,0.285,0.106,8
F,0.36,0.265,0.078,8
F,0.505,0.39,0.2555,8
I,0.485,0.365,0.195,8
F,0.615,0.48,0.585,8
I,0.5,0.37,0.249,8
F,0.605,0.48,0.4735,8
I,0.48,0.35,0.2735,8
M,0.58,0.45,0.321,8
M,0.56,0.415,0.3695,8
I,0.33,0.255,0.063,8
M,0.515,0.425,0.497,8
I,0.52,0.415,0.2945,8
I,0.545,0.43,0.289,8
M,0.39,0.285,0.11,8
M,0.405,0.305,0.1145,8
I,0.475,0.36,0.205,8
F,0.64,0.475,0.4895,8
I,0.455,0.345,0.164,8
I,0.43,0.32,0.1675,8
I,0.595,0.43,0.4525,8
I,0.57,0.44,0.3425,8
M,0.585,0.455,0.4095,8
I,0.385,0.29,0.1,8
M,0.51,0.415,0.3295,8
M,0.565,0.455,0.444,8
F,0.465,0.35,0.165,8
I,0.345,0.285,0.0865,8
I,0.44,0.325,0.258,8
F,0.55,0.43,0.4035,8
M,0.72,0.565,0.691,8
M,0.475,0.385,0.289,8
I,0.445,0.33,0.1525,8
M,0.42,0.335,0.171,8
I,0.52,0.38,0.2295,8
F,0.59,0.46,0.445,8
I,0.465,0.345,0.1825,8
M,0.635,0.51,0.544,8
I,0.48,0.365,0.2205,8
M,0.69,0.525,0.8255,8
F,0.37,0.275,0.093,8
M,0.645,0.52,0.709,8
I,0.545,0.42,0.4235,8
F,0.455,0.355,0.332,8
M,0.58,0.45,0.547,8
I,0.51,0.39,0.293,8
M,0.6,0.41,0.4475,8
F,0.635,0.5,0.593,8
F,0.38,0.305,0.1255,8
I,0.51,0.405,0.3065,8
F,0.53,0.425,0.328,8
I,0.5,0.38,0.226,8
M,0.47,0.365,0.327,8
M,0.63,0.48,0.604,8
I,0.475,0.36,0.2825,8
I,0.59,0.47,0.453,8
I,0.495,0.38,0.205,8
F,0.465,0.35,0.259,8
I,0.53,0.38,0.292,8
I,0.535,0.385,0.4955,8
I,0.555,0.435,0.3945,8
F,0.49,0.355,0.3485,8
M,0.615,0.47,0.5085,8
I,0.46,0.37,0.1485,8
I,0.485,0.415,0.25,8
I,0.475,0.375,0.211,8
M,0.38,0.3,0.106,8
F,0.555,0.44,0.43,8
F,0.575,0.425,0.455,8
I,0.29,0.225,0.036,8
I,0.525,0.385,0.2355,8
I,0.51,0.395,0.2465,8
I,0.51,0.395,0.234,8
F,0.59,0.46,0.453,8
M,0.525,0.415,0.3525,8
M,0.51,0.41,0.3865,8
I,0.49,0.375,0.279,8
M,0.525,0.435,0.486,8
M,0.485,0.39,0.2945,8
I,0.465,0.355,0.255,8
I,0.435,0.3,0.259,8
I,0.52,0.41,0.2165,8
M,0.665,0.515,0.621,8
F,0.55,0.43,0.2635,8
M,0.515,0.39,0.341,8
M,0.59,0.47,0.539,8
F,0.515,0.43,0.367,8
F,0.57,0.445,0.412,8
I,0.49,0.375,0.204,8
I,0.39,0.31,0.1185,8
I,0.435,0.33,0.156,8
F,0.585,0.455,0.411,8
I,0.425,0.325,0.1695,8
I,0.48,0.355,0.25,8
M,0.46,0.36,0.2165,8
F,0.45,0.365,0.318,8
I,0.3,0.23,0.0435,8
M,0.575,0.44,0.3945,8
F,0.535,0.425,0.3765,8
I,0.55,0.425,0.2695,8
I,0.41,0.3,0.129,8
I,0.495,0.375,0.2855,8
M,0.58,0.45,0.418,8
F,0.535,0.42,0.3125,8
M,0.57,0.445,0.5265,8
I,0.32,0.255,0.072,8
F,0.52,0.405,0.32,8
M,0.43,0.335,0.166,8
I,0.49,0.375,0.2275,8
I,0.44,0.35,0.21,8
I,0.445,0.32,0.152,8
F,0.46,0.35,0.19,8
M,0.625,0.5,0.5785,8
M,0.6,0.465,0.5145,8
I,0.295,0.215,0.037,8
I,0.55,0.435,0.34,8
M,0.45,0.35,0.174,8
I,0.425,0.34,0.15,8
M,0.47,0.38,0.2385,8
I,0.41,0.315,0.124,8
I,0.585,0.45,0.3975,8
F,0.53,0.425,0.325,8
F,0.58,0.435,0.428,8
M,0.355,0.265,0.069,8
M,0.48,0.37,0.349,8
I,0.5,0.39,0.294,8
F,0.655,0.455,0.583,8
M,0.42,0.34,0.175,8
M,0.58,0.455,0.41,8
I,0.5,0.38,0.2485,8
M,0.52,0.425,0.372,8
M,0.47,0.375,0.214,8
F,0.47,0.365,0.29,8
F,0.4,0.325,0.134,8
F,0.45,0.355,0.237,8
I,0.495,0.4,0.2505,8
M,0.475,0.355,0.234,8
I,0.325,0.2,0.0395,8
F,0.565,0.4,0.3075,8
F,0.58,0.45,0.5585,8
M,0.505,0.44,0.3415,8
I,0.485,0.365,0.3165,8
M,0.63,0.47,0.589,8
I,0.505,0.405,0.3015,8
I,0.55,0.425,0.339,8
M,0.59,0.47,0.481,8
F,0.6,0.46,0.427,8
I,0.455,0.33,0.358,8
I,0.525,0.4,0.325,8
F,0.53,0.42,0.2905,8
F,0.47,0.36,0.1635,8
F,0.6,0.5,0.6235,8
M,0.525,0.4,0.3685,8
I,0.485,0.375,0.2015,8
M,0.62,0.47,0.5315,8
I,0.475,0.355,0.2145,8
I,0.36,0.27,0.12,8
F,0.555,0.42,0.4445,8
I,0.545,0.375,0.2375,8
F,0.43,0.325,0.165,8
M,0.6,0.48,0.457,8
I,0.475,0.36,0.211,8
I,0.53,0.395,0.2025,8
I,0.43,0.34,0.2065,8
M,0.535,0.42,0.355,8
M,0.55,0.44,0.4645,8
F,0.62,0.435,0.477,8
I,0.495,0.38,0.2065,8
I,0.35,0.26,0.0985,8
I,0.495,0.375,0.3075,8
I,0.47,0.375,0.2265,8
M,0.625,0.505,0.5425,8
I,0.575,0.44,0.486,8
M,0.51,0.405,0.347,8
I,0.48,0.37,0.251,8
F,0.58,0.48,0.4945,8
I,0.44,0.34,0.123,8
M,0.455,0.35,0.2,8
I,0.45,0.35,0.2005,8
I,0.45,0.355,0.194,8
I,0.475,0.355,0.201,8
I,0.405,0.31,0.138,8
I,0.51,0.38,0.215,8
M,0.415,0.315,0.199,8
I,0.495,0.375,0.241,8
I,0.515,0.385,0.3175,8
M,0.47,0.375,0.1685,8
F,0.56,0.43,0.453,8
I,0.485,0.365,0.163,8
F,0.595,0.465,0.5415,8
M,0.545,0.45,0.3795,8
F,0.61,0.495,0.536,8
F,0.57,0.425,0.3695,8
I,0.48,0.355,0.2065,8
I,0.36,0.28,0.0885,8
I,0.395,0.325,0.111,8
M,0.525,0.385,0.246,8
I,0.52,0.38,0.2375,8
I,0.355,0.275,0.092,8
F,0.555,0.445,0.551,8
M,0.45,0.35,0.2075,8
M,0.465,0.355,0.2725,8
I,0.42,0.325,0.1295,8
M,0.515,0.385,0.253,8
I,0.56,0.43,0.3355,8
M,0.57,0.44,0.3395,8
I,0.49,0.37,0.271,8
I,0.46,0.345,0.187,8
M,0.52,0.4,0.234,8
M,0.555,0.44,0.4165,8
I,0.27,0.195,0.045,8
M,0.48,0.36,0.194,8
F,0.535,0.445,0.417,8
F,0.6,0.46,0.6025,8
M,0.61,0.49,0.597,8
F,0.55,0.43,0.375,8
I,0.4,0.315,0.151,8
I,0.47,0.345,0.1525,8
F,0.58,0.46,0.4095,8
M,0.58,0.455,0.4765,8
I,0.395,0.3,0.134,8
M,0.475,0.37,0.347,8
I,0.535,0.415,0.3595,8
I,0.515,0.4,0.3495,8
I,0.46,0.34,0.1795,8
I,0.52,0.41,0.2385,8
F,0.51,0.385,0.282,8
F,0.625,0.49,0.4485,8
I,0.455,0.335,0.175,8
I,0.445,0.355,0.1415,8
F,0.57,0.45,0.3345,8
I,0.42,0.315,0.1855,8
I,0.47,0.375,0.196,8
M,0.575,0.45,0.498,8
M,0.585,0.45,0.336,8
I,0.515,0.395,0.32,8
M,0.44,0.32,0.2435,8
I,0.375,0.28,0.0825,8
F,0.585,0.435,0.3085,8
I,0.555,0.43,0.3395,8
M,0.65,0.485,0.475,8
M,0.445,0.35,0.1565,8
M,0.555,0.44,0.4155,8
F,0.61,0.47,0.4925,8
F,0.565,0.45,0.4215,8
I,0.515,0.395,0.2695,8
I,0.52,0.38,0.288,8
F,0.55,0.425,0.5475,8
I,0.46,0.365,0.1755,8
I,0.43,0.315,0.1885,8
M,0.595,0.485,0.5305,8
M,0.6,0.455,0.4365,8
F,0.57,0.435,0.3905,8
I,0.47,0.355,0.2055,8
I,0.45,0.34,0.171,8
M,0.555,0.41,0.2345,8
M,0.355,0.265,0.05,8
M,0.48,0.365,0.2405,8
I,0.385,0.29,0.112,8
F,0.55,0.415,0.427,8
I,0.5,0.375,0.2235,8
F,0.645,0.505,0.684,8
I,0.425,0.31,0.1645,8
I,0.42,0.325,0.1625,8
I,0.57,0.45,0.3815,8
M,0.565,0.435,0.5795,8
I,0.6,0.48,0.38,8
F,0.44,0.33,0.143,8
F,0.48,0.365,0.2945,8
I,0.56,0.42,0.414,8
M,0.35,0.275,0.1225,8
I,0.455,0.37,0.2385,8
I,0.545,0.42,0.358,8
I,0.575,0.455,0.349,8
I,0.385,0.3,0.1525,8
M,0.525,0.425,0.4035,8
I,0.36,0.27,0.073,8
I,0.43,0.315,0.175,8
I,0.505,0.4,0.334,8
I,0.475,0.38,0.1785,8
M,0.59,0.45,0.369,8
I,0.505,0.395,0.248,8
I,0.515,0.39,0.238,8
M,0.605,0.475,0.3835,8
F,0.62,0.465,0.479,8
I,0.405,0.31,0.1785,8
F,0.65,0.525,0.61,20
M,0.615,0.525,0.367,20
M,0.635,0.525,0.55,20
F,0.53,0.415,0.237,20
F,0.5,0.4,0.27,20
F,0.675,0.545,0.6845,20
M,0.63,0.515,0.488,20
I,0.58,0.445,0.3935,20
M,0.53,0.415,0.275,20
M,0.55,0.44,0.348,20
M,0.655,0.525,0.487,20
F,0.63,0.5,0.5595,20
F,0.59,0.455,0.382,20
F,0.725,0.575,0.765,20
M,0.55,0.425,0.2885,20
F,0.595,0.475,0.48,20
M,0.6,0.47,0.4375,20
M,0.565,0.435,0.354,20
I,0.53,0.42,0.299,20
F,0.68,0.57,0.625,20
M,0.7,0.58,0.7415,20
F,0.585,0.47,0.3975,20
F,0.61,0.485,0.535,20
F,0.57,0.435,0.3235,16
M,0.545,0.45,0.2925,16
F,0.685,0.545,0.7495,16
F,0.615,0.5,0.4445,16
M,0.605,0.485,0.4325,16
I,0.635,0.48,0.6255,16
F,0.72,0.595,0.8045,16
M,0.595,0.47,0.4035,16
F,0.66,0.565,0.692,16
M,0.515,0.4,0.2955,16
F,0.535,0.425,0.302,16
I,0.45,0.35,0.21,16
M,0.51,0.415,0.3025,16
M,0.72,0.575,0.8835,16
M,0.565,0.455,0.354,16
M,0.59,0.45,0.473,16
M,0.535,0.42,0.3355,16
M,0.66,0.545,0.5305,16
F,0.65,0.515,0.564,16
M,0.725,0.565,0.6975,16
M,0.475,0.365,0.202,16
F,0.465,0.375,0.2225,16
F,0.645,0.52,0.616,16
F,0.6,0.48,0.4085,16
M,0.59,0.5,0.412,16
F,0.525,0.39,0.2265,16
I,0.44,0.355,0.159,16
F,0.535,0.405,0.26,16
F,0.66,0.515,0.54,16
M,0.65,0.52,0.519,16
F,0.615,0.515,0.4305,16
M,0.58,0.46,0.473,16
I,0.6,0.445,0.383,16
M,0.64,0.525,0.44,16
M,0.655,0.515,0.443,16
F,0.685,0.525,0.5415,16
M,0.64,0.5,0.4445,16
I,0.56,0.445,0.3005,16
F,0.675,0.535,0.592,16
F,0.63,0.5,0.367,16
M,0.575,0.45,0.44,16
M,0.635,0.48,0.413,16
F,0.55,0.44,0.313,16
M,0.675,0.525,0.483,16
I,0.44,0.33,0.17,16
F,0.65,0.545,0.6645,16
M,0.645,0.485,0.546,16
F,0.65,0.545,0.5605,16
M,0.635,0.515,0.509,16
M,0.575,0.47,0.292,16
F,0.625,0.525,0.5115,16
F,0.74,0.6,0.598,16
M,0.525,0.43,0.376,16
I,0.635,0.5,0.5485,16
F,0.56,0.445,0.305,16
F,0.57,0.465,0.405,16
F,0.52,0.425,0.396,16
F,0.54,0.475,0.5305,16
M,0.44,0.35,0.171,16
M,0.63,0.51,0.4125,16
F,0.505,0.425,0.275,19
F,0.59,0.45,0.358,19
I,0.52,0.39,0.2415,19
F,0.69,0.555,0.7785,19
F,0.705,0.555,0.4715,19
M,0.59,0.475,0.3815,19
F,0.645,0.525,0.6615,19
F,0.68,0.58,0.585,19
F,0.66,0.52,0.526,19
M,0.645,0.515,0.5835,19
M,0.69,0.55,0.732,19
M,0.545,0.435,0.3245,19
M,0.595,0.455,0.4595,19
M,0.63,0.515,0.4215,19
M,0.695,0.57,0.8665,19
M,0.5,0.38,0.2655,19
F,0.53,0.41,0.24,19
M,0.54,0.405,0.3225,19
F,0.55,0.44,0.3145,19
F,0.6,0.475,0.4345,19
M,0.57,0.405,0.3445,19
M,0.525,0.395,0.285,19
F,0.68,0.55,0.815,19
M,0.54,0.41,0.2815,19
F,0.58,0.44,0.4005,19
M,0.7,0.535,0.63,19
F,0.565,0.455,0.342,19
F,0.605,0.485,0.435,19
M,0.6,0.5,0.3995,19
M,0.56,0.44,0.443,14
I,0.58,0.42,0.2725,14
M,0.665,0.535,0.5755,14
I,0.44,0.345,0.1965,14
M,0.55,0.41,0.2505,14
F,0.73,0.55,0.5415,14
F,0.7,0.575,0.5095,14
F,0.52,0.41,0.3735,14
F,0.615,0.475,0.4695,14
F,0.605,0.485,0.437,14
F,0.62,0.51,0.4985,14
F,0.615,0.47,0.5135,14
F,0.47,0.355,0.2005,14
M,0.43,0.33,0.1315,14
M,0.65,0.525,0.6265,14
M,0.49,0.395,0.213,14
F,0.58,0.475,0.391,14
M,0.645,0.515,0.6745,14
F,0.63,0.5,0.4905,14
M,0.5,0.375,0.3055,14
M,0.585,0.45,0.4315,14
M,0.575,0.455,0.581,14
M,0.495,0.385,0.2,14
F,0.645,0.55,0.57,14
M,0.445,0.35,0.2025,14
M,0.49,0.42,0.239,14
F,0.46,0.365,0.165,14
M,0.6,0.475,0.403,14
M,0.535,0.41,0.2855,14
M,0.725,0.57,1.0705,14
M,0.57,0.45,0.326,14
F,0.525,0.38,0.194,14
M,0.59,0.45,0.3345,14
I,0.47,0.4,0.1615,14
F,0.535,0.42,0.2785,14
M,0.59,0.455,0.475,14
F,0.595,0.485,0.5035,14
F,0.67,0.54,0.518,14
M,0.535,0.42,0.301,14
M,0.695,0.53,0.6375,14
M,0.705,0.56,0.8175,14
M,0.565,0.44,0.31,14
M,0.605,0.49,0.517,14
M,0.73,0.585,1.2395,14
F,0.585,0.46,0.3745,14
M,0.485,0.395,0.2285,14
F,0.625,0.485,0.61,14
F,0.815,0.65,0.8905,14
F,0.525,0.405,0.3105,14
F,0.515,0.425,0.304,14
I,0.61,0.475,0.4435,14
M,0.61,0.48,0.56,14
I,0.625,0.465,0.404,14
F,0.61,0.47,0.403,14
M,0.58,0.45,0.38,14
F,0.695,0.53,0.75,14
M,0.65,0.495,0.8005,14
F,0.54,0.415,0.275,14
F,0.595,0.47,0.462,14
F,0.57,0.465,0.3245,14
F,0.57,0.45,0.3305,14
M,0.645,0.5,0.741,14
F,0.485,0.395,0.2475,14
I,0.5,0.385,0.3795,14
M,0.58,0.45,0.276,14
M,0.46,0.36,0.1955,14
F,0.575,0.485,0.419,14
F,0.57,0.495,0.452,14
I,0.55,0.425,0.376,14
M,0.585,0.475,0.41,14
M,0.555,0.42,0.3075,14
M,0.55,0.45,0.3765,14
I,0.385,0.305,0.0915,14
F,0.75,0.61,1.232,14
M,0.5,0.385,0.2305,14
M,0.53,0.44,0.32,14
F,0.58,0.45,0.3,14
M,0.48,0.38,0.2,14
M,0.62,0.485,0.3875,14
I,0.59,0.45,0.2745,14
M,0.56,0.42,0.3025,14
M,0.68,0.53,0.5825,14
F,0.62,0.48,0.403,14
M,0.515,0.38,0.325,14
M,0.76,0.575,0.7035,14
F,0.725,0.565,1.03,14
M,0.45,0.335,0.164,14
M,0.615,0.495,0.5795,14
M,0.595,0.455,0.416,14
M,0.5,0.385,0.246,14
F,0.63,0.475,0.4155,14
F,0.55,0.435,0.2875,14
F,0.57,0.46,0.4125,14
F,0.665,0.525,0.678,14
F,0.675,0.535,0.6175,14
M,0.63,0.505,0.4525,14
I,0.565,0.435,0.2715,14
M,0.665,0.535,0.596,14
F,0.57,0.445,0.282,14
F,0.605,0.495,0.528,14
I,0.525,0.405,0.3075,14
I,0.45,0.345,0.1975,14
F,0.64,0.505,0.4435,14
M,0.66,0.51,0.7685,14
M,0.52,0.45,0.3615,14
F,0.465,0.38,0.208,14
F,0.55,0.425,0.362,14
F,0.55,0.465,0.3575,14
F,0.635,0.51,0.5735,14
M,0.57,0.48,0.399,14
F,0.555,0.455,0.296,14
F,0.62,0.51,0.4775,14
F,0.655,0.51,0.396,14
F,0.625,0.515,0.5255,14
M,0.685,0.52,0.7185,11
M,0.54,0.42,0.3485,11
F,0.61,0.475,0.5275,11
I,0.61,0.49,0.5865,11
I,0.525,0.43,0.3225,11
M,0.585,0.43,0.3625,11
M,0.51,0.395,0.244,11
F,0.545,0.44,0.2985,11
F,0.505,0.405,0.239,11
F,0.43,0.325,0.1475,11
M,0.63,0.515,0.6355,11
F,0.41,0.305,0.1735,11
F,0.47,0.35,0.187,11
M,0.455,0.355,0.2,11
M,0.67,0.515,0.526,11
M,0.33,0.245,0.0655,11
F,0.585,0.475,0.458,11
I,0.52,0.405,0.2,11
M,0.71,0.56,0.9215,11
F,0.61,0.485,0.4255,11
M,0.525,0.4,0.279,11
F,0.41,0.32,0.165,11
F,0.62,0.5,0.4895,11
M,0.64,0.575,0.625,11
M,0.645,0.51,0.556,11
F,0.49,0.375,0.2555,11
M,0.65,0.525,0.777,11
M,0.385,0.31,0.1065,11
F,0.64,0.485,0.5525,11
I,0.465,0.34,0.1425,11
M,0.65,0.52,0.6665,11
M,0.6,0.475,0.522,11
F,0.62,0.495,0.372,11
M,0.565,0.44,0.348,11
F,0.585,0.46,0.503,11
F,0.495,0.375,0.2615,11
M,0.57,0.46,0.454,11
F,0.645,0.52,0.526,11
M,0.355,0.28,0.0955,11
F,0.595,0.47,0.4515,11
F,0.605,0.505,0.7285,11
I,0.52,0.38,0.1775,11
F,0.625,0.5,0.5725,11
F,0.67,0.53,0.63,11
F,0.565,0.445,0.3135,11
M,0.635,0.52,0.6,11
F,0.675,0.51,0.475,11
M,0.455,0.35,0.1815,11
M,0.585,0.45,0.4055,11
M,0.6,0.495,0.5055,11
M,0.7,0.545,0.75,11
M,0.635,0.495,0.445,11
I,0.55,0.445,0.288,11
M,0.32,0.245,0.0585,11
M,0.615,0.485,0.422,11
F,0.65,0.52,0.689,11
M,0.64,0.53,0.4765,11
M,0.75,0.555,1.0615,11
I,0.535,0.45,0.3055,11
M,0.5,0.39,0.275,11
M,0.61,0.48,0.516,11
M,0.625,0.49,0.517,11
M,0.585,0.45,0.4925,11
I,0.505,0.405,0.2245,11
M,0.565,0.455,0.421,11
M,0.645,0.5,0.5985,11
F,0.6,0.475,0.441,11
F,0.72,0.545,0.7925,11
M,0.695,0.53,0.7625,11
M,0.625,0.495,0.487,11
M,0.535,0.42,0.312,11
F,0.665,0.505,0.631,11
F,0.475,0.35,0.1715,11
M,0.585,0.455,0.4355,11
M,0.58,0.445,0.4315,11
M,0.6,0.475,0.5195,11
M,0.735,0.57,0.9095,11
F,0.635,0.485,0.5635,11
M,0.64,0.495,0.678,11
M,0.65,0.52,0.6155,11
I,0.47,0.35,0.2315,11
F,0.675,0.54,0.686,11
F,0.435,0.32,0.152,11
F,0.65,0.505,0.4785,11
M,0.65,0.505,0.695,11
F,0.58,0.44,0.363,11
M,0.635,0.495,0.4825,11
I,0.555,0.435,0.262,11
M,0.535,0.41,0.345,11
M,0.655,0.515,0.553,11
I,0.47,0.35,0.1845,11
M,0.63,0.515,0.492,11
F,0.59,0.475,0.371,11
F,0.635,0.495,0.617,11
F,0.635,0.505,0.577,11
M,0.59,0.49,0.422,11
I,0.62,0.475,0.371,11
M,0.67,0.54,0.532,11
F,0.72,0.565,0.8465,11
M,0.62,0.48,0.527,11
F,0.605,0.485,0.4535,11
F,0.655,0.455,0.587,11
M,0.63,0.505,0.6325,11
M,0.58,0.465,0.4405,11
M,0.645,0.49,0.6525,11
M,0.545,0.44,0.356,11
M,0.68,0.53,0.7635,11
F,0.695,0.565,0.7465,11
F,0.585,0.485,0.4145,11
M,0.69,0.55,0.769,11
M,0.555,0.45,0.4,11
M,0.595,0.455,0.43,11
M,0.31,0.235,0.0415,11
I,0.63,0.49,0.5515,11
F,0.685,0.54,0.833,11
F,0.625,0.495,0.4495,11
I,0.37,0.28,0.0905,11
F,0.67,0.54,0.74,11
F,0.505,0.385,0.243,11
F,0.6,0.465,0.4755,11
F,0.64,0.5,0.693,11
F,0.725,0.53,0.83,11
M,0.465,0.36,0.191,11
F,0.64,0.5,0.593,11
F,0.6,0.5,0.4405,11
M,0.45,0.335,0.1865,11
F,0.7,0.555,0.647,11
M,0.69,0.55,0.6655,11
F,0.435,0.35,0.192,11
F,0.655,0.51,0.5345,11
M,0.675,0.52,0.557,11
M,0.65,0.505,0.59,11
F,0.615,0.525,0.427,11
F,0.64,0.5,0.554,11
F,0.655,0.515,0.8485,11
F,0.655,0.515,0.524,11
M,0.68,0.515,0.618,11
I,0.42,0.325,0.1675,11
M,0.6,0.475,0.549,11
F,0.445,0.335,0.1785,11
M,0.685,0.55,0.813,11
I,0.335,0.26,0.078,11
