@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.25,6
I,0.325,6
I,0.27,6
I,0.305,6
I,0.245,6
I,0.235,6
I,0.29,6
I,0.325,6
I,0.29,6
I,0.265,6
I,0.195,6
I,0.23,6
I,0.185,6
I,0.275,6
F,0.4,6
M,0.375,6
I,0.22,6
I,0.235,6
F,0.475,6
I,0.275,6
I,0.31,6
I,0.285,6
I,0.315,6
I,0.35,6
M,0.2,6
I,0.29,6
I,0.375,6
M,0.385,6
I,0.19,6
I,0.34,6
M,0.24,6
I,0.24,6
F,0.36,6
I,0.33,6
F,0.36,6
I,0.195,6
I,0.285,6
I,0.215,6
I,0.265,6
I,0.225,6
I,0.325,6
I,0.25,6
I,0.28,6
I,0.23,6
I,0.3,6
M,0.39,6
I,0.23,6
I,0.31,6
I,0.33,6
M,0.215,6
I,0.29,6
I,0.295,6
I,0.205,6
I,0.29,6
I,0.31,6
I,0.24,6
I,0.28,6
I,0.2,6
F,0.22,6
M,0.335,6
I,0.305,6
I,0.27,6
M,0.41,6
I,0.325,6
I,0.3,6
I,0.25,6
I,0.345,6
I,0.27,6
I,0.185,6
I,0.33,6
I,0.21,6
I,0.335,6
I,0.315,6
I,0.34,6
I,0.17,6
I,0.225,6
I,0.245,6
I,0.27,6
I,0.29,6
I,0.175,6
I,0.285,6
M,0.265,6
I,0.315,6
M,0.26,6
I,0.275,6
I,0.265,6
I,0.33,6
I,0.33,6
I,0.125,6
I,0.33,6
F,0.45,6
I,0.235,6
I,0.35,6
I,0.24,6
I,0.38,6
I,0.34,6
I,0.21,6
I,0.22,6
I,0.26,6
I,0.275,6
M,0.27,6
I,0.22,6
I,0.265,6
I,0.25,6
I,0.275,6
I,0.235,6
I,0.28,6
I,0.23,6
I,0.315,6
I,0.3,6
I,0.35,6
M,0.19,6
I,0.21,6
I,0.22,6
I,0.26,6
M,0.235,6
I,0.17,6
I,0.27,6
M,0.3,6
I,0.31,6
I,0.23,6
I,0.25,6
I,0.34,6
I,0.185,6
I,0.34,6
I,0.33,6
I,0.35,6
F,0.35,6
I,0.31,6
I,0.315,6
I,0.13,6
M,0.305,6
I,0.275,6
I,0.265,6
I,0.37,6
F,0.375,6
I,0.255,6
M,0.24,6
I,0.215,6
I,0.28,6
F,0.335,6
I,0.31,6
I,0.375,6
I,0.3,6
I,0.19,6
I,0.245,6
M,0.195,6
F,0.21,6
I,0.255,6
F,0.35,6
I,0.28,6
I,0.435,6
I,0.29,6
I,0.325,6
I,0.345,6
I,0.3,6
I,0.31,6
I,0.225,6
I,0.355,6
I,0.315,6
I,0.29,6
I,0.26,6
I,0.24,6
I,0.22,6
I,0.265,6
I,0.28,6
I,0.225,6
F,0.42,6
I,0.18,6
I,0.35,6
M,0.37,6
I,0.26,6
I,0.275,6
M,0.39,6
M,0.26,6
I,0.275,6
I,0.345,6
M,0.22,6
I,0.27,6
I,0.335,6
I,0.24,6
I,0.325,6
M,0.27,6
I,0.215,6
I,0.27,6
I,0.225,6
I,0.195,6
I,0.27,6
F,0.255,6
I,0.245,6
F,0.3,6
I,0.275,6
I,0.24,6
I,0.285,6
F,0.475,6
I,0.24,6
F,0.55,21
F,0.365,21
F,0.5,21
I,0.415,21
M,0.39,21
M,0.59,21
F,0.455,21
M,0.555,21
M,0.51,21
F,0.42,21
F,0.535,21
F,0.485,21
M,0.48,17
F,0.505,17
F,0.4,17
M,0.405,17
M,0.51,17
M,0.425,17
F,0.435,17
M,0.495,17
I,0.46,17
F,0.56,17
M,0.52,17
F,0.385,17
F,0.36,17
F,0.56,17
F,0.42,17
M,0.58,17
F,0.5,17
F,0.565,17
M,0.465,17
F,0.55,17
M,0.4,17
M,0.455,17
F,0.44,17
F,0.425,17
F,0.38,17
M,0.435,17
F,0.535,17
M,0.435,17
M,0.5,17
I,0.515,17
M,0.415,17
F,0.485,17
F,0.52,17
I,0.435,17
I,0.42,17
M,0.585,17
F,0.41,17
I,0.465,17
M,0.47,17
M,0.54,17
M,0.475,17
I,0.505,17
F,0.455,17
M,0.485,17
M,0.5,17
M,0.45,17
I,0.44,17
F,0.555,17
F,0.485,17
F,0.44,17
M,0.425,17
F,0.48,17
F,0.43,17
F,0.395,22
F,0.525,22
F,0.45,22
M,0.54,22
M,0.505,22
I,0.055,1
I,0.15,3
I,0.1,3
I,0.155,3
I,0.15,3
I,0.11,3
I,0.14,3
I,0.09,3
M,0.15,3
I,0.175,3
I,0.12,3
I,0.13,3
M,0.125,3
I,0.105,3
M,0.495,26
M,0.49,23
F,0.63,23
F,0.38,23
F,0.52,23
F,0.415,23
M,0.4,23
F,0.47,23
F,0.385,23
F,0.585,29
I,0.1,2
F,0.465,27
M,0.535,27
F,0.49,25
F,0.54,24
M,0.54,24
