@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.57,0.435,0.17,0.873,0.382,10
F,0.705,0.53,0.17,1.564,0.612,10
I,0.61,0.475,0.15,0.9665,0.4145,10
M,0.585,0.475,0.15,1.065,0.5315,10
F,0.645,0.5,0.155,1.2205,0.6145,10
M,0.66,0.52,0.19,1.558,0.755,10
F,0.375,0.29,0.115,0.2705,0.093,10
F,0.67,0.505,0.175,1.0145,0.4375,10
M,0.585,0.46,0.165,1.1135,0.5825,10
M,0.74,0.57,0.18,1.8725,0.9115,10
I,0.565,0.46,0.155,0.8715,0.3755,10
M,0.615,0.495,0.2,1.219,0.564,10
M,0.635,0.48,0.145,1.181,0.665,10
M,0.55,0.405,0.14,0.8025,0.244,10
F,0.495,0.385,0.13,0.6905,0.3125,10
M,0.545,0.425,0.135,0.8445,0.373,10
M,0.645,0.505,0.15,1.1605,0.519,10
M,0.6,0.465,0.155,1.0165,0.512,10
F,0.575,0.47,0.155,1.116,0.509,10
F,0.615,0.52,0.15,1.3435,0.629,10
M,0.6,0.45,0.16,1.142,0.539,10
F,0.345,0.26,0.09,0.207,0.0775,10
M,0.615,0.455,0.15,0.9335,0.382,10
F,0.52,0.41,0.125,0.6985,0.2945,10
F,0.575,0.45,0.16,1.068,0.556,10
M,0.65,0.515,0.175,1.466,0.677,10
F,0.57,0.47,0.14,0.871,0.385,10
M,0.67,0.525,0.18,1.6615,0.8005,10
M,0.645,0.53,0.195,1.39,0.6465,10
M,0.64,0.495,0.17,1.139,0.5395,10
I,0.41,0.3,0.115,0.2595,0.097,10
F,0.4,0.31,0.115,0.3465,0.1475,10
M,0.7,0.565,0.175,1.8565,0.8445,10
M,0.67,0.5,0.19,1.519,0.616,10
F,0.575,0.45,0.135,0.8285,0.362,10
I,0.56,0.44,0.14,0.825,0.402,10
M,0.635,0.49,0.16,1.101,0.534,10
M,0.515,0.435,0.145,0.8815,0.292,10
M,0.695,0.55,0.205,2.173,1.133,10
M,0.62,0.48,0.165,1.0855,0.481,10
F,0.63,0.485,0.185,1.167,0.548,10
M,0.53,0.405,0.15,0.8315,0.352,10
M,0.555,0.46,0.16,0.86,0.3345,10
M,0.58,0.46,0.155,1.4395,0.6715,10
I,0.55,0.405,0.15,0.6755,0.3015,10
I,0.545,0.43,0.15,0.742,0.3525,10
M,0.61,0.48,0.185,1.3065,0.6895,10
F,0.56,0.45,0.16,1.0235,0.429,10
M,0.595,0.46,0.17,1.1295,0.57,10
M,0.64,0.515,0.08,1.042,0.515,10
M,0.625,0.495,0.18,1.0815,0.4715,10
F,0.58,0.435,0.155,0.8785,0.425,10
F,0.71,0.54,0.205,1.5805,0.802,10
F,0.6,0.45,0.14,0.837,0.37,10
M,0.375,0.28,0.095,0.2225,0.0875,10
I,0.52,0.4,0.13,0.5825,0.233,10
F,0.715,0.585,0.23,2.0725,0.8655,10
M,0.54,0.42,0.19,0.6855,0.293,10
M,0.6,0.49,0.21,1.9875,1.005,10
M,0.445,0.355,0.11,0.4415,0.1805,10
F,0.515,0.405,0.12,0.646,0.2895,10
M,0.475,0.37,0.125,0.655,0.266,10
M,0.595,0.455,0.15,0.886,0.4315,10
M,0.535,0.44,0.165,0.875,0.279,10
M,0.635,0.475,0.17,1.1935,0.5205,10
M,0.62,0.47,0.145,1.0865,0.511,10
F,0.38,0.325,0.11,0.3105,0.12,10
M,0.715,0.525,0.2,1.89,0.95,10
M,0.66,0.515,0.165,1.4465,0.694,10
M,0.555,0.45,0.175,0.874,0.3275,10
I,0.465,0.325,0.14,0.7615,0.362,10
I,0.38,0.275,0.1,0.2255,0.08,10
F,0.545,0.435,0.15,0.6855,0.2905,10
F,0.615,0.485,0.16,1.1575,0.5005,10
F,0.595,0.475,0.165,1.148,0.444,10
M,0.69,0.505,0.2,1.872,0.893,10
F,0.49,0.38,0.125,0.549,0.245,10
F,0.64,0.505,0.165,1.2235,0.5215,10
M,0.685,0.535,0.155,1.3845,0.6615,10
M,0.47,0.36,0.135,0.501,0.1665,10
M,0.575,0.445,0.14,0.737,0.325,10
F,0.61,0.465,0.16,1.0725,0.4835,10
F,0.65,0.545,0.185,1.5055,0.6565,10
M,0.655,0.505,0.165,1.27,0.6035,10
I,0.55,0.43,0.145,0.712,0.3025,10
F,0.62,0.5,0.15,1.293,0.596,10
I,0.405,0.305,0.105,0.3625,0.1565,10
M,0.54,0.455,0.14,0.972,0.419,10
I,0.605,0.49,0.165,1.071,0.482,10
F,0.635,0.475,0.15,1.1845,0.533,10
F,0.515,0.415,0.14,0.6935,0.3115,10
F,0.585,0.45,0.16,1.077,0.4995,10
F,0.595,0.46,0.155,1.0455,0.4565,10
F,0.62,0.48,0.165,1.043,0.4835,10
I,0.53,0.43,0.135,0.6255,0.245,10
I,0.415,0.31,0.11,0.2965,0.123,10
M,0.4,0.305,0.085,0.297,0.108,10
I,0.475,0.365,0.115,0.499,0.232,10
M,0.37,0.29,0.09,0.241,0.11,10
F,0.6,0.48,0.165,1.1345,0.4535,10
F,0.575,0.42,0.19,1.764,0.914,10
F,0.51,0.4,0.14,0.8145,0.459,10
F,0.545,0.44,0.135,0.9185,0.429,10
I,0.575,0.45,0.135,0.8715,0.45,10
M,0.655,0.55,0.18,1.274,0.586,10
M,0.61,0.46,0.16,1,0.494,10
F,0.47,0.355,0.1,0.4755,0.1675,10
M,0.635,0.495,0.155,1.3635,0.583,10
I,0.53,0.42,0.155,0.81,0.4725,10
F,0.525,0.415,0.15,0.7055,0.329,10
F,0.505,0.375,0.115,0.5895,0.2635,10
M,0.52,0.385,0.165,0.791,0.375,10
M,0.565,0.43,0.15,0.831,0.4245,10
M,0.635,0.485,0.18,1.1795,0.4785,10
M,0.605,0.49,0.14,0.9755,0.419,10
F,0.48,0.405,0.13,0.6375,0.277,10
M,0.66,0.515,0.155,1.4415,0.7055,10
I,0.515,0.415,0.135,0.7125,0.285,10
F,0.565,0.46,0.15,0.8765,0.3455,10
M,0.57,0.45,0.155,1.195,0.5625,10
F,0.6,0.47,0.19,1.1345,0.492,10
I,0.64,0.49,0.135,1.1,0.488,10
I,0.535,0.45,0.155,0.8075,0.3655,10
F,0.36,0.265,0.09,0.2165,0.096,10
M,0.45,0.355,0.115,0.478,0.18,10
M,0.625,0.505,0.185,1.1565,0.52,10
F,0.665,0.53,0.18,1.491,0.6345,10
M,0.61,0.48,0.17,1.137,0.4565,10
M,0.615,0.475,0.17,1.129,0.4795,10
M,0.415,0.325,0.14,0.417,0.1535,10
F,0.645,0.525,0.17,1.37,0.6135,10
M,0.625,0.48,0.145,1.085,0.4645,10
F,0.585,0.435,0.175,0.982,0.4055,10
M,0.645,0.51,0.195,1.226,0.5885,10
I,0.35,0.26,0.085,0.174,0.0705,10
F,0.65,0.545,0.175,1.5245,0.59,10
F,0.555,0.44,0.14,0.846,0.346,10
M,0.555,0.405,0.19,1.406,0.6115,10
F,0.645,0.51,0.155,1.129,0.5015,10
F,0.705,0.535,0.22,1.866,0.929,10
M,0.605,0.475,0.19,1.1255,0.59,10
I,0.605,0.48,0.155,0.9995,0.425,10
M,0.59,0.46,0.145,0.929,0.38,10
F,0.64,0.515,0.165,1.3115,0.4945,10
M,0.58,0.455,0.135,0.7955,0.405,10
I,0.545,0.43,0.15,0.7285,0.302,10
F,0.65,0.535,0.175,1.2895,0.6095,10
F,0.66,0.525,0.18,1.5965,0.7765,10
I,0.595,0.475,0.155,0.984,0.4865,10
F,0.69,0.58,0.195,1.658,0.708,10
M,0.63,0.485,0.165,1.233,0.6565,10
M,0.545,0.46,0.16,0.8975,0.341,10
I,0.57,0.44,0.13,0.7665,0.347,10
M,0.56,0.425,0.135,0.849,0.3265,10
F,0.37,0.28,0.11,0.2305,0.0945,10
M,0.72,0.55,0.205,2.165,1.1055,10
I,0.545,0.425,0.14,0.8145,0.305,10
F,0.665,0.525,0.21,1.644,0.818,10
F,0.605,0.485,0.16,1.0565,0.37,10
M,0.33,0.25,0.09,0.197,0.085,10
M,0.54,0.415,0.17,0.879,0.339,10
F,0.455,0.36,0.11,0.4385,0.206,10
M,0.525,0.405,0.135,0.7575,0.3305,10
F,0.62,0.51,0.18,1.233,0.592,10
M,0.61,0.49,0.16,1.112,0.465,10
F,0.635,0.49,0.175,1.2435,0.5805,10
F,0.42,0.32,0.13,0.4135,0.1645,10
F,0.65,0.505,0.175,1.2075,0.5105,10
M,0.6,0.47,0.16,1.012,0.441,10
M,0.625,0.52,0.175,1.4105,0.691,10
M,0.445,0.345,0.09,0.3795,0.143,10
F,0.595,0.48,0.15,1.11,0.498,10
F,0.665,0.515,0.18,1.389,0.5945,10
M,0.55,0.435,0.14,0.7625,0.327,10
F,0.625,0.485,0.165,1.2255,0.5075,10
M,0.57,0.47,0.155,1.186,0.6355,10
M,0.585,0.47,0.165,1.409,0.8,10
F,0.455,0.35,0.14,0.5725,0.1965,10
M,0.515,0.38,0.135,0.6615,0.2875,10
M,0.595,0.48,0.185,1.1785,0.526,10
F,0.44,0.34,0.13,0.4195,0.153,10
M,0.58,0.44,0.175,1.2255,0.5405,10
M,0.46,0.35,0.12,0.515,0.224,10
I,0.49,0.365,0.125,0.5585,0.252,10
I,0.595,0.47,0.135,0.9365,0.434,10
I,0.55,0.425,0.135,0.656,0.257,10
M,0.63,0.485,0.16,1.243,0.623,10
M,0.595,0.47,0.155,1.2015,0.492,10
M,0.615,0.505,0.165,1.167,0.4895,10
F,0.5,0.4,0.125,0.6675,0.261,10
I,0.415,0.325,0.1,0.3215,0.1535,10
F,0.6,0.5,0.16,1.122,0.5095,10
M,0.65,0.485,0.16,1.7395,0.5715,10
F,0.695,0.56,0.185,1.7715,0.8195,10
M,0.67,0.51,0.2,1.5945,0.6705,10
M,0.535,0.42,0.16,0.7465,0.348,10
I,0.55,0.425,0.145,0.89,0.4325,10
F,0.665,0.5,0.15,1.2475,0.4625,10
F,0.4,0.335,0.115,0.4335,0.2105,10
M,0.6,0.475,0.15,0.99,0.386,10
F,0.52,0.425,0.15,0.813,0.385,10
F,0.53,0.41,0.13,0.6965,0.302,10
I,0.62,0.45,0.135,0.924,0.358,10
F,0.645,0.535,0.19,1.2395,0.468,10
M,0.62,0.465,0.145,0.911,0.375,10
M,0.49,0.38,0.14,0.7605,0.245,10
F,0.6,0.47,0.15,0.922,0.363,10
M,0.58,0.47,0.165,0.9975,0.3935,10
F,0.595,0.465,0.15,0.98,0.4115,10
F,0.66,0.515,0.17,1.337,0.615,10
M,0.655,0.49,0.175,1.3585,0.6395,10
I,0.475,0.365,0.12,0.53,0.2505,10
F,0.54,0.42,0.145,0.8655,0.4315,10
F,0.565,0.455,0.13,1.058,0.439,10
M,0.625,0.5,0.175,1.0565,0.4615,10
M,0.68,0.54,0.155,1.534,0.671,10
F,0.575,0.48,0.17,1.1,0.506,10
I,0.725,0.55,0.22,2.0495,0.7735,10
F,0.615,0.495,0.165,1.198,0.5415,10
I,0.575,0.45,0.135,0.807,0.3615,10
M,0.66,0.495,0.195,1.6275,0.594,10
M,0.595,0.45,0.145,0.959,0.463,10
I,0.57,0.45,0.145,0.751,0.2825,10
I,0.54,0.405,0.15,0.7585,0.307,10
F,0.63,0.495,0.19,1.1655,0.536,10
M,0.595,0.45,0.14,0.838,0.3965,10
M,0.57,0.435,0.145,0.9055,0.3925,10
M,0.65,0.495,0.16,1.2075,0.55,10
M,0.6,0.475,0.17,1.1315,0.508,10
F,0.65,0.51,0.175,1.35,0.575,10
M,0.6,0.46,0.18,1.14,0.423,10
I,0.51,0.375,0.15,0.8415,0.3845,10
M,0.515,0.385,0.13,0.623,0.2855,10
F,0.585,0.465,0.145,0.9855,0.4325,10
M,0.34,0.275,0.09,0.2065,0.0725,10
I,0.535,0.4,0.145,0.705,0.3065,10
M,0.63,0.525,0.195,1.3135,0.4935,10
F,0.55,0.45,0.145,0.741,0.295,10
M,0.64,0.515,0.18,1.247,0.5475,10
F,0.615,0.46,0.15,1.0265,0.4935,10
M,0.67,0.51,0.175,1.5265,0.651,10
F,0.52,0.41,0.16,0.712,0.2845,10
I,0.56,0.425,0.14,0.9175,0.4005,10
F,0.58,0.425,0.155,0.873,0.3615,10
F,0.62,0.485,0.175,1.2155,0.545,10
F,0.41,0.315,0.11,0.321,0.1255,10
M,0.44,0.365,0.125,0.516,0.2155,10
F,0.55,0.38,0.165,1.205,0.543,10
M,0.62,0.51,0.175,1.2815,0.5715,10
F,0.655,0.525,0.19,1.3595,0.564,10
F,0.635,0.5,0.15,1.376,0.6495,10
F,0.67,0.55,0.155,1.566,0.858,10
F,0.705,0.57,0.185,1.761,0.747,10
M,0.61,0.45,0.19,1.0805,0.517,10
I,0.59,0.45,0.145,1.022,0.428,10
M,0.66,0.53,0.175,1.583,0.7395,10
F,0.68,0.52,0.185,1.541,0.5985,10
M,0.51,0.4,0.14,0.6905,0.259,10
M,0.56,0.44,0.16,0.8645,0.3305,10
F,0.63,0.475,0.155,1.0005,0.452,10
F,0.535,0.405,0.145,0.6845,0.2725,10
M,0.645,0.5,0.195,1.401,0.6165,10
F,0.6,0.475,0.155,1.21,0.653,10
M,0.575,0.47,0.185,0.985,0.3745,10
M,0.35,0.255,0.065,0.179,0.0705,10
M,0.645,0.505,0.185,1.463,0.592,10
M,0.595,0.465,0.125,0.799,0.3245,10
M,0.615,0.48,0.185,1.2205,0.4985,10
M,0.66,0.53,0.195,1.5505,0.6505,10
F,0.38,0.29,0.105,0.257,0.099,10
I,0.47,0.37,0.14,0.4985,0.2095,10
M,0.64,0.51,0.17,1.3715,0.567,10
F,0.645,0.5,0.16,1.2465,0.5475,10
M,0.4,0.315,0.105,0.287,0.1135,10
M,0.675,0.515,0.145,1.265,0.6025,10
M,0.57,0.445,0.16,1.0145,0.516,10
M,0.58,0.45,0.14,0.824,0.3465,10
M,0.465,0.36,0.105,0.488,0.188,10
M,0.68,0.52,0.195,1.4535,0.592,10
F,0.705,0.56,0.205,2.381,0.9915,10
M,0.485,0.4,0.135,0.663,0.313,10
M,0.64,0.525,0.18,1.3135,0.4865,10
F,0.475,0.375,0.125,0.5785,0.2775,10
F,0.415,0.34,0.13,0.3675,0.146,10
M,0.625,0.475,0.16,1.0845,0.5005,10
M,0.55,0.42,0.16,1.3405,0.6325,10
F,0.49,0.38,0.145,0.6725,0.249,10
M,0.605,0.475,0.175,1.201,0.5395,10
F,0.73,0.555,0.18,1.6895,0.6555,10
M,0.33,0.235,0.09,0.163,0.0615,10
M,0.495,0.38,0.12,0.474,0.197,10
M,0.45,0.35,0.1,0.3675,0.1465,10
M,0.565,0.45,0.155,1.0595,0.4735,10
I,0.55,0.425,0.155,0.8725,0.412,10
F,0.385,0.315,0.11,0.286,0.1225,10
M,0.56,0.44,0.16,1.1115,0.5035,10
F,0.6,0.48,0.18,1.0645,0.4495,10
M,0.55,0.44,0.135,0.879,0.368,10
M,0.43,0.35,0.11,0.406,0.1675,10
F,0.49,0.365,0.145,0.6345,0.1995,10
I,0.585,0.47,0.17,0.985,0.3695,10
F,0.5,0.395,0.14,0.7155,0.3165,10
F,0.595,0.465,0.145,0.7955,0.3425,10
M,0.77,0.6,0.215,2.1945,1.0515,10
M,0.45,0.335,0.125,0.349,0.119,10
M,0.635,0.495,0.17,1.3695,0.657,10
I,0.57,0.43,0.145,0.833,0.354,10
F,0.59,0.455,0.175,0.966,0.391,10
M,0.595,0.49,0.185,1.185,0.482,10
F,0.615,0.48,0.165,1.1615,0.513,10
M,0.465,0.405,0.135,0.7775,0.436,10
I,0.585,0.475,0.16,1.0505,0.48,10
M,0.62,0.48,0.15,1.1015,0.4965,10
F,0.46,0.33,0.15,0.5325,0.2085,10
M,0.475,0.375,0.13,0.5175,0.2075,10
F,0.565,0.45,0.175,1.2365,0.5305,10
M,0.595,0.475,0.14,1.0305,0.4925,10
F,0.6,0.48,0.17,1.056,0.4575,10
F,0.66,0.535,0.205,1.4415,0.5925,10
M,0.58,0.43,0.13,0.798,0.365,10
M,0.585,0.465,0.165,0.885,0.4025,10
F,0.625,0.47,0.17,1.255,0.525,10
F,0.57,0.435,0.15,0.8295,0.3875,10
F,0.625,0.475,0.16,1.3335,0.605,10
F,0.655,0.51,0.175,1.415,0.5885,10
M,0.715,0.545,0.18,1.7405,0.871,10
M,0.475,0.375,0.12,0.563,0.2525,10
I,0.575,0.45,0.15,0.858,0.449,10
F,0.535,0.4,0.15,1.224,0.618,10
I,0.68,0.53,0.185,1.1095,0.439,10
M,0.755,0.58,0.205,2.0065,0.8295,10
I,0.55,0.415,0.15,0.7915,0.3535,10
I,0.65,0.52,0.15,1.238,0.5495,10
I,0.36,0.275,0.11,0.2335,0.095,10
I,0.575,0.45,0.145,0.795,0.364,10
M,0.67,0.52,0.175,1.4755,0.6275,10
M,0.5,0.375,0.15,0.636,0.2535,10
F,0.57,0.445,0.155,1.017,0.5265,10
F,0.62,0.475,0.175,1.0165,0.4355,10
F,0.72,0.55,0.18,1.52,0.637,10
M,0.46,0.38,0.135,0.482,0.207,10
M,0.635,0.515,0.165,1.229,0.5055,10
I,0.515,0.375,0.14,0.6505,0.2495,10
F,0.65,0.52,0.195,1.281,0.5985,10
F,0.695,0.55,0.185,1.679,0.805,10
F,0.57,0.465,0.16,0.8935,0.3145,10
M,0.585,0.46,0.185,0.922,0.3635,10
M,0.735,0.57,0.21,2.2355,1.1705,10
M,0.535,0.43,0.155,0.7845,0.3285,10
F,0.695,0.535,0.175,1.8385,0.8035,10
M,0.585,0.46,0.15,1.206,0.581,10
M,0.635,0.51,0.155,0.986,0.405,10
F,0.425,0.335,0.095,0.322,0.1205,10
F,0.72,0.58,0.195,2.103,1.0265,10
F,0.58,0.475,0.155,0.974,0.4305,10
M,0.625,0.49,0.12,0.8765,0.456,10
F,0.63,0.5,0.185,1.383,0.54,10
F,0.35,0.275,0.065,0.205,0.0745,10
I,0.56,0.445,0.15,0.8225,0.3685,10
M,0.585,0.49,0.185,1.171,0.522,10
M,0.655,0.545,0.19,1.4245,0.6325,10
M,0.625,0.5,0.185,1.2425,0.5995,10
M,0.53,0.425,0.13,0.7455,0.2995,10
M,0.625,0.48,0.17,1.3555,0.671,10
M,0.58,0.46,0.15,1.049,0.5205,10
M,0.705,0.565,0.515,2.21,1.1075,10
F,0.645,0.48,0.17,1.1345,0.528,10
M,0.715,0.535,0.19,1.6755,0.889,10
M,0.575,0.44,0.185,1.025,0.5075,10
M,0.625,0.515,0.165,1.217,0.667,10
I,0.495,0.385,0.125,0.5125,0.2075,10
F,0.655,0.52,0.19,1.4545,0.6,10
M,0.615,0.47,0.16,1.0175,0.473,10
M,0.54,0.425,0.12,0.817,0.2945,10
F,0.625,0.48,0.17,1.3525,0.6235,10
F,0.65,0.51,0.185,1.375,0.531,10
M,0.55,0.425,0.15,0.8315,0.411,10
M,0.695,0.56,0.185,1.74,0.885,10
F,0.635,0.495,0.175,1.2355,0.5205,10
I,0.54,0.415,0.11,0.619,0.2755,10
F,0.395,0.295,0.095,0.2245,0.078,10
M,0.6,0.47,0.16,1.194,0.5625,10
I,0.58,0.46,0.14,0.8295,0.3915,10
M,0.61,0.47,0.175,1.214,0.5315,10
I,0.4,0.31,0.1,0.2875,0.1145,10
F,0.545,0.415,0.2,1.358,0.567,10
I,0.485,0.37,0.13,0.458,0.181,10
M,0.615,0.455,0.13,0.9685,0.49,10
F,0.67,0.585,0.16,1.309,0.5445,10
M,0.665,0.525,0.155,1.3575,0.5325,10
I,0.57,0.425,0.14,0.7655,0.331,10
M,0.61,0.475,0.155,0.983,0.4565,10
M,0.63,0.5,0.185,1.362,0.5785,10
F,0.635,0.5,0.18,1.2565,0.539,10
I,0.575,0.435,0.13,0.805,0.3155,10
F,0.615,0.475,0.155,1.115,0.484,10
M,0.7,0.525,0.175,1.7585,0.8745,10
F,0.685,0.53,0.17,1.5105,0.7385,10
M,0.61,0.475,0.155,1.168,0.554,10
M,0.63,0.51,0.175,1.3415,0.6575,10
M,0.66,0.525,0.18,1.478,0.5815,10
M,0.58,0.46,0.155,1.0335,0.469,10
F,0.695,0.55,0.155,1.8495,0.767,10
F,0.625,0.475,0.175,1.1435,0.4755,10
F,0.41,0.325,0.105,0.3635,0.159,10
F,0.665,0.51,0.175,1.3805,0.675,10
F,0.645,0.515,0.175,1.546,0.7035,10
I,0.58,0.46,0.14,0.9265,0.4135,10
F,0.525,0.43,0.165,0.717,0.289,10
M,0.595,0.46,0.155,1.03,0.4275,10
M,0.61,0.475,0.17,1.0265,0.435,10
F,0.64,0.5,0.175,1.394,0.4935,10
M,0.57,0.45,0.145,0.95,0.4005,10
M,0.685,0.52,0.165,1.519,0.699,10
F,0.44,0.34,0.1,0.451,0.188,10
M,0.62,0.475,0.195,1.3585,0.5935,10
F,0.655,0.505,0.175,1.2905,0.6205,10
F,0.535,0.415,0.17,0.879,0.295,10
F,0.42,0.33,0.125,0.463,0.186,10
I,0.55,0.435,0.14,0.7535,0.3285,10
F,0.485,0.375,0.135,0.556,0.1925,10
M,0.46,0.365,0.125,0.467,0.1895,10
M,0.34,0.265,0.085,0.1835,0.077,10
F,0.415,0.305,0.105,0.3605,0.12,10
F,0.54,0.385,0.14,0.7655,0.3265,10
F,0.605,0.475,0.175,1.382,0.609,10
M,0.605,0.47,0.18,1.1155,0.479,10
M,0.51,0.4,0.14,0.6515,0.2455,10
M,0.645,0.5,0.175,1.3375,0.554,10
M,0.59,0.455,0.155,0.8855,0.388,10
F,0.66,0.53,0.18,1.5175,0.7765,10
M,0.615,0.47,0.165,1.128,0.4465,10
M,0.615,0.5,0.17,1.054,0.4845,10
F,0.545,0.42,0.175,0.754,0.256,10
M,0.485,0.36,0.13,0.5415,0.2595,10
F,0.605,0.48,0.15,1.079,0.4505,10
F,0.625,0.49,0.145,0.92,0.437,10
M,0.66,0.525,0.2,1.489,0.6065,10
M,0.52,0.395,0.125,0.5815,0.2565,10
F,0.625,0.49,0.155,1.33,0.6675,10
M,0.35,0.26,0.09,0.198,0.0725,10
F,0.45,0.36,0.125,0.5065,0.222,10
M,0.575,0.46,0.155,0.892,0.4415,10
F,0.575,0.46,0.165,0.9575,0.4815,10
M,0.53,0.415,0.14,0.724,0.3105,10
M,0.575,0.445,0.145,0.876,0.3795,10
M,0.715,0.565,0.175,1.9525,0.7645,10
F,0.455,0.35,0.14,0.5185,0.221,10
I,0.585,0.46,0.145,0.8465,0.339,10
M,0.56,0.45,0.155,0.9125,0.3595,10
F,0.525,0.4,0.135,0.714,0.318,10
M,0.46,0.355,0.14,0.491,0.207,10
M,0.47,0.365,0.135,0.522,0.2395,10
I,0.37,0.29,0.1,0.25,0.1025,10
F,0.5,0.4,0.125,0.5765,0.2395,10
M,0.465,0.36,0.13,0.5265,0.2105,10
M,0.515,0.405,0.13,0.722,0.32,10
F,0.605,0.49,0.15,1.1345,0.4305,10
M,0.63,0.5,0.175,1.2645,0.5635,10
M,0.7,0.545,0.215,1.9125,0.8825,10
F,0.635,0.515,0.19,1.3715,0.5065,10
F,0.675,0.53,0.175,1.4465,0.6775,10
M,0.44,0.34,0.105,0.402,0.1305,10
F,0.525,0.425,0.14,0.8735,0.4205,10
F,0.53,0.385,0.125,0.6695,0.289,10
F,0.62,0.475,0.16,1.1295,0.463,10
F,0.505,0.405,0.16,0.6835,0.271,10
F,0.475,0.39,0.12,0.5305,0.2135,10
M,0.605,0.48,0.17,1.1835,0.582,10
I,0.55,0.445,0.11,0.7935,0.378,10
F,0.675,0.51,0.195,1.382,0.6045,10
F,0.72,0.575,0.195,2.1505,1.0745,10
F,0.535,0.435,0.16,0.8105,0.3155,10
M,0.56,0.44,0.13,0.8255,0.2425,10
I,0.6,0.475,0.15,1.12,0.565,10
F,0.63,0.49,0.225,1.336,0.6805,10
F,0.66,0.495,0.21,1.548,0.724,10
M,0.55,0.43,0.18,0.8265,0.4405,10
F,0.515,0.395,0.165,0.7565,0.1905,10
M,0.59,0.49,0.165,1.207,0.559,10
M,0.58,0.43,0.125,0.9115,0.446,10
F,0.64,0.48,0.145,1.1145,0.508,10
I,0.47,0.375,0.105,0.468,0.1665,10
M,0.345,0.255,0.08,0.169,0.06,10
M,0.29,0.225,0.08,0.1295,0.0535,10
F,0.625,0.495,0.165,1.262,0.507,10
F,0.66,0.53,0.17,1.431,0.622,10
F,0.6,0.455,0.145,0.8895,0.419,10
I,0.54,0.42,0.14,0.6665,0.3125,10
F,0.595,0.44,0.135,0.964,0.5005,10
M,0.625,0.48,0.175,1.065,0.4865,10
F,0.63,0.49,0.17,1.2155,0.4625,10
F,0.49,0.37,0.14,0.585,0.243,10
F,0.62,0.5,0.17,1.148,0.5475,10
F,0.6,0.475,0.17,1.088,0.4905,10
I,0.355,0.27,0.1,0.216,0.083,10
F,0.63,0.5,0.175,1.1105,0.467,10
M,0.62,0.485,0.155,1.049,0.462,10
F,0.625,0.485,0.15,1.0945,0.531,10
F,0.655,0.505,0.165,1.367,0.5835,10
F,0.565,0.445,0.155,0.826,0.341,10
F,0.465,0.36,0.12,0.4765,0.192,10
M,0.535,0.42,0.145,0.791,0.33,10
M,0.72,0.57,0.2,1.8275,0.919,10
M,0.575,0.435,0.13,1.0105,0.368,10
M,0.63,0.49,0.165,1.2005,0.575,10
F,0.62,0.48,0.17,1.1045,0.535,10
M,0.625,0.5,0.14,1.096,0.5445,10
F,0.47,0.36,0.13,0.472,0.182,10
F,0.645,0.515,0.15,1.212,0.515,10
M,0.57,0.45,0.155,1.1935,0.513,10
M,0.61,0.45,0.15,0.871,0.407,10
M,0.37,0.285,0.1,0.228,0.0675,10
M,0.685,0.55,0.19,1.885,0.89,10
F,0.47,0.36,0.12,0.4775,0.2105,10
M,0.59,0.475,0.14,0.977,0.4625,10
I,0.455,0.36,0.115,0.457,0.2085,10
M,0.585,0.455,0.145,0.953,0.3945,10
M,0.64,0.485,0.15,1.098,0.5195,10
M,0.425,0.34,0.12,0.388,0.149,10
M,0.7,0.6,0.23,2.003,0.8105,10
M,0.625,0.475,0.175,1.3405,0.656,10
I,0.575,0.425,0.135,0.7965,0.364,10
M,0.6,0.45,0.195,1.34,0.617,10
F,0.655,0.51,0.175,1.6525,0.8515,10
F,0.65,0.51,0.17,1.567,0.7245,10
F,0.575,0.42,0.135,0.857,0.461,10
F,0.55,0.47,0.15,0.9205,0.381,10
I,0.52,0.385,0.115,0.581,0.2555,10
M,0.36,0.295,0.13,0.2765,0.0895,10
M,0.63,0.495,0.18,1.31,0.495,10
M,0.475,0.375,0.125,0.593,0.277,10
F,0.58,0.5,0.165,0.925,0.37,10
I,0.53,0.42,0.13,0.658,0.296,8
I,0.465,0.345,0.11,0.393,0.1825,8
M,0.635,0.51,0.185,1.308,0.544,8
I,0.44,0.35,0.125,0.456,0.21,8
F,0.55,0.43,0.15,0.84,0.395,8
F,0.415,0.305,0.13,0.32,0.1305,8
M,0.58,0.465,0.15,0.9065,0.371,8
M,0.255,0.195,0.065,0.08,0.0315,8
I,0.42,0.32,0.115,0.409,0.2055,8
I,0.5,0.37,0.12,0.5445,0.249,8
I,0.315,0.24,0.07,0.137,0.0545,8
F,0.53,0.425,0.13,0.7585,0.325,8
F,0.49,0.355,0.16,0.8795,0.3485,8
M,0.535,0.41,0.12,0.6835,0.3125,8
M,0.42,0.335,0.115,0.369,0.171,8
F,0.47,0.35,0.115,0.487,0.1955,8
F,0.56,0.43,0.15,0.8745,0.453,8
F,0.58,0.445,0.145,0.888,0.41,8
F,0.525,0.415,0.14,0.724,0.3475,8
F,0.53,0.405,0.15,0.889,0.4055,8
