@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.14,0.3235,16
F,0.125,0.26,16
M,0.185,0.5305,16
F,0.17,0.4305,16
M,0.19,0.4125,16
M,0.2,0.44,16
F,0.18,0.7495,16
F,0.155,0.313,16
M,0.14,0.171,16
M,0.175,0.483,16
M,0.165,0.3355,16
M,0.12,0.39,16
M,0.19,0.519,16
F,0.175,0.5415,16
F,0.165,0.6645,16
M,0.215,0.6975,16
M,0.16,0.44,16
F,0.19,0.6615,19
M,0.195,0.4595,19
F,0.16,0.358,19
I,0.12,0.1145,19
F,0.2,0.4715,19
F,0.14,0.275,19
F,0.15,0.429,19
M,0.16,0.63,19
F,0.15,0.3145,19
F,0.175,0.4005,19
M,0.23,0.8665,19
F,0.18,0.526,19
F,0.165,0.435,19
M,0.16,0.4215,19
M,0.145,0.2815,19
M,0.165,0.285,19
F,0.18,0.4345,19
M,0.185,0.5835,19
M,0.155,0.2655,19
M,0.165,0.3245,19
M,0.16,0.3815,19
F,0.175,0.342,19
I,0.14,0.2415,19
F,0.165,0.24,19
M,0.2,0.732,19
M,0.16,0.3445,19
F,0.2,0.585,19
M,0.185,0.3805,19
M,0.155,0.3225,19
F,0.16,0.452,14
F,0.115,0.165,14
F,0.175,0.4155,14
M,0.175,0.31,14
M,0.125,0.239,14
F,0.17,0.528,14
M,0.165,0.7685,14
F,0.16,0.2475,14
F,0.135,0.362,14
M,0.145,0.517,14
M,0.195,0.3025,14
F,0.135,0.61,14
M,0.155,0.416,14
F,0.18,0.296,14
M,0.13,0.3055,14
M,0.125,0.2505,14
M,0.205,0.5825,14
F,0.19,0.4435,14
M,0.195,0.5755,14
F,0.15,0.2785,14
I,0.16,0.55,14
M,0.12,0.41,14
F,0.135,0.391,14
F,0.205,0.5415,14
M,0.215,0.7125,14
M,0.19,1.0705,14
I,0.135,0.1975,14
F,0.16,0.4905,14
M,0.15,0.3615,14
F,0.155,0.282,14
F,0.25,0.462,14
M,0.135,0.213,14
M,0.135,0.1955,14
M,0.18,0.8005,14
I,0.16,0.1615,14
F,0.135,0.1895,14
F,0.165,0.419,14
I,0.17,0.4435,14
M,0.15,0.276,14
M,0.145,0.581,14
M,0.14,0.2285,14
M,0.165,0.4525,14
F,0.13,0.2005,14
F,0.175,0.57,14
M,0.095,0.1315,14
F,0.175,0.5135,14
F,0.155,0.3245,14
F,0.21,1.03,14
M,0.19,0.6265,14
M,0.205,0.3875,14
M,0.12,0.2305,14
M,0.22,0.8175,14
F,0.18,0.678,14
I,0.125,0.1375,14
M,0.15,0.4315,14
F,0.17,0.3735,14
M,0.2,0.5795,14
F,0.14,0.304,14
F,0.22,0.6175,14
M,0.205,0.32,14
I,0.155,0.404,14
F,0.165,0.437,14
M,0.12,0.3345,14
M,0.175,0.325,14
M,0.14,0.443,14
F,0.14,0.194,14
M,0.15,0.6375,14
F,0.17,0.4125,14
I,0.16,0.2725,14
F,0.17,0.4695,14
F,0.18,0.5255,14
F,0.145,0.403,14
M,0.145,0.3075,14
F,0.14,0.2595,14
F,0.175,0.275,14
M,0.14,0.2025,14
F,0.135,0.208,14
M,0.19,0.403,14
F,0.235,0.3,14
F,0.165,0.44,14
M,0.145,0.246,14
M,0.175,0.3765,14
M,0.145,0.235,14
M,0.15,0.3285,14
M,0.135,0.2,14
I,0.12,0.1965,14
F,0.2,0.75,14
M,0.19,0.6215,14
I,0.155,0.3795,14
F,0.15,0.3575,14
M,0.145,0.475,14
F,0.175,0.4985,14
I,0.16,0.2745,14
M,0.175,0.6745,14
M,0.13,0.301,14
F,0.25,0.8905,14
M,0.225,1.2395,14
F,0.17,0.5095,14
F,0.145,0.5035,14
F,0.215,0.664,14
F,0.235,1.232,14
F,0.16,0.396,14
F,0.155,0.2025,14
M,0.15,0.56,14
M,0.19,0.7035,14
M,0.18,0.399,14
M,0.155,0.596,14
F,0.165,0.3305,14
I,0.15,0.3075,14
F,0.17,0.3745,14
F,0.165,0.518,14
F,0.115,0.3105,14
F,0.19,0.576,14
M,0.06,0.0415,11
F,0.115,0.1715,11
F,0.215,0.7735,11
F,0.18,0.617,11
M,0.14,0.2215,11
F,0.15,0.4145,11
M,0.2,0.706,11
I,0.16,0.5255,11
M,0.115,0.263,11
M,0.135,0.422,11
M,0.18,0.451,11
F,0.125,0.363,11
F,0.165,0.404,11
F,0.185,0.797,11
M,0.185,0.5055,11
F,0.15,0.302,11
F,0.135,0.2555,11
M,0.21,0.6665,11
F,0.165,0.5725,11
M,0.19,0.5705,11
M,0.155,0.285,11
F,0.14,0.369,11
M,0.15,0.5195,11
I,0.17,0.5515,11
I,0.145,0.315,11
F,0.19,0.83,11
M,0.19,0.831,11
M,0.08,0.191,11
F,0.17,0.355,11
F,0.21,1.1965,11
M,0.155,0.6405,11
I,0.145,0.379,11
I,0.13,0.2245,11
M,0.15,0.2815,11
F,0.165,0.599,11
M,0.185,0.665,11
F,0.135,0.2665,11
M,0.175,0.7525,11
M,0.175,0.9095,11
F,0.155,0.427,11
M,0.15,0.565,11
F,0.125,0.2175,11
I,0.11,0.1425,11
F,0.21,0.686,11
F,0.17,0.49,11
M,0.15,0.6605,11
M,0.15,0.4355,11
I,0.14,0.198,11
M,0.22,0.9215,11
M,0.215,0.8885,11
F,0.19,0.7465,11
F,0.135,0.381,11
M,0.145,0.425,11
M,0.155,0.492,11
I,0.14,0.1775,11
F,0.215,1.488,11
I,0.12,0.2165,11
F,0.12,0.152,11
I,0.115,0.2005,11
F,0.155,0.437,11
F,0.12,0.399,11
M,0.215,1.0465,11
M,0.155,0.4375,11
I,0.115,0.3155,11
M,0.145,0.4655,11
M,0.125,0.165,11
M,0.175,0.4925,11
F,0.135,0.3005,11
F,0.15,0.3645,11
M,0.16,0.639,11
M,0.155,0.565,11
F,0.195,0.689,11
F,0.195,0.785,11
M,0.175,1.2455,11
I,0.115,0.184,11
M,0.11,0.138,11
F,0.155,0.236,11
M,0.21,1.1945,11
F,0.125,0.185,11
F,0.165,0.5635,11
I,0.13,0.1845,11
M,0.17,0.6155,11
F,0.18,0.7285,11
I,0.13,0.1895,11
M,0.195,0.8215,11
M,0.175,0.779,11
F,0.16,0.833,11
F,0.17,0.587,11
F,0.185,0.3945,11
M,0.145,0.4405,11
M,0.165,0.319,11
M,0.2,0.718,11
F,0.185,0.4145,11
I,0.13,0.1365,11
I,0.13,0.3745,11
M,0.155,0.487,11
F,0.11,0.125,11
F,0.155,0.394,11
F,0.115,0.185,11
F,0.15,0.5195,11
M,0.165,0.526,11
M,0.175,0.6,11
M,0.16,0.553,11
I,0.135,0.3375,11
M,0.16,0.3625,11
M,0.105,0.1625,11
M,0.16,0.255,11
M,0.18,0.726,11
M,0.135,0.2175,11
F,0.115,0.1585,11
I,0.145,0.3045,11
M,0.175,0.549,11
I,0.18,0.6025,11
M,0.145,0.3685,11
M,0.16,0.44,11
I,0.145,0.3845,11
M,0.185,0.5275,11
M,0.175,0.625,11
F,0.13,0.389,11
F,0.22,0.77,11
F,0.15,0.5865,11
M,0.2,0.749,11
F,0.18,0.593,11
F,0.155,0.465,11
M,0.16,0.686,11
I,0.15,0.4265,11
M,0.15,0.6325,11
F,0.205,0.7755,11
M,0.165,0.5755,11
M,0.19,0.59,11
F,0.17,0.743,11
M,0.15,0.7185,11
F,0.12,0.4625,11
F,0.175,0.528,11
M,0.14,0.334,11
F,0.155,0.594,11
M,0.195,0.768,11
M,0.12,0.2015,11
F,0.14,0.3825,11
M,0.165,0.6955,11
M,0.165,0.678,11
M,0.22,0.9155,11
F,0.165,0.566,11
M,0.17,0.5855,11
M,0.1,0.1215,11
M,0.195,0.532,11
F,0.155,0.405,11
F,0.16,0.5265,11
I,0.145,0.419,11
M,0.175,0.531,11
I,0.15,0.6315,11
M,0.19,0.5975,11
M,0.115,0.0925,11
M,0.165,0.517,11
M,0.175,0.8005,11
M,0.175,0.623,11
M,0.175,0.492,11
F,0.105,0.165,11
F,0.165,0.577,11
I,0.15,0.2435,11
F,0.16,0.46,11
F,0.17,0.694,11
M,0.125,0.255,11
M,0.15,0.387,11
F,0.2,0.667,11
F,0.175,0.7775,11
I,0.115,0.2925,11
I,0.175,0.414,11
F,0.19,0.4695,11
M,0.17,0.279,11
F,0.185,0.5115,11
F,0.155,0.441,11
F,0.185,0.5595,11
F,0.115,0.243,11
M,0.17,0.317,11
F,0.22,1.1335,11
F,0.195,0.861,11
F,0.185,0.7925,11
M,0.16,0.6145,11
I,0.125,0.288,11
M,0.17,0.456,11
M,0.085,0.0655,11
F,0.175,0.2985,11
F,0.135,0.4655,11
M,0.12,0.2535,11
M,0.205,1.012,11
F,0.115,0.2555,11
I,0.14,0.2775,11
I,0.15,0.444,11
M,0.15,0.4315,11
M,0.2,0.813,11
M,0.165,0.4765,11
F,0.125,0.3135,11
I,0.135,0.329,11
M,0.17,0.4605,11
F,0.12,0.192,11
M,0.18,0.6655,11
I,0.145,0.3745,11
F,0.15,0.475,11
M,0.145,0.273,11
M,0.165,0.3215,11
M,0.175,0.6525,11
F,0.14,0.276,11
F,0.195,0.556,11
F,0.185,0.6295,11
I,0.145,0.262,11
I,0.14,0.2,11
M,0.2,0.6205,11
M,0.19,0.7625,11
M,0.165,0.711,11
F,0.17,0.526,11
M,0.15,0.385,11
M,0.155,0.435,11
M,0.215,1.0615,11
F,0.165,0.5065,11
M,0.205,0.5995,11
F,0.16,0.5725,11
I,0.18,0.3695,11
I,0.15,0.383,11
M,0.15,0.366,11
M,0.18,0.7185,11
M,0.175,0.6635,11
M,0.19,1.0815,11
F,0.19,0.8225,11
I,0.14,0.242,11
M,0.175,0.5675,11
F,0.15,0.2795,11
M,0.16,0.7455,11
M,0.155,0.4685,11
I,0.13,0.3675,11
F,0.17,0.5125,11
M,0.215,0.7275,11
M,0.18,0.691,11
M,0.125,0.169,11
M,0.2,0.73,11
F,0.165,0.3155,11
F,0.115,0.171,11
M,0.165,0.724,11
F,0.15,0.536,11
F,0.165,0.7295,11
F,0.175,0.559,11
M,0.155,0.5245,11
F,0.18,0.6195,11
M,0.18,0.48,11
M,0.21,0.655,11
M,0.075,0.0585,11
M,0.095,0.0955,11
M,0.13,0.3035,11
F,0.19,0.8875,11
F,0.19,0.6785,11
F,0.165,0.55,11
F,0.18,0.8465,11
M,0.17,0.647,11
I,0.12,0.229,11
I,0.135,0.321,11
F,0.105,0.232,11
M,0.19,0.4935,11
M,0.135,0.2245,11
F,0.2,1.0135,11
F,0.17,0.693,11
M,0.17,0.695,11
F,0.175,0.8725,11
M,0.195,0.8985,11
F,0.185,0.873,11
I,0.1,0.1675,11
F,0.185,0.6655,11
M,0.145,0.557,11
F,0.16,0.6285,11
F,0.14,0.282,11
F,0.155,0.4755,11
F,0.215,0.695,11
M,0.185,0.763,11
M,0.16,0.618,11
I,0.165,0.4535,11
F,0.13,0.3,11
F,0.15,0.285,11
M,0.17,0.8415,11
M,0.165,0.189,11
M,0.195,0.5565,11
F,0.17,0.372,11
F,0.185,0.546,11
F,0.165,0.37,11
M,0.15,0.556,11
F,0.15,0.503,11
M,0.125,0.1415,11
F,0.155,0.467,11
F,0.18,0.735,11
M,0.145,0.4,11
M,0.175,0.5055,11
F,0.195,0.758,11
I,0.16,0.5865,11
M,0.115,0.404,11
M,0.145,0.321,11
M,0.16,0.556,11
F,0.195,0.74,11
F,0.14,0.3425,11
M,0.165,0.465,11
F,0.2,0.7755,11
M,0.15,0.3365,11
F,0.15,0.412,11
M,0.125,0.244,11
F,0.185,0.615,11
F,0.2,0.639,11
I,0.09,0.0905,11
F,0.225,0.63,11
F,0.185,0.6865,11
F,0.115,0.233,11
M,0.2,0.833,11
F,0.165,0.2935,11
F,0.2,0.659,11
M,0.13,0.378,11
M,0.15,0.4055,11
M,0.175,0.6195,11
F,0.1,0.1735,11
M,0.12,0.1815,11
M,0.155,0.535,11
M,0.195,0.727,11
M,0.1,0.1065,11
F,0.16,0.469,11
F,0.165,0.458,11
M,0.155,0.4455,11
M,0.175,0.637,11
F,0.17,0.7045,11
F,0.175,0.4895,11
M,0.18,0.658,11
F,0.165,0.4255,11
F,0.185,0.7035,11
F,0.175,0.531,11
I,0.215,0.6725,11
M,0.185,0.75,11
F,0.21,0.653,11
F,0.155,0.4875,11
M,0.185,0.53,11
M,0.13,0.275,11
F,0.165,0.554,11
M,0.175,0.474,11
F,0.185,0.69,11
F,0.18,0.239,11
F,0.19,0.6525,11
F,0.145,0.5525,11
F,0.18,0.312,11
F,0.2,0.6525,11
M,0.23,0.522,11
M,0.105,0.2595,11
M,0.155,0.527,11
F,0.145,0.475,11
F,0.22,0.647,11
M,0.17,0.5255,11
F,0.18,0.4845,11
F,0.175,0.713,11
M,0.18,0.5985,11
F,0.165,0.4535,11
F,0.17,0.8485,11
F,0.16,0.553,11
M,0.14,0.393,11
I,0.13,0.432,11
M,0.15,0.387,11
M,0.145,0.216,11
F,0.15,0.181,11
F,0.195,0.83,11
I,0.155,0.447,11
F,0.16,0.466,11
M,0.14,0.516,11
M,0.165,0.492,11
M,0.215,0.422,11
F,0.135,0.293,11
M,0.1,0.115,11
M,0.215,0.896,11
F,0.21,1.109,11
F,0.145,0.187,11
M,0.155,0.2805,11
M,0.18,0.36,11
M,0.18,0.5175,11
F,0.155,0.289,11
M,0.185,0.952,11
F,0.19,0.634,11
F,0.175,0.8605,11
F,0.155,0.5605,11
I,0.17,0.3055,11
M,0.14,0.1865,11
M,0.165,0.4015,11
I,0.125,0.2975,11
F,0.145,0.47,11
F,0.19,0.7465,11
M,0.175,0.633,11
M,0.125,0.352,11
M,0.14,0.356,11
M,0.195,0.445,11
F,0.16,0.4495,11
I,0.1,0.0935,11
F,0.205,0.6215,11
F,0.14,0.5275,11
M,0.1,0.104,11
M,0.155,0.421,11
F,0.2,0.697,11
F,0.175,0.5565,11
F,0.2,0.5895,11
F,0.16,0.631,11
M,0.16,0.74,11
F,0.205,0.744,11
M,0.15,0.4825,11
M,0.18,0.7635,11
F,0.14,0.1785,11
M,0.09,0.0615,11
F,0.165,0.4785,11
F,0.15,0.2615,11
M,0.18,0.59,11
M,0.175,0.938,11
M,0.155,0.348,11
M,0.17,0.6355,11
M,0.155,0.3585,11
I,0.155,0.507,11
F,0.175,0.7285,11
F,0.2,0.714,11
M,0.17,0.6215,11
I,0.125,0.284,11
I,0.1,0.116,11
F,0.155,0.524,11
F,0.18,0.634,11
M,0.17,0.474,11
M,0.18,0.942,11
M,0.135,0.3485,11
I,0.15,0.332,11
F,0.17,0.4255,11
M,0.165,0.682,11
I,0.12,0.12,11
F,0.125,0.2975,11
M,0.175,0.675,11
F,0.155,0.4515,11
F,0.12,0.2645,11
M,0.155,0.34,11
F,0.22,0.8455,11
M,0.155,0.454,11
I,0.09,0.078,11
F,0.17,0.6435,11
F,0.185,0.6735,11
F,0.17,0.607,11
I,0.16,0.371,11
M,0.215,0.9515,12
F,0.155,0.5135,12
F,0.17,0.5375,12
M,0.12,0.158,12
F,0.13,0.229,12
F,0.18,0.7815,12
F,0.15,0.5935,12
F,0.145,0.232,12
M,0.175,0.6645,12
M,0.2,1.017,12
F,0.18,0.342,12
M,0.185,1.026,12
M,0.175,0.382,12
M,0.18,0.5765,12
F,0.195,0.469,12
F,0.175,0.5125,12
F,0.13,0.1905,12
F,0.205,0.821,12
M,0.19,0.6445,12
M,0.18,0.645,12
F,0.13,0.6725,12
F,0.19,0.5215,12
M,0.105,0.1215,12
M,0.15,0.359,12
F,0.19,0.5425,12
F,0.155,0.3,12
I,0.12,0.1845,12
F,0.16,0.426,12
F,0.165,0.345,12
F,0.18,0.693,12
F,0.17,0.4955,12
M,0.175,0.696,12
F,0.165,0.6555,12
F,0.16,0.2655,12
F,0.145,0.234,12
M,0.16,0.174,12
M,0.14,0.356,12
F,0.14,0.5175,12
F,0.16,0.354,12
F,0.135,0.251,12
I,0.135,0.1815,12
M,0.155,0.2135,12
F,0.19,0.58,12
M,0.21,0.7355,12
F,0.205,0.949,12
M,0.09,0.0575,12
F,0.21,0.501,12
F,0.165,0.38,12
I,0.11,0.1555,12
M,0.19,0.7165,12
F,0.16,0.3605,12
M,0.16,0.3725,12
M,0.14,0.4295,12
M,0.165,0.6345,12
F,0.125,0.3315,12
M,0.155,0.346,12
I,0.18,0.5285,12
F,0.17,0.4605,12
M,0.17,0.419,12
F,0.1,0.431,12
M,0.22,1.2395,12
F,0.145,0.402,12
F,0.19,0.4835,12
M,0.16,0.5435,12
F,0.195,0.6755,12
F,0.16,0.3965,12
F,0.15,0.6025,12
M,0.17,0.611,12
M,0.18,0.458,12
M,0.18,1.128,12
F,0.125,0.3675,12
M,0.14,0.4465,12
F,0.18,0.96,12
M,0.15,0.246,12
F,0.18,0.582,12
M,0.2,0.954,12
F,0.165,0.4585,12
F,0.125,0.219,12
I,0.115,0.1405,12
F,0.135,0.1465,12
F,0.15,0.375,12
F,0.18,0.339,12
M,0.15,0.539,12
F,0.12,0.447,12
M,0.15,0.282,12
M,0.145,0.4235,12
F,0.15,0.1955,12
F,0.155,0.6685,12
M,0.08,0.0995,12
I,0.155,0.2745,12
F,0.22,0.8915,12
M,0.165,0.5315,12
I,0.125,0.1685,12
F,0.135,0.387,12
I,0.135,0.3995,12
M,0.13,0.258,12
F,0.155,0.4275,12
M,0.165,0.2745,12
M,0.2,0.5115,12
F,0.175,0.267,12
F,0.18,0.732,12
M,0.175,0.5645,12
I,0.18,0.4935,12
M,0.15,0.6285,12
M,0.175,0.6565,12
F,0.185,0.526,12
M,0.195,0.7225,12
M,0.175,0.5105,12
F,0.105,0.1595,12
F,0.135,0.215,12
M,0.175,0.6735,12
M,0.15,0.256,12
M,0.185,0.579,12
M,0.16,0.6255,12
M,0.155,0.2715,12
M,0.16,0.26,12
F,0.195,0.6065,12
F,0.17,0.657,12
M,0.165,0.3275,12
M,0.205,0.8155,12
F,0.16,0.5815,12
M,0.15,0.307,12
M,0.175,0.6485,12
F,0.175,0.4985,12
M,0.14,0.2665,12
F,0.2,0.621,12
F,0.19,0.5755,12
F,0.155,0.4645,12
F,0.185,0.493,12
M,0.125,0.2,12
M,0.185,0.75,12
M,0.175,0.6345,12
M,0.175,0.4955,12
M,0.12,0.226,12
F,0.17,0.3865,12
M,0.12,0.3475,12
M,0.19,0.6115,12
F,0.185,0.3705,12
F,0.165,0.309,12
F,0.11,0.203,12
I,0.14,0.2,12
M,0.2,0.4605,12
I,0.17,0.3545,12
F,0.105,0.1045,12
M,0.185,0.7245,12
F,0.16,0.598,12
I,0.1,0.1165,12
M,0.135,0.2295,12
M,0.18,0.708,12
F,0.18,0.2325,12
F,0.175,0.5585,12
F,0.2,0.687,12
M,0.135,0.3275,12
F,0.17,0.15,12
M,0.16,0.407,12
M,0.175,0.555,12
F,0.15,0.3685,12
F,0.15,0.392,12
M,0.19,1.0465,12
F,0.115,0.2855,12
F,0.205,0.9655,12
F,0.195,0.73,12
F,0.165,0.4595,12
F,0.165,0.485,12
F,0.17,0.2765,12
M,0.175,0.4375,12
M,0.15,0.2575,12
M,0.155,0.5515,12
M,0.2,0.9165,12
M,0.155,0.425,12
F,0.195,0.9925,12
M,0.1,0.3055,12
F,0.15,0.392,12
M,0.22,1.007,12
M,0.175,0.544,12
F,0.155,0.291,12
F,0.2,0.7255,12
M,0.16,0.5045,12
M,0.14,0.3785,12
F,0.15,0.253,12
I,0.135,0.2985,12
M,0.25,1.3485,12
I,0.13,0.245,12
M,0.16,0.315,12
M,0.13,0.305,12
F,0.185,0.302,12
I,0.175,0.572,12
F,0.14,0.281,12
M,0.16,0.4975,12
F,0.135,0.1915,12
F,0.195,0.7645,12
M,0.13,0.27,12
I,0.155,0.2745,12
M,0.235,0.984,12
I,0.155,0.643,12
M,0.145,0.216,12
F,0.15,0.274,12
M,0.155,0.343,12
M,0.135,0.288,12
M,0.12,0.3335,12
F,0.195,0.7105,12
M,0.15,0.3695,12
F,0.165,0.4905,12
M,0.13,0.455,12
M,0.155,0.3515,12
F,0.175,0.684,12
M,0.135,0.222,12
F,0.16,0.3135,12
M,0.235,0.3325,12
F,0.14,0.5405,12
F,0.125,0.2415,12
I,0.165,0.335,12
F,0.165,0.49,12
M,0.115,0.1205,12
M,0.165,0.4915,12
F,0.105,0.2185,12
F,0.115,0.2945,12
F,0.175,0.4245,12
F,0.17,0.723,12
F,0.155,0.5865,12
M,0.145,0.2635,12
F,0.165,0.322,12
M,0.115,0.2385,12
F,0.11,0.145,12
M,0.13,0.3,12
M,0.175,0.4765,12
F,0.19,0.5935,12
M,0.135,0.211,12
F,0.105,0.1435,12
M,0.145,0.5065,12
M,0.165,0.6535,12
M,0.125,0.068,12
M,0.175,0.606,12
F,0.175,0.711,12
M,0.16,0.497,12
F,0.19,0.6425,12
F,0.17,0.784,12
M,0.185,0.342,12
F,0.2,0.61,12
I,0.145,0.306,12
I,0.14,0.2175,18
M,0.2,0.4865,18
F,0.205,0.5005,18
M,0.165,0.7665,18
M,0.19,0.548,18
F,0.19,0.8435,18
F,0.175,0.38,18
M,0.155,0.5915,18
M,0.24,0.532,18
M,0.145,0.3035,18
M,0.125,0.1135,18
F,0.18,0.508,18
M,0.165,0.5515,18
F,0.17,0.3775,18
M,0.195,0.2985,18
F,0.19,0.479,18
F,0.15,0.365,18
M,0.17,0.342,18
F,0.21,0.65,18
M,0.155,0.428,18
I,0.175,0.3585,18
F,0.19,0.7035,18
I,0.125,0.185,18
F,0.18,0.511,18
F,0.175,0.2585,18
F,0.14,0.265,18
I,0.195,0.5305,18
I,0.18,0.597,18
M,0.19,0.5305,18
F,0.175,0.3885,18
F,0.165,0.3935,18
M,0.12,0.2825,18
M,0.195,0.4635,18
M,0.165,0.6145,18
M,0.15,0.2145,18
M,0.18,0.48,18
F,0.18,0.529,18
F,0.19,0.493,18
I,0.15,0.276,13
M,0.13,0.374,13
F,0.135,0.231,13
M,0.14,0.2795,13
I,0.12,0.2075,13
M,0.15,0.4635,13
M,0.19,0.9955,13
F,0.175,0.322,13
F,0.105,0.187,13
I,0.1,0.163,13
M,0.085,0.1,13
F,0.16,0.506,13
M,0.14,0.4825,13
F,0.165,0.483,13
M,0.175,0.4995,13
F,0.205,0.605,13
F,0.17,0.347,13
M,0.16,0.342,13
F,0.135,0.322,13
F,0.205,0.4525,13
I,0.145,0.175,13
M,0.14,0.2505,13
M,0.145,0.675,13
I,0.125,0.1735,13
M,0.13,0.4275,13
I,0.165,0.715,13
M,0.15,0.1685,13
F,0.145,0.207,13
M,0.135,0.336,13
F,0.17,0.374,13
F,0.2,0.633,13
M,0.22,0.566,13
M,0.175,0.548,13
M,0.185,0.734,13
F,0.1,0.1075,13
M,0.155,0.4775,13
M,0.155,0.356,13
M,0.135,0.3805,13
F,0.215,0.8955,13
M,0.165,0.4215,13
M,0.175,0.4015,13
M,0.175,0.5065,13
F,0.145,0.3095,13
F,0.195,0.4505,13
F,0.205,0.713,13
F,0.115,0.194,13
F,0.12,0.138,13
F,0.15,0.2355,13
M,0.205,0.7305,13
F,0.16,0.6335,13
M,0.17,0.336,13
F,0.135,0.2465,13
M,0.16,0.317,13
F,0.175,0.6995,13
F,0.155,0.483,13
M,0.13,0.264,13
I,0.14,0.216,13
M,0.125,0.353,13
M,0.185,0.6045,13
F,0.16,0.694,13
F,0.11,0.143,13
F,0.18,0.5345,13
M,0.155,0.4105,13
M,0.13,0.2145,13
F,0.14,0.381,13
M,0.205,0.69,13
F,0.115,0.186,13
F,0.15,0.3345,13
M,0.165,0.249,13
F,0.13,0.3825,13
F,0.13,0.2115,13
M,0.18,0.5665,13
F,0.165,0.357,13
M,0.18,0.926,13
M,0.185,0.876,13
I,0.11,0.1355,13
F,0.145,0.1765,13
F,0.15,0.581,13
F,0.13,0.276,13
F,0.175,0.694,13
M,0.135,0.1865,13
M,0.18,0.624,13
I,0.12,0.2705,13
M,0.18,0.9815,13
F,0.17,0.2985,13
M,0.15,0.4515,13
M,0.185,0.6935,13
M,0.125,0.2025,13
M,0.21,0.8345,13
M,0.2,1.1455,13
F,0.125,0.313,13
F,0.185,0.6965,13
F,0.19,0.392,13
F,0.185,0.416,13
F,0.195,0.5195,13
F,0.145,0.2385,13
F,0.17,0.2755,13
M,0.14,0.2305,13
I,0.19,0.4335,13
M,0.205,1.1455,13
M,0.175,0.535,13
F,0.195,0.481,13
M,0.19,0.5455,13
I,0.115,0.3265,13
F,0.14,0.33,13
I,0.18,0.3015,13
M,0.155,0.3415,13
F,0.175,0.3465,13
F,0.16,0.53,13
F,0.175,0.477,13
F,0.125,0.3345,13
F,0.165,0.2985,13
M,0.2,0.693,13
M,0.165,0.254,13
M,0.16,0.412,13
M,0.185,0.5525,13
M,0.185,0.6645,13
M,0.155,0.377,13
M,0.195,0.567,13
M,0.13,0.227,13
F,0.15,0.273,13
F,0.17,0.4805,13
M,0.135,0.128,13
M,0.135,0.2465,13
F,0.15,0.519,13
I,0.18,0.4675,13
F,0.22,0.642,13
M,0.11,0.237,13
M,0.205,0.7885,13
F,0.175,0.6275,13
M,0.16,0.483,13
F,0.11,0.1815,13
M,0.215,0.801,13
F,0.19,0.4385,13
M,0.17,0.4915,13
M,0.195,0.675,13
F,0.11,0.166,13
F,0.235,0.5065,13
F,0.17,0.519,13
M,0.185,0.69,13
M,0.13,0.272,13
F,0.19,0.5235,13
M,0.165,0.3505,13
M,0.125,0.2735,13
I,0.08,0.0635,13
M,0.175,0.425,13
M,0.125,0.341,13
M,0.175,0.667,13
F,0.18,0.6075,13
F,0.13,0.219,13
I,0.17,0.358,13
M,0.24,0.471,13
M,0.16,0.316,13
M,0.175,0.4125,13
M,0.165,0.2735,13
M,0.18,0.4845,13
I,0.135,0.337,13
I,0.17,0.3775,13
F,0.205,0.7295,13
F,0.13,0.2625,13
M,0.2,0.675,13
I,0.125,0.16,13
F,0.16,0.4775,13
M,0.165,0.264,13
I,0.165,0.4215,13
I,0.15,0.2865,13
M,0.165,0.2635,13
I,0.14,0.3385,13
F,0.225,0.87,13
F,0.155,0.442,13
M,0.16,0.3925,13
F,0.165,0.414,13
M,0.16,0.572,13
F,0.13,0.3195,13
F,0.125,0.2035,13
F,0.14,0.192,13
M,0.15,0.2405,13
F,0.12,0.155,13
M,0.14,0.223,13
F,0.205,0.819,13
M,0.175,0.566,13
M,0.2,0.882,13
I,0.095,0.073,5
I,0.08,0.0475,5
M,0.04,0.011,5
I,0.065,0.058,5
M,0.025,0.009,5
I,0.065,0.0405,5
I,0.065,0.0385,5
I,0.075,0.0605,5
I,0.065,0.027,5
I,0.07,0.044,5
M,0.065,0.035,5
I,0.035,0.0075,5
I,0.115,0.169,5
I,0.075,0.0665,5
M,0.08,0.037,5
I,0.055,0.04,5
M,0.055,0.0145,5
I,0.055,0.076,5
I,0.06,0.0425,5
I,0.065,0.0475,5
I,0.065,0.044,5
I,0.045,0.0315,5
I,0.06,0.06,5
M,0.065,0.034,5
I,0.06,0.0415,5
I,0.08,0.09,5
I,0.09,0.143,5
I,0.055,0.025,5
I,0.07,0.039,5
I,0.07,0.062,5
I,0.03,0.0115,5
I,0.075,0.0545,5
I,0.105,0.164,5
I,0.095,0.141,5
I,0.06,0.0365,5
I,0.08,0.066,5
I,0.07,0.039,5
M,0.08,0.033,5
I,0.08,0.037,5
I,0.07,0.435,5
I,0.06,0.04,5
I,0.08,0.0785,5
M,0.1,0.0545,5
I,0.045,0.019,5
I,0.065,0.0245,5
M,0.07,0.0335,5
I,0.08,0.0145,5
I,0.065,0.041,5
I,0.05,0.026,5
I,0.09,0.07,5
I,0.085,0.105,5
I,0.07,0.046,5
I,0.08,0.0545,5
