@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.37,6
M,0.33,6
I,0.37,6
I,0.365,6
I,0.405,6
I,0.36,6
I,0.405,6
I,0.35,6
I,0.375,6
I,0.43,6
I,0.33,6
I,0.58,6
I,0.38,6
M,0.495,6
I,0.405,6
I,0.33,6
I,0.33,6
I,0.365,6
I,0.44,6
F,0.47,6
I,0.395,6
I,0.255,6
I,0.31,6
I,0.34,6
I,0.275,6
F,0.53,6
I,0.375,6
I,0.17,6
M,0.385,6
M,0.48,6
F,0.345,6
F,0.51,6
M,0.495,6
I,0.26,6
I,0.35,6
I,0.19,6
I,0.33,6
I,0.46,6
I,0.34,6
I,0.28,6
I,0.485,6
I,0.255,6
I,0.345,6
M,0.45,6
I,0.41,6
I,0.36,6
I,0.365,6
I,0.28,6
F,0.475,6
I,0.41,6
I,0.55,6
I,0.47,6
I,0.38,6
I,0.37,6
I,0.44,6
I,0.335,6
I,0.455,6
F,0.585,6
I,0.415,6
I,0.31,6
I,0.4,6
I,0.37,6
I,0.275,6
M,0.26,6
I,0.34,6
I,0.385,6
I,0.295,6
I,0.375,6
I,0.42,6
I,0.425,6
M,0.36,6
I,0.3,6
I,0.295,6
I,0.4,6
I,0.325,6
M,0.27,6
I,0.43,6
I,0.385,6
I,0.42,6
I,0.475,6
I,0.34,6
I,0.32,6
F,0.445,6
I,0.285,6
I,0.355,6
I,0.375,6
F,0.595,6
I,0.305,6
I,0.43,6
I,0.375,6
I,0.4,6
I,0.31,6
I,0.32,6
M,0.5,6
I,0.36,6
I,0.31,6
I,0.235,6
I,0.275,6
I,0.425,6
I,0.345,6
I,0.375,6
I,0.375,6
M,0.37,6
I,0.39,6
I,0.3,6
F,0.34,6
I,0.315,6
I,0.32,6
I,0.37,6
I,0.335,6
I,0.4,6
I,0.27,6
M,0.485,6
I,0.45,6
I,0.275,6
M,0.335,6
I,0.255,6
I,0.425,6
I,0.29,6
I,0.375,6
I,0.36,6
I,0.285,6
I,0.37,6
I,0.28,6
I,0.325,6
I,0.365,6
M,0.38,6
I,0.48,6
M,0.5,6
M,0.35,6
I,0.415,6
I,0.435,6
I,0.27,6
I,0.35,6
I,0.295,6
I,0.375,6
I,0.425,6
I,0.215,6
I,0.44,6
I,0.33,6
I,0.235,6
I,0.335,6
M,0.355,6
I,0.375,6
I,0.435,6
I,0.405,6
I,0.41,6
I,0.465,6
I,0.31,6
F,0.29,6
I,0.385,6
I,0.365,6
I,0.41,6
I,0.335,6
I,0.435,6
I,0.28,6
I,0.415,6
I,0.325,6
I,0.4,6
I,0.205,6
I,0.295,6
I,0.38,6
I,0.305,6
I,0.275,6
I,0.345,6
F,0.515,6
I,0.325,6
F,0.335,6
I,0.36,6
I,0.32,6
I,0.275,6
I,0.34,6
I,0.415,6
I,0.45,6
I,0.43,6
I,0.44,6
I,0.38,6
I,0.185,6
F,0.465,6
M,0.27,6
I,0.255,6
I,0.4,6
I,0.37,6
M,0.31,6
I,0.38,6
I,0.37,6
I,0.325,6
M,0.415,6
I,0.405,6
I,0.325,6
I,0.46,6
I,0.35,6
I,0.265,6
M,0.36,6
I,0.375,6
I,0.53,21
F,0.63,21
F,0.56,21
F,0.625,21
M,0.595,21
M,0.49,21
M,0.675,21
F,0.67,21
F,0.49,21
M,0.735,21
F,0.68,21
M,0.67,21
M,0.64,21
I,0.55,17
M,0.515,17
F,0.57,17
M,0.775,17
I,0.54,17
M,0.595,17
M,0.575,17
F,0.66,17
F,0.615,17
F,0.555,17
M,0.58,17
F,0.625,17
M,0.64,17
F,0.69,17
F,0.54,17
I,0.635,17
M,0.655,17
I,0.535,17
M,0.565,17
F,0.715,17
I,0.59,17
F,0.5,17
M,0.665,17
M,0.565,17
F,0.495,17
M,0.595,17
M,0.745,17
F,0.505,17
F,0.58,17
F,0.53,17
M,0.565,17
M,0.62,17
I,0.61,17
F,0.71,17
F,0.62,17
F,0.5,17
M,0.54,17
F,0.665,17
M,0.625,17
F,0.63,17
M,0.585,17
F,0.68,17
F,0.52,17
F,0.665,17
F,0.49,17
F,0.53,17
M,0.63,17
M,0.73,17
F,0.635,17
M,0.52,17
M,0.585,17
M,0.53,17
M,0.545,22
M,0.655,22
M,0.625,22
F,0.585,22
F,0.64,22
I,0.075,1
I,0.13,3
I,0.16,3
I,0.24,3
I,0.165,3
I,0.165,3
I,0.215,3
I,0.11,3
M,0.155,3
I,0.14,3
M,0.18,3
I,0.195,3
I,0.18,3
I,0.19,3
I,0.205,3
M,0.6,26
M,0.61,23
M,0.63,23
F,0.49,23
F,0.55,23
F,0.45,23
F,0.62,23
F,0.8,23
F,0.62,23
F,0.7,29
I,0.15,2
M,0.665,27
F,0.645,25
M,0.69,24
F,0.7,24
